ACCESSION: MSBNK-BAFG-CSL25011014116
RECORD_TITLE: Resorcinol bis(diphenyl phosphate); LC-ESI-QTOF; MS2; 100 V
DATE: 2025.01.10
AUTHORS: Ole Lessmann; Kevin S. Jewell; Bjoern Ehlig; Arne Wick
LICENSE: dl-de/by-2-0
COPYRIGHT: Copyright 2025 Federal Institute of Hydrology, Koblenz, Germany
COMMENT: CONFIDENCE Reference Standard (Level 1)
COMMENT: Chromatography method: dx.doi.org/10.1016/j.chroma.2015.11.014
CH$NAME: Resorcinol bis(diphenyl phosphate)
CH$COMPOUND_CLASS: Industrial_process
CH$FORMULA: C30H24O8P2
CH$EXACT_MASS: 574.0946
CH$SMILES: C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC(=CC=C3)OP(=O)(OC4=CC=CC=C4)OC5=CC=CC=C5
CH$IUPAC: InChI=1S/C30H24O8P2/c31-39(33-25-14-5-1-6-15-25,34-26-16-7-2-8-17-26)37-29-22-13-23-30(24-29)38-40(32,35-27-18-9-3-10-19-27)36-28-20-11-4-12-21-28/h1-24H
CH$LINK: CAS 57583-54-7
CH$LINK: INCHIKEY OWICEWMBIBPFAH-UHFFFAOYSA-N
AC$INSTRUMENT: TripleTOF 6600 SCIEX
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 100
AC$MASS_SPECTROMETRY: FRAGMENTATION_MODE CID
AC$MASS_SPECTROMETRY: IONIZATION ESI
AC$CHROMATOGRAPHY: COLUMN_NAME Zorbax Eclipse Plus C18 2.1 mm x 150 mm, 3.5 um, Agilent
AC$CHROMATOGRAPHY: COLUMN_TEMPERATURE 40 deg C
AC$CHROMATOGRAPHY: FLOW_GRADIENT 0 min min 98% A, 1 min 98% A, 2 min 80% A, 16.5 min 2% A, 22 min 2% A, 22.1 min 98% A, 27 min 98% A
AC$CHROMATOGRAPHY: FLOW_RATE 0.3 mL/min
AC$CHROMATOGRAPHY: RETENTION_TIME 15.87 min
AC$CHROMATOGRAPHY: SOLVENT A: Water 0.1% Formic acid, B: Acetonitrile 0.1% Formic acid
MS$FOCUSED_ION: PRECURSOR_M/Z 575.1019
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: COMMENT Export with pycsl 0.1.0.dev1 and CSL 24.4
PK$SPLASH: splash10-0v00-1960000000-78c8f3d5718e9850bd83
PK$NUM_PEAK: 147
PK$PEAK: m/z int. rel.int.
  50.0152 1.1 17
  51.023 7.1 114
  63.023 0.7 11
  65.0385 3.1 49
  74.0147 0.9 14
  75.0228 1.1 17
  77.0389 41.6 669
  89.0392 1.2 19
  91.0538 1.4 22
  92.0264 1.2 19
  93.0339 1.2 19
  95.0492 2.3 37
  99.0231 0.8 12
  102.0462 2.0 32
  105.0449 1.7 27
  114.0466 0.8 12
  115.0546 26.4 424
  121.0251 0.8 12
  125.0393 2.3 37
  126.0465 1.5 24
  127.0543 4.7 75
  128.0621 11.8 189
  129.0707 2.1 33
  130.0434 0.6 9
  131.0495 1.5 24
  133.0207 2.7 43
  138.9947 2.6 41
  139.0552 19.5 313
  140.0624 4.1 65
  141.0703 17.3 278
  145.0215 1.5 24
  147.035 1.2 19
  149.0157 1.7 27
  149.0391 1.4 22
  150.0468 16.4 263
  151.0553 24.1 387
  152.0632 62.1 999
  153.0705 5.1 82
  154.9898 1.8 28
  155.0517 4.4 70
  156.0575 4.7 75
  157.02 3.3 53
  157.0655 2.1 33
  159.0366 1.6 25
  165.0697 2.1 33
  167.0507 1.9 30
