ACCESSION: MSBNK-BAFG-CSL25011727959
RECORD_TITLE: 4-[(4-Aminophenyl)(4-iminocyclohexa-2,5-dien-1-ylidene)methyl]-2-methylaniline; LC-ESI-QTOF; MS2; 70 V
DATE: 2025.01.17
AUTHORS: Ole Lessmann; Kevin S. Jewell; Björn Ehlig; Arne Wick
LICENSE: dl-de/by-2-0
COPYRIGHT: Copyright 2025 Federal Institute of Hydrology, Koblenz, Germany
COMMENT: CONFIDENCE Reference Standard (Level 1)
COMMENT: Chromatography method: dx.doi.org/10.1016/j.chroma.2015.11.014
CH$NAME: 4-[(4-Aminophenyl)(4-iminocyclohexa-2,5-dien-1-ylidene)methyl]-2-methylaniline
CH$FORMULA: C20H19N3
CH$EXACT_MASS: 301.1579
CH$SMILES: CC1=CC(=C(C2=CC=C(C=C2)N)C3=CC=C(C=C3)N)C=CC1=N
CH$IUPAC: InChI=1S/C20H19N3/c1-13-12-16(6-11-19(13)23)20(14-2-7-17(21)8-3-14)15-4-9-18(22)10-5-15/h2-12,23H,21-22H2,1H3
CH$LINK: CAS 3248-93-9
CH$LINK: INCHIKEY YDCMWLQSPFTWCS-UHFFFAOYSA-N
AC$INSTRUMENT: TripleTOF X500R SCIEX
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 70
AC$MASS_SPECTROMETRY: FRAGMENTATION_MODE CID
AC$MASS_SPECTROMETRY: IONIZATION ESI
AC$CHROMATOGRAPHY: COLUMN_NAME Zorbax Eclipse Plus C18 2.1 mm x 150 mm, 3.5 um, Agilent
AC$CHROMATOGRAPHY: COLUMN_TEMPERATURE 40 °C
AC$CHROMATOGRAPHY: FLOW_GRADIENT 0 min min 98% A, 1 min 98% A, 2 min 80% A, 16.5 min 2% A, 22 min 2% A, 22.1 min 98% A, 27 min 98% A
AC$CHROMATOGRAPHY: FLOW_RATE 0.3 mL/min
AC$CHROMATOGRAPHY: RETENTION_TIME 7.598 min
AC$CHROMATOGRAPHY: SOLVENT A: Water 0.1% Formic acid, B: Acetonitrile 0.1% Formic acid
MS$FOCUSED_ION: PRECURSOR_M/Z 302.1652
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: COMMENT Export with pycsl 0.1.0.dev1 and CSL 25.0
PK$SPLASH: splash10-014i-0890000000-97ef3a30fed36b5a1728
PK$NUM_PEAK: 137
PK$PEAK: m/z int. rel.int.
  42.0347 0.6 17
  77.0389 1.3 37
  79.0554 0.9 26
  89.0379 0.7 20
  91.0544 0.9 26
  93.0582 0.6 17
  101.0362 0.4 11
  103.0544 0.9 26
  106.0649 4.0 116
  113.0396 0.8 23
  114.0473 0.9 26
  115.0547 6.9 200
  116.062 1.6 46
  117.0568 0.9 26
  118.0655 1.0 29
  125.041 0.5 14
  126.0466 0.9 26
  127.055 4.0 116
  128.0623 2.5 72
  130.0661 2.4 69
  139.055 7.8 226
  140.0547 5.2 151
  141.0698 5.4 156
  142.0666 0.7 20
  143.0732 5.2 151
  149.0384 1.7 49
  150.0471 9.9 287
  151.0547 20.5 595
  152.0617 8.7 252
  153.0676 5.7 165
  154.065 4.1 119
  155.0615 0.4 11
  155.077 0.5 14
  156.082 0.9 26
  163.0552 4.9 142
