ACCESSION: MSBNK-BAFG-CSL25011734701
RECORD_TITLE: Amido Black 10B; LC-ESI-QTOF; MS2; 30 V
DATE: 2025.01.17
AUTHORS: Ole Lessmann; Kevin S. Jewell; Björn Ehlig; Arne Wick
LICENSE: dl-de/by-2-0
COPYRIGHT: Copyright 2025 Federal Institute of Hydrology, Koblenz, Germany
COMMENT: CONFIDENCE Reference Standard (Level 1)
COMMENT: Chromatography method: dx.doi.org/10.1016/j.chroma.2015.11.014
CH$NAME: Amido Black 10B
CH$FORMULA: C22H16N6O9S2
CH$EXACT_MASS: 572.042
CH$SMILES: C1=CC=C(C=C1)N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)O)S(=O)(=O)O)N=NC4=CC=C(C=C4)[N+](=O)[O-])N)O
CH$IUPAC: InChI=1S/C22H16N6O9S2/c23-19-18-12(11-17(39(35,36)37)21(22(18)29)27-24-13-4-2-1-3-5-13)10-16(38(32,33)34)20(19)26-25-14-6-8-15(9-7-14)28(30)31/h1-11,29H,23H2,(H,32,33,34)(H,35,36,37)
CH$LINK: CAS 3121-74-2
CH$LINK: INCHIKEY HKJKONMZMPUGHJ-UHFFFAOYSA-N
AC$INSTRUMENT: TripleTOF 6600 SCIEX
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30
AC$MASS_SPECTROMETRY: FRAGMENTATION_MODE CID
AC$MASS_SPECTROMETRY: IONIZATION ESI
AC$CHROMATOGRAPHY: COLUMN_NAME Zorbax Eclipse Plus C18 2.1 mm x 150 mm, 3.5 um, Agilent
AC$CHROMATOGRAPHY: COLUMN_TEMPERATURE 40 °C
AC$CHROMATOGRAPHY: FLOW_GRADIENT 0 min min 98% A, 1 min 98% A, 2 min 80% A, 16.5 min 2% A, 22 min 2% A, 22.1 min 98% A, 27 min 98% A
AC$CHROMATOGRAPHY: FLOW_RATE 0.3 mL/min
AC$CHROMATOGRAPHY: RETENTION_TIME 9.552 min
AC$CHROMATOGRAPHY: SOLVENT A: Water 0.1% Formic acid, B: Acetonitrile 0.1% Formic acid
MS$FOCUSED_ION: PRECURSOR_M/Z 285.0137
MS$FOCUSED_ION: PRECURSOR_TYPE [M-2H]2-
MS$DATA_PROCESSING: COMMENT Export with pycsl 0.1.0.dev1 and CSL 25.0
PK$SPLASH: splash10-03na-3975000000-c8a619047973b21c27b2
PK$NUM_PEAK: 179
PK$PEAK: m/z int. rel.int.
  45.9929 18.3422 14
  63.9614 10.9943 8
  79.9569 766.1737 598
  80.9647 399.3724 311
  92.0497 48.3649 37
  109.9969 120.238 93
  122.0231 16.9904 13
  123.9942 183.8097 143
  125.4942 13.3289 10
  127.0288 12.7995 9
  130.4919 15.2193 11
  131.488 21.2025 16
  131.9916 51.5029 40
  136.027 29.8152 23
  137.0345 56.8692 44
  138.0188 46.7312 36
  138.4888 21.8703 17
  139.0291 59.151 46
  140.0372 42.0632 32
  142.0282 30.6121 23
  143.0253 7.1315 5
  150.4662 8.2549 6
  154.0261 29.4694 23
  155.0235 42.0669 32
  156.0094 9.3321 7
  156.0317 83.6097 65
  157.4743 17.1505 13
  159.0302 7.3589 5
  163.0041 6.0362 4
  163.4573 8.9332 6
  163.9729 1278.8108 999
  164.472 13.2248 10
  167.0236 159.7667 124
  168.0311 66.384 51
  169.0033 19.4673 15
  170.0074 174.7359 136
  170.471 14.8714 11
  170.5056 7.1111 5
  170.9738 22.2409 17
  171.0199 26.6801 20
  171.4777 5.295 4
  172.0251 8.4168 6
  177.976 117.2857 91
  178.0043 34.236 26
  180.0182 23.0287 17
  181.0265 18.0201 14
  182.0112 30.9319 24
  182.0337 9.8656 7
  183.0192 147.5612 115
  184.0264 75.4343 58
  184.9786 5.2188 4
  186.0024 9.0306 7
  187.0254 5.9493 4
  187.4865 5.4693 4
  194.4828 5.9962 4
  194.9965 26.3561 20
  196.0142 57.8996 45
  197.0213 6.0343 4
  198.0302 11.5996 9
  199.0126 19.4089 15
  200.0216 7.8728 6
  201.4833 9.0811 7
  205.9906 6.842 5
  206.9988 26.1988 20
  210.4833 16.5003 12
  211.0248 26.899 21
  215.9903 15.8215 12
  217.9825 18.4829 14
  218.0586 6.0715 4
  219.993 86.1822 67
  221.9866 10.9908 8
  222.9927 307.3152 240
  230.0603 16.616 12
  231.0657 15.897 12
  231.9842 21.3379 16
  232.0615 7.0151 5
  233.0466 5.442 4
  233.9846 24.0773 18
  234.9917 127.2212 99
  235.9877 57.1229 44
  237.9773 13.5539 10
  238.9872 49.2275 38
  242.0473 6.6392 5
  245.9731 7.3049 5
  246.0535 8.0811 6
  246.9803 824.2689 643
  247.9877 135.6425 105
  248.0542 10.9527 8
  248.9931 7.4946 5
  249.065 17.3751 13
  249.9866 11.4802 8
