ACCESSION: MSBNK-EPA-ENTACT_AGILENT000141
RECORD_TITLE: 4-(Diglycidylamino)phenyl glycidyl ether; ESI-QTOF; MS2; CE: 40; [M+H]+
DATE: 2023.05.02
AUTHORS: EPA CCTE and Agilent Technologies
LICENSE: CC BY
CH$NAME: 4-(Diglycidylamino)phenyl glycidyl ether
CH$NAME: DTXSID8027585
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C15H19NO4
CH$EXACT_MASS: 277.1314081027
CH$SMILES: C(C1CO1)N(CC1CO1)C1C=CC(=CC=1)OCC1CO1
CH$IUPAC: InChI=1S/C15H19NO4/c1-3-12(17-9-15-10-20-15)4-2-11(1)16(5-13-7-18-13)6-14-8-19-14/h1-4,13-15H,5-10H2
CH$LINK: CAS 5026-74-4
CH$LINK: INCHIKEY AHIPJALLQVEEQF-UHFFFAOYSA-N
CH$LINK: PUBCHEM CID:62558
AC$INSTRUMENT: N/A
AC$INSTRUMENT_TYPE: ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION ESI
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 40
MS$FOCUSED_ION: PRECURSOR_M/Z 278.1386845544
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: WHOLE Agilent ChemVista Version 1.0
PK$SPLASH: splash10-00sj-2900000000-2a3cf1b29a453fd317e2
PK$NUM_PEAK: 143
PK$PEAK: m/z int. rel.int.
  29.002191 2.296113 22
  29.038577 4.179191 41
  31.017841 3.47849 34
  39.022927 2.584043 25
  41.038577 14.753933 147
  42.033826 1.887272 18
  43.017841 7.908444 79
  43.041651 1.591669 15
  43.054227 5.992 59
  45.033491 9.360824 93
  51.022927 1.645403 16
  53.038577 1.48539 14
  54.033826 5.737713 57
  55.017841 4.027497 40
  55.054227 5.630418 56
  57.033491 35.388234 353
  63.022927 1.012378 10
  64.030752 1.172552 11
  65.038577 18.502433 184
  66.046402 3.137321 31
  67.038971 1.621323 16
  67.054227 1.994132 19
  68.049476 1.225324 12
  71.049141 1.83092 18
  75.022927 1.772247 17
  77.038577 56.558101 565
  78.046402 3.492326 34
  79.038971 2.118785 21
  79.054227 21.88409 218
  80.01309 1.038359 10
  80.049476 5.323765 53
  81.033491 3.264158 32
  89.038577 1.211871 12
  90.046402 1.877519 18
  91.054227 46.139741 460
  92.025666 1.502166 15
  92.049476 7.652182 76
  93.033491 20.499089 204
  93.054621 3.791538 37
  93.069877 3.658307 36
  94.041316 8.058425 80
  94.065126 3.303462 33
  95.049141 4.289773 42
  97.064791 1.541049 15
  102.046402 2.709382 27
  103.054227 26.848724 268
  104.049476 13.191737 131
  105.033491 2.748928 27
  105.054621 4.830766 48
  105.069877 6.972454 69
  106.041316 2.466975 24
  106.065126 21.131585 211
  107.049141 70.709419 706
  107.085527 1.538915 15
  108.04439 20.343435 203
  108.080776 1.958592 19
  109.052215 8.517134 85
  115.054227 14.063608 140
  116.049476 23.485429 234
  117.057301 45.651924 456
  118.041316 1.289456 12
  118.065126 58.094809 580
  119.033885 1.751969 17
  119.049141 2.707379 27
  119.072951 5.46191 54
  120.04439 95.336436 952
  120.080776 4.46061 44
  120.101905 1.284165 12
  121.052215 10.15603 101
  121.064791 6.207231 62
  121.999845 2.256841 22
  122.06004 43.926812 438
  123.044056 1.14696 11
  127.054227 3.009543 30
  128.049476 4.709779 47
  128.062052 4.920976 49
  129.057301 7.797684 77
  130.065126 44.356882 443
  131.049141 6.700288 66
  131.072951 13.921514 139
  132.04439 9.651535 96
  132.080776 16.914686 168
  133.052215 25.014227 249
  133.085921 2.335025 23
  134.036231 2.310416 23
  134.06004 100 999
  134.117555 1.199513 11
  135.067865 8.534239 85
  136.07569 36.802726 367
  137.04713 1.16439 11
  141.057301 1.079843 10
  141.069877 1.019587 10
  142.065126 6.618778 66
  143.072951 10.812117 108
  144.04439 1.391653 13
  144.056966 1.097246 10
  144.080776 32.01864 319
  145.052215 5.426675 54
  145.085921 2.597344 25
  146.06004 94.349179 942
  146.093746 4.106908 41
  146.109002 1.132622 11
  147.067865 6.922902 69
  148.07569 20.570553 205
  149.059706 2.726601 27
  149.083515 1.611143 16
  150.08866 1.786361 17
  154.065126 5.212891 52
  155.072951 2.531053 25
  156.080776 9.362974 93
  157.088601 2.837811 28
  158.06004 6.04871 60
  158.096426 5.569275 55
  159.067865 14.734681 147
  160.07569 29.904591 298
  161.083515 3.747389 37
  162.054955 3.252202 32
  162.09134 10.497686 104
  163.096485 1.058315 10
  164.070605 49.018679 489
  165.07843 2.923567 29
  167.070271 1.481096 14
  170.06004 3.562535 35
  171.067865 4.860041 48
  172.07569 20.860716 208
  173.083515 2.320991 23
  174.09134 10.401558 103
  176.070605 37.949963 379
  177.054621 1.471017 14
  177.07843 2.661445 26
  178.086255 26.853023 268
  184.07301 2.391381 23
  185.083515 2.313144 23
  186.09134 5.904646 58
  188.070605 1.738043 17
  190.086255 5.186198 51
  191.09408 1.159395 11
  192.101905 7.713627 77
  202.086255 25.920141 258
  204.101905 3.380355 33
  216.101905 1.76566 17
  220.09682 1.227696 12
  228.101905 2.695473 26
//
