ACCESSION: JP001148
RECORD_TITLE: TAYLORIONE; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: NAKAYAMA M, MASS SPECTROSCOPY SOC. OF JAPAN (MSSJ)
LICENSE: CC BY-NC-SA
CH$NAME: TAYLORIONE
CH$NAME: 1,10-SECOAROMADENDRA1(5),4(15)-DIEN-10-ONE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C15H22O
CH$EXACT_MASS: 218.16707
CH$SMILES: CC(=O)CCC([H])(C(C)(C)1)C([H])(C(=C([H])2)C(=C)CC2)1
CH$IUPAC: InChI=1S/C15H22O/c1-10-6-5-7-12(10)14-13(15(14,3)4)9-8-11(2)16/h7,13-14H,1,5-6,8-9H2,2-4H3/t13-,14+/m0/s1
CH$LINK: INCHIKEY CDXNKWAMDXZEKB-UONOGXRCSA-N
AC$INSTRUMENT: HITACHI RMU-6L
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 70 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-0007-7900000000-df0d4a57657b47e23247
PK$NUM_PEAK: 129
PK$PEAK: m/z int. rel.int.
  38 1.5 15
  39 22 220
  40 4 40
  41 41 410
  42 3 30
  43 99.99 999
  44 3 30
  45 2 20
  50 2 20
  51 3 30
  52 4 40
  53 16 160
  54 2 20
  55 21 210
  56 2 20
  57 2 20
  58 2 20
  59 2 20
  62 1 10
  63 4 40
  64 2 20
  65 14 140
  66 3 30
  67 10 100
  68 1 10
  69 9 90
  70 1 10
  71 5 50
  72 1 10
  73 1 10
  75 1 10
  76 1 10
  77 22 220
  78 8 80
  79 18 180
  80 5 50
  81 10 100
  82 2 20
  83 2 20
  84 1 10
  85 2 20
  88 1 10
  89 2 20
  90 1 10
  91 46 460
  92 12 120
  93 18 180
  94 4 40
  95 7 70
  96 1 10
  97 2 20
  98 1 10
  99 1 10
  101 1 10
  102 2 20
  103 7 70
  104 5 50
  105 41 410
  106 9 90
  107 8.5 85
  108 2 20
  109 4 40
  110 1 10
  111 1 10
  113 2 20
  114 1 10
  115 11 110
  116 6 60
  117 28 280
  118 9 90
  119 23 230
  120 6 60
  121 5 50
  122 1 10
  123 3 30
  124 1 10
  125 3 30
  126 1 10
  127 2 20
  128 5 50
  129 7 70
  130 6 60
  131 19 190
  132 10 100
  133 15 150
  134 3 30
  135 2 20
  136 1 10
  137 1 10
  139 3 30
  140 1 10
  141 1 10
  142 1 10
  143 5 50
  144 3 30
  145 83 830
  146 16 160
  147 54 540
  148 9 90
  149 1 10
  150 1 10
  155 1 10
  156 1 10
  157 3 30
  158 2 20
  159 7 70
  160 40 400
  161 13 130
  162 2 20
  163 1 10
  171 1 10
  172 1 10
  173 1 10
  174 2 20
  175 13 130
  176 2 20
  177 1 10
  185 6 60
  186 1 10
  189 1 10
  190 1 10
  200 2 20
  201 1 10
  203 5 50
  204 1 10
  205 2 20
  218 19 190
  219 3.5 35
  220 1 10
//
