ACCESSION: JP001786
RECORD_TITLE: DOCOSANOIC ACID HEXYL ESTER; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: MASS SPECTROSCOPY SOC. OF JAPAN (MSSJ)
LICENSE: CC BY-NC-SA
CH$NAME: DOCOSANOIC ACID HEXYL ESTER
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C28H56O2
CH$EXACT_MASS: 424.42803
CH$SMILES: CCCCCCCCCCCCCCCCCCCCCC(=O)OCCCCCC
CH$IUPAC: InChI=1S/C28H56O2/c1-3-5-7-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-26-28(29)30-27-25-8-6-4-2/h3-27H2,1-2H3
CH$LINK: INCHIKEY SZHHTCPIUIMTIX-UHFFFAOYSA-N
CH$LINK: COMPTOX DTXSID90181236
AC$INSTRUMENT: Unknown
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-01qc-9202000000-2cd770bfedeaafea2631
PK$NUM_PEAK: 147
PK$PEAK: m/z int. rel.int.
  4 1.09 11
  37 0.87 9
  41 0.68 7
  42 2.42 24
  43 15.22 152
  55 2.89 29
  56 25.41 254
  57 15.57 156
  58 0.84 8
  60 10.2 102
  61 58.31 583
  62 1.28 13
  67 0.46 5
  68 0.93 9
  69 7.82 78
  70 1.59 16
  71 8.33 83
  72 0.51 5
  73 16.96 170
  74 1.67 17
  75 0.25 3
  81 0.95 10
  82 1.85 19
  83 5.09 51
  84 99.99 999
  85 25.79 258
  86 1.66 17
  87 3.79 38
  88 0.27 3
  95 1.33 13
  96 1.35 14
  97 5.21 52
  98 5.82 58
  99 3.28 33
  100 0.31 3
  101 2.19 22
  102 1.08 11
  103 0.28 3
  109 1.04 10
  110 0.56 6
  111 3.37 34
  112 1.62 16
  113 1.81 18
  114 0.34 3
  115 3.75 38
  116 2.91 29
  117 0.31 3
  121 0.33 3
  123 0.81 8
  124 0.4 4
  125 2.17 22
  126 0.64 6
  127 1.39 14
  128 0.14 1
  129 13.68 137
  130 1.37 14
  131 0.11 1
  135 0.45 5
  137 0.49 5
  138 0.28 3
  139 1.5 15
  140 0.45 5
  141 0.81 8
  143 1.54 15
  144 3.83 38
  145 10.4 104
  146 0.93 9
  149 0.38 4
  151 0.27 3
  152 0.25 3
  153 1.04 10
  154 0.56 6
  155 0.67 7
  157 6.34 63
  158 0.81 8
  163 0.26 3
  166 0.13 1
  167 0.76 8
  168 0.33 3
  169 0.47 5
  171 2.12 21
  172 0.75 8
  177 0.17 2
  181 0.54 5
  182 0.2 2
  183 0.3 3
  185 3.27 33
  186 0.75 8
  195 0.47 5
  196 0.26 3
  197 0.27 3
  199 1.6 16
  200 0.48 5
  209 0.29 3
  210 0.28 3
  211 0.15 2
  213 2.75 28
  214 0.51 5
  222 0.13 1
  223 0.29 3
  224 0.14 1
  225 0.15 2
  227 0.95 10
  228 0.32 3
  236 0.22 2
  237 0.24 2
  238 0.15 2
  241 2.55 26
  242 0.62 6
  251 0.15 2
  252 0.18 2
  255 1.36 14
  256 0.32 3
  269 0.62 6
  270 0.19 2
  273 2.27 23
  278 0.45 5
  279 0.17 2
  280 0.21 2
  283 0.66 7
  284 0.27 3
  297 3.74 37
  298 0.86 9
  303 0.19 2
  304 0.26 3
  305 0.15 2
  311 0.73 7
  312 0.33 3
  313 0.16 2
  320 0.91 9
  321 1.22 12
  322 0.73 7
  323 8.26 83
  324 2.04 20
  325 0.52 5
  338 0.13 1
  339 1.16 12
  340 18.63 186
  341 39.36 394
  342 9.19 92
  343 1.3 13
  344 0.1 1
  381 0.53 5
  382 0.15 2
  424 17.56 176
  425 5.94 59
  426 1.14 11
//
