ACCESSION: JP002679
RECORD_TITLE: 1,3-DI-O-TRIMETHYLSILYL DODECASPHINGANINE; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: HAYASHI A, DEPT. OF CHEMISTRY, FAC. OF SCI. AND TECHNOLOGY, KINKI UNIV.
LICENSE: CC BY-NC-SA
CH$NAME: 1,3-DI-O-TRIMETHYLSILYL DODECASPHINGANINE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C18H43NO2Si2
CH$EXACT_MASS: 361.28323
CH$SMILES: CCCCCCCCCC([H])(O[Si](C)(C)C)C([H])(N)CO[Si](C)(C)C
CH$IUPAC: InChI=1S/C18H43NO2Si2/c1-8-9-10-11-12-13-14-15-18(21-23(5,6)7)17(19)16-20-22(2,3)4/h17-18H,8-16,19H2,1-7H3/t17-,18+/m0/s1
CH$LINK: INCHIKEY WSLBFLLKCVEBDX-ZWKOTPCHSA-N
AC$INSTRUMENT: SHIMADZU LKB-9000B
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 70 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-001i-6920000000-e5219d599da41686d795
PK$NUM_PEAK: 128
PK$PEAK: m/z int. rel.int.
  41 4.8 48
  42 1.7 17
  43 5.4 54
  44 1.6 16
  45 4.4 44
  46 0.4 4
  47 1.7 17
  48 0.01 0
  53 0.5 5
  54 1.1 11
  55 4.3 43
  56 0.38 4
  57 2.7 27
  58 0.9 9
  59 3.2 32
  60 0.08 1
  61 1.3 13
  66 0.2 2
  67 1.9 19
  68 0.15 2
  69 4.1 41
  70 2.3 23
  71 1.3 13
  72 0.11 1
  73 49.1 491
  74 7.8 78
  75 18.6 186
  76 0.19 2
  77 1 10
  79 0.5 5
  80 0.3 3
  81 0.18 2
  82 1.6 16
  83 2.5 25
  84 1 10
  85 0.05 1
  86 0.8 8
  87 0.1 1
  88 1.3 13
  89 0.1 1
  90 0.4 4
  91 0.8 8
  93 0.6 6
  94 0.03 0
  95 1.6 16
  96 0.9 9
  97 2.2 22
  98 0.05 1
  99 0.6 6
  100 1.6 16
  101 1.8 18
  102 0.2 2
  103 5.8 58
  104 0.8 8
  105 0.5 5
  107 0.04 0
  108 0.3 3
  109 0.7 7
  110 0.7 7
  111 0.03 0
  112 0.6 6
  113 0.4 4
  114 0.7 7
  115 0.27 3
  116 21.4 214
  117 2.5 25
  118 1.1 11
  119 0.03 0
  126 0.3 3
  128 1.5 15
  129 4.8 48
  130 0.15 2
  131 7.3 73
  132 99.99 999
  133 12.6 126
  134 0.43 4
  135 0.6 6
  138 0.3 3
  141 0.4 4
  142 0.1 1
  143 0.9 9
  144 1.3 13
  145 0.5 5
  147 0.43 4
  148 1 10
  149 0.9 9
  155 0.3 3
  156 0.07 1
  157 0.3 3
  158 1.3 13
  159 0.4 4
  168 0.22 2
  169 0.3 3
  171 0.3 3
  177 0.3 3
  182 0.08 1
  185 0.4 4
  191 0.3 3
  204 0.3 3
  206 0.03 0
  207 0.3 3
  213 0.5 5
  217 1.1 11
  218 0.06 1
  219 0.5 5
  226 0.4 4
  227 0.3 3
  228 0.04 0
  229 7.3 73
  230 1.6 16
  231 0.5 5
  233 0.2 2
  234 0.07 1
  242 2.3 23
  243 0.4 4
  256 3 30
  257 0.09 1
  258 28.4 284
  259 6.3 63
  260 1.6 16
  270 0.03 0
  281 0.1 1
  284 1.1 11
  285 0.3 3
  317 1.2 12
  318 0.3 3
  346 1 10
  347 0.3 3
//
