ACCESSION: JP002799
RECORD_TITLE: DESERPIDINE; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: SASAKI S, TOYOHASHI UNIV. OF TECH.
LICENSE: CC BY-NC-SA
CH$NAME: DESERPIDINE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C32H38N2O8
CH$EXACT_MASS: 578.26282
CH$SMILES: CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=CC=CC=C45)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
CH$IUPAC: InChI=1S/C32H38N2O8/c1-37-24-12-17(13-25(38-2)29(24)39-3)31(35)42-26-14-18-16-34-11-10-20-19-8-6-7-9-22(19)33-28(20)23(34)15-21(18)27(30(26)40-4)32(36)41-5/h6-9,12-13,18,21,23,26-27,30,33H,10-11,14-16H2,1-5H3/t18-,21+,23-,26-,27+,30+/m1/s1
CH$LINK: INCHIKEY CVBMAZKKCSYWQR-WCGOZPBSSA-N
AC$INSTRUMENT: Unknown
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-014i-7967010000-b3758c647fba3c682e47
PK$NUM_PEAK: 433
PK$PEAK: m/z int. rel.int.
  28 44.2 442
  29 34.6 346
  30 9.4 94
  31 3.62 36
  32 24 240
  33 1.4 14
  34 0.1 1
  35 0.26 3
  36 7.8 78
  37 2.9 29
  38 7.4 74
  39 1.76 18
  40 2.9 29
  41 13.1 131
  42 9 90
  43 0.91 9
  44 13.6 136
  45 6.9 69
  46 1 10
  47 0.14 1
  48 0.2 2
  49 1.5 15
  50 6.7 67
  51 0.79 8
  52 3 30
  53 9.4 94
  54 2.6 26
  55 0.76 8
  56 2.4 24
  57 2.8 28
  58 1.2 12
  59 0.49 5
  60 1.2 12
  61 1.4 14
  62 2.1 21
  63 0.49 5
  64 2.4 24
  65 10 100
  66 7.4 74
  67 0.67 7
  68 3 30
  69 8.2 82
  70 1.9 19
  71 0.42 4
  72 1.5 15
  73 1.3 13
  74 1.8 18
  75 0.49 5
  76 3.7 37
  77 13 130
  78 4.4 44
  79 0.83 8
  80 3 30
  81 11.8 118
  82 3 30
  83 0.29 3
  84 1.4 14
  85 3 30
  86 1 10
  87 0.14 1
  88 1.4 14
  89 2.3 23
  90 1.7 17
  91 0.62 6
  92 4 40
  93 15 150
  94 5.1 51
  95 0.63 6
  96 4.7 47
  97 5.3 53
  98 3.4 34
  99 0.17 2
  100 1.2 12
  101 2.3 23
  102 2.2 22
  103 0.31 3
  104 2.2 22
  105 4.7 47
  106 4.1 41
  107 0.06 1
  108 4.2 42
  109 10.4 104
  110 5.1 51
  111 1.11 11
  112 2 20
  113 2.9 29
  114 2.9 29
  115 0.78 8
  116 3.3 33
  117 4.2 42
  118 2.9 29
  119 0.03 0
  120 3 30
  121 5.9 59
  122 7 70
  123 0.68 7
  124 5.8 58
  125 4.4 44
  126 6.7 67
  127 0.52 5
  128 7.4 74
  129 10.4 104
  130 8 80
  131 0.26 3
  132 1.9 19
  133 2.7 27
  134 7.2 72
  135 0.61 6
  136 4.1 41
  137 12.4 124
  138 2.6 26
  139 0.95 10
  140 4.3 43
  141 18.2 182
  142 8.2 82
  143 0.99 10
  144 12.6 126
  145 2.7 27
  146 1.2 12
  147 0.13 1
  148 1.9 19
  149 2.9 29
  150 2.8 28
  151 0.86 9
  152 11.9 119
  153 6.2 62
  154 14.4 144
  155 0.59 6
  156 18.4 184
  157 6.2 62
  158 2.4 24
  159 0.01 0
  160 1.1 11
  161 1.2 12
  162 1.5 15
  163 0.24 2
  164 3.3 33
  165 4.5 45
  166 3.2 32
  167 1.26 13
  168 11.2 112
  169 25.2 252
  170 13 130
  171 0.45 5
  172 1.2 12
  173 0.9 9
  174 1.1 11
  175 0.11 1
  176 1.7 17
  177 1.5 15
  178 1.6 16
  179 0.31 3
  180 4.9 49
  181 7 70
  182 7.2 72
  183 0.71 7
  184 14.6 146
  185 5.1 51
  186 1.9 19
  187 0.14 1
  188 1.2 12
  189 1.3 13
  190 1.9 19
  191 0.21 2
  192 2.4 24
  193 2.9 29
  194 3.3 33
  195 5.74 57
  196 9.4 94
  197 32.1 321
  198 7.2 72
  199 0.24 2
  200 1.2 12
  201 1 10
  202 1.6 16
  203 0.17 2
  204 2.1 21
  205 2.9 29
  206 7.7 77
  207 0.49 5
  208 4.9 49
  209 5.9 59
  210 2.4 24
  211 0.36 4
  212 33.1 331
  213 5.2 52
  214 2 20
  215 0.19 2
  216 1.7 17
  217 2.7 27
  218 3.4 34
  219 0.87 9
  220 7.2 72
  221 57 570
  222 18.4 184
  223 0.88 9
  224 9.1 91
  225 2.3 23
  226 1.4 14
  227 0.13 1
  228 1.6 16
  229 1.4 14
  230 2.1 21
  231 0.21 2
  232 2.9 29
  233 4.9 49
  234 5.4 54
  235 0.24 2
  236 7.2 72
  237 5.9 59
  238 2.3 23
  239 0.21 2
  240 3.7 37
  241 3.8 38
  242 3.4 34
  243 0.29 3
  244 2.7 27
  245 2.6 26
  246 2.2 22
  247 0.69 7
  248 2.7 27
  249 5.1 51
  250 1.9 19
  251 0.24 2
  252 1.6 16
  253 1.6 16
  254 2.1 21
  255 0.32 3
  256 3.6 36
  257 3 30
  258 2.6 26
  259 0.42 4
  260 2.4 24
  261 4.2 42
  262 2 20
  263 0.29 3
  264 2 20
  265 5.2 52
  266 3.9 39
  267 0.72 7
  268 7.9 79
  269 10.2 102
  270 7 70
  271 0.83 8
  272 4.1 41
  273 7.4 74
  274 3.3 33
  275 0.54 5
  276 2.1 21
  277 2.4 24
  278 1.2 12
  279 0.16 2
  280 0.9 9
  281 1 10
  282 0.9 9
  283 0.17 2
  284 2.1 21
  285 1.4 14
  286 1 10
  287 0.13 1
  288 1 10
  289 2.2 22
  290 1.3 13
  291 0.11 1
  292 3.1 31
  293 4.5 45
  294 1.6 16
  295 0.22 2
  296 1.1 11
  297 1.9 19
  298 1 10
  299 0.02 0
  300 1 10
  301 2.1 21
  302 1.4 14
  303 0.19 2
  304 1.4 14
  305 3.1 31
  306 1.4 14
  307 0.59 6
  308 2.2 22
  309 1 10
  310 0.4 4
  311 0.14 1
  312 1 10
  313 2.2 22
  314 2.2 22
  315 0.19 2
  316 1.2 12
  317 4.1 41
  318 1.4 14
  319 0.27 3
  320 1 10
  321 1.2 12
  322 0.9 9
  323 0.12 1
  324 0.9 9
  325 0.4 4
  326 1 10
  327 1.54 15
  328 17 170
  329 20.2 202
  330 13 130
  331 0.91 9
  332 8.4 84
  333 20.9 209
  334 6.4 64
  335 0.12 1
  336 4 40
  337 1.9 19
  338 1 10
  339 0.02 0
  340 1 10
  341 0.9 9
  342 1.1 11
  343 0.12 1
  344 0.9 9
  345 1.1 11
  346 0.9 9
  347 0.14 1
  348 1.1 11
  349 8 80
  350 2.4 24
  351 2.65 27
  352 7 70
  353 1.9 19
  354 1 10
  355 0.09 1
  356 0.4 4
  357 1 10
  358 0.4 4
  359 0.04 0
  360 0.2 2
  361 1 10
  362 0.9 9
  363 0.72 7
  364 26.9 269
  365 99.99 999
  366 40.9 409
  367 2.24 22
  368 6.2 62
  369 1.4 14
  370 0.4 4
  371 0.02 0
  372 0.1 1
  377 0.4 4
  378 1.7 17
  379 0.09 1
  380 1 10
  381 4.4 44
  382 1.9 19
  383 0.45 5
  384 1.4 14
  385 0.4 4
  386 0.1 1
  392 0.02 0
  393 0.4 4
  394 1 10
  395 1.9 19
  396 0.09 1
  397 0.4 4
  398 0.2 2
  408 0.1 1
  409 0.08 1
  410 0.4 4
  411 0.1 1
  432 0.1 1
  433 0.12 1
  434 1 10
  435 0.7 7
  436 0.2 2
  437 0.01 0
  446 0.5 5
  447 0.2 2
  448 0.9 9
  449 0.04 0
  450 0.1 1
  485 0.4 4
  486 0.1 1
  487 0.07 1
  488 0.6 6
  489 0.2 2
  490 0.1 1
  513 0.02 0
  514 0.1 1
  515 0.3 3
  516 0.4 4
  517 0.11 1
  518 0.9 9
  519 1 10
  520 0.4 4
  521 0.02 0
  522 0.1 1
  526 0.2 2
  527 0.6 6
  528 0.07 1
  529 1.1 11
  530 0.7 7
  531 1.4 14
  532 0.04 0
  533 0.2 2
  534 0.1 1
  541 0.1 1
  542 0.02 0
  543 1.2 12
  544 0.8 8
  545 3 30
  546 0.15 2
  547 3.4 34
  548 1.6 16
  549 0.7 7
  550 0.02 0
  560 0.1 1
  561 1.9 19
  562 1.3 13
  563 0.72 7
  564 3.4 34
  565 1.3 13
  566 0.3 3
  574 0.02 0
  575 4.1 41
  576 7.9 79
  577 22.1 221
  578 0.25 3
  579 8.4 84
  580 2 20
  581 0.8 8
  582 0.02 0
  606 0.3 3
  607 0.8 8
  608 1 10
  609 0.07 1
  610 0.2 2
//
