ACCESSION: JP003070
RECORD_TITLE: BUCLIZINE; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: SASAKI S, TOYOHASHI UNIV. OF TECH.
LICENSE: CC BY-NC-SA
CH$NAME: BUCLIZINE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C28H33ClN2
CH$EXACT_MASS: 432.23323
CH$SMILES: C(C3)N(CCN(Cc(c4)ccc(c4)C(C)(C)C)3)C(c(c2)cccc2)c(c1)ccc(c1)Cl
CH$IUPAC: InChI=1S/C28H33ClN2/c1-28(2,3)25-13-9-22(10-14-25)21-30-17-19-31(20-18-30)27(23-7-5-4-6-8-23)24-11-15-26(29)16-12-24/h4-16,27H,17-21H2,1-3H3
CH$LINK: INCHIKEY MOYGZHXDRJNJEP-UHFFFAOYSA-N
AC$INSTRUMENT: Unknown
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-014j-4930000000-3910923ac39cbf7127f8
PK$NUM_PEAK: 267
PK$PEAK: m/z int. rel.int.
  35 2.7 27
  36 5.6 56
  37 1.3 13
  38 0.27 3
  39 9.1 91
  40 2.7 27
  41 17.1 171
  42 0.14 1
  43 13.9 139
  44 6.1 61
  45 2.5 25
  46 0.03 0
  49 1.3 13
  50 7.1 71
  51 14.1 141
  52 0.41 4
  53 3.9 39
  54 4.5 45
  55 12.9 129
  56 1.59 16
  57 18.4 184
  58 34.9 349
  59 3.4 34
  61 0.11 1
  62 4 40
  63 8.9 89
  64 3.5 35
  65 0.68 7
  66 2.1 21
  67 4.8 48
  68 2.1 21
  69 0.63 6
  70 3.4 34
  71 8.8 88
  72 8.3 83
  73 0.19 2
  74 3.9 39
  75 13.4 134
  76 7.4 74
  77 2.54 25
  78 6.9 69
  79 9.5 95
  80 4.1 41
  81 0.43 4
  82 7.8 78
  83 13.3 133
  84 6.1 61
  85 1.39 14
  86 2.3 23
  87 4.3 43
  88 1.8 18
  89 1.01 10
  90 4.9 49
  91 33.4 334
  92 4.9 49
  93 0.33 3
  94 3 30
  95 3.9 39
  96 3.9 39
  97 0.71 7
  98 5.4 54
  99 5.9 59
  100 15.9 159
  101 0.03 0
  102 4.9 49
  103 4.9 49
  104 8.9 89
  105 4.79 48
  106 7.9 79
  107 4 40
  108 3.8 38
  109 0.28 3
  110 3.9 39
  111 16.9 169
  112 5.4 54
  113 0.06 1
  114 4.8 48
  115 21.4 214
  116 8.9 89
  117 3.59 36
  118 8.4 84
  119 15.9 159
  120 4.9 49
  121 2.59 26
  122 6.8 68
  123 4.4 44
  124 4.9 49
  125 0.86 9
  126 3.9 39
  127 7.9 79
  128 6.9 69
  129 0.39 4
  130 5.9 59
  131 16.9 169
  132 33.9 339
  133 2.04 20
  134 5.9 59
  135 2.5 25
  136 2.3 23
  137 0.18 2
  138 5.3 53
  139 25.9 259
  140 8.4 84
  141 0.89 9
  142 2.3 23
  143 1.9 19
  144 4.3 43
  145 0.71 7
  146 6.1 61
  147 99.99 999
  148 18.9 189
  149 0.59 6
  150 5.1 51
  151 4.8 48
  152 11.9 119
  153 0.04 0
  154 2.5 25
  155 2.5 25
  156 2.8 28
  157 0.26 3
  158 3 30
  159 2.5 25
  160 3.4 34
  161 0.59 6
  162 5.1 51
  163 9.9 99
  164 8.1 81
  165 7.59 76
  166 48.9 489
  167 62.4 624
  168 10.4 104
  169 0.23 2
  170 0.4 4
  171 4.4 44
  172 2.2 22
  173 0.38 4
  174 3.3 33
  175 5.9 59
  176 10.9 109
  177 0.33 3
  178 5 50
  179 4.3 43
  180 4.3 43
  181 0.69 7
  182 2.3 23
  183 2 20
  184 1.9 19
  185 0.17 2
  186 2 20
  187 2.2 22
  188 4.8 48
  189 0.39 4
  190 9.9 99
  191 3.9 39
  192 3 30
  193 0.31 3
  194 1 10
  195 0.9 9
  196 0.8 8
  197 0.11 1
  198 2.8 28
  199 8.3 83
  200 4 40
  201 7.49 75
  202 26.9 269
  203 37.4 374
  204 11.9 119
  205 0.44 4
  206 0.3 3
  207 0.8 8
  208 1.1 11
  209 0.23 2
  210 1.6 16
  211 2.3 23
  212 2.8 28
  213 0.21 2
  214 6.4 64
  215 7.9 79
  216 25.9 259
  217 0.79 8
  218 10.1 101
  219 3.9 39
  220 1.9 19
  223 0.11 1
  224 1.1 11
  225 1.3 13
  226 1.8 18
  227 0.02 0
  228 5.9 59
  229 6.4 64
  230 5.9 59
  231 2.49 25
  232 10.9 109
  233 6.4 64
  235 0.1 1
  237 0.07 1
  238 1.1 11
  239 2.1 21
  240 2.4 24
  241 0.49 5
  242 6.3 63
  243 5.9 59
  244 4.9 49
  245 0.25 3
  246 2.8 28
  247 1.1 11
  248 1.1 11
  249 0.08 1
  251 1 10
  252 2.1 21
  253 1.1 11
  254 0.21 2
  255 2.1 21
  256 3 30
  257 1.3 13
  258 0.38 4
  259 7.3 73
  260 2.9 29
  261 2.8 28
  262 0.11 1
  263 1.2 12
  264 1 10
  265 0.8 8
  266 0.13 1
  267 1.8 18
  268 2.1 21
  269 2.2 22
  270 0.21 2
  271 2.1 21
  272 0.8 8
  273 0.1 1
  279 0.09 1
  280 1.8 18
  281 1.5 15
  282 2 20
  283 0.19 2
  284 3.3 33
  285 12.9 129
  286 6.4 64
  287 0.62 6
  288 1.9 19
  289 1.9 19
  296 1.3 13
  297 0.15 2
  298 2 20
  299 2 20
  300 1.7 17
  301 0.08 1
  302 0.1 1
  310 4.1 41
  311 2.8 28
  312 0.29 3
  313 3.1 31
  314 3.1 31
  315 3 30
  316 0.02 0
  317 0.8 8
  396 0.3 3
  397 3 30
  398 0.25 3
  399 2.7 27
  400 0.1 1
  431 1.9 19
  432 0.49 5
  433 2.9 29
  434 2.4 24
  435 0.5 5
//
