ACCESSION: JP003086
RECORD_TITLE: STRYCHNINE; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: SASAKI S, TOYOHASHI UNIV. OF TECH.
LICENSE: CC BY-NC-SA
CH$NAME: STRYCHNINE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C21H22N2O2
CH$EXACT_MASS: 334.16813
CH$SMILES: c(c7)cc(c(c7)1)N(C(=O)5)C([H])(C([H])42)C(C6)1C([H])(N3C6)CC([H])(C(=CCOC([H])(C5)4)C3)2
CH$IUPAC: InChI=1S/C21H22N2O2/c24-18-10-16-19-13-9-17-21(6-7-22(17)11-12(13)5-8-25-16)14-3-1-2-4-15(14)23(18)20(19)21/h1-5,13,16-17,19-20H,6-11H2/t13-,16-,17-,19-,20-,21+/m0/s1
CH$LINK: INCHIKEY QMGVPVSNSZLJIA-FVWCLLPLSA-N
AC$INSTRUMENT: Unknown
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-053u-7932000000-04182929c472fb9f2b05
PK$NUM_PEAK: 305
PK$PEAK: m/z int. rel.int.
  29 9.4 94
  30 9.7 97
  31 2.6 26
  32 1.05 11
  33 0.1 1
  34 0.2 2
  35 8.2 82
  36 2.83 28
  37 3.7 37
  38 13 130
  39 22.5 225
  40 0.61 6
  41 33.8 338
  42 24.1 241
  43 18.1 181
  44 4.42 44
  45 3.5 35
  46 1.9 19
  47 3.1 31
  48 0.19 2
  49 2.1 21
  50 6.1 61
  51 14.7 147
  52 0.72 7
  53 12.4 124
  54 11.5 115
  55 32.8 328
  56 1.85 19
  57 9.3 93
  58 6 60
  59 2.4 24
  60 0.21 2
  61 2.1 21
  62 2.9 29
  63 7.2 72
  64 0.37 4
  65 15.4 154
  66 6.5 65
  67 11.9 119
  68 0.11 1
  69 9.2 92
  70 6.7 67
  71 4.3 43
  72 0.22 2
  73 3.2 32
  74 3.1 31
  75 8.4 84
  76 0.06 1
  77 34.9 349
  78 13.9 139
  79 25.7 257
  80 1.61 16
  81 12.4 124
  82 14.7 147
  83 4.5 45
  84 0.41 4
  85 2.4 24
  86 2 20
  87 2.7 27
  88 0.04 0
  89 9.2 92
  90 5.8 58
  91 26.9 269
  92 0.87 9
  93 16.9 169
  94 21.5 215
  95 9.7 97
  96 0.49 5
  97 8.4 84
  98 4.5 45
  99 2.1 21
  100 0.24 2
  101 4.9 49
  102 9.4 94
  103 9.1 91
  104 0.65 7
  105 13.4 134
  106 15.5 155
  107 32.9 329
  108 1.91 19
  109 7.2 72
  110 3.1 31
  111 2.4 24
  112 0.22 2
  113 3.9 39
  114 4.5 45
  115 24.9 249
  116 1.02 10
  117 17.9 179
  118 12.8 128
  119 22.7 227
  120 3.65 37
  121 19 190
  122 9 90
  123 3.9 39
  124 0.29 3
  125 2.7 27
  126 5.2 52
  127 9.2 92
  128 1.27 13
  129 14.1 141
  130 31.4 314
  131 11.4 114
  132 1.54 15
  133 12.6 126
  134 21.9 219
  135 11 110
  136 1.52 15
  137 5.8 58
  138 7.4 74
  139 7 70
  140 0.07 1
  141 4.9 49
  142 8 80
  143 28.5 285
