ACCESSION: JP003548
RECORD_TITLE: 19-NORTESTOSTERONE; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: YAMAMOTO M, DEP. CHEMISTRY, FAC. SCIENCE, NARA WOMEN'S UNIV.
LICENSE: CC BY-NC-SA
CH$NAME: 19-NORTESTOSTERONE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C18H26O2
CH$EXACT_MASS: 274.19328
CH$SMILES: O=C(C4)C([H])=C(C3)C([H])(C4)C([H])(C2)C([H])(C3)C([H])(C1)C(C)(C2)C([H])(O)C1
CH$IUPAC: InChI=1S/C18H26O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h10,13-17,20H,2-9H2,1H3/t13-,14+,15+,16-,17-,18-/m0/s1
CH$LINK: INCHIKEY NPAGDVCDWIYMMC-IZPLOLCNSA-N
CH$LINK: COMPTOX DTXSID7023350
AC$INSTRUMENT: HITACHI RMU-6E
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 70 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-05i3-8950000000-2aca1e24a2ef4acf545f
PK$NUM_PEAK: 146
PK$PEAK: m/z int. rel.int.
  27 7.3 73
  28 5.9 59
  29 10.5 105
  31 1.8 18
  39 10.9 109
  40 2.5 25
  41 35.6 356
  42 0.23 2
  43 16.3 163
  44 1.5 15
  51 2.8 28
  52 0.24 2
  53 14.3 143
  54 2.3 23
  55 28.3 283
  56 0.18 2
  57 7.9 79
  58 1.8 18
  65 9.1 91
  66 0.4 4
  67 24.8 248
  68 5.8 58
  69 6.4 64
  71 0.43 4
  77 22.9 229
  78 7.4 74
  79 32.6 326
  80 0.88 9
  81 20.4 204
  82 3.6 36
  83 6 60
  84 0.14 1
  85 1.8 18
  86 1.7 17
  91 37.2 372
  92 0.85 9
  93 24.8 248
  94 10.2 102
  95 16 160
  96 0.54 5
  97 11.4 114
  98 1.5 15
  99 1.1 11
  101 0.11 1
  103 3.4 34
  104 4.1 41
  105 26.7 267
  106 0.94 9
  107 24.2 242
  108 13.7 137
  109 19.9 199
  110 8.95 90
  111 10.7 107
  115 5.1 51
  116 2.5 25
  117 1.04 10
  118 5.8 58
  119 17 170
  120 17.5 175
  121 1.79 18
  122 12.4 124
  123 18.4 184
  124 5.7 57
  128 0.32 3
  129 5.3 53
  130 2.7 27
  131 13.1 131
  132 0.69 7
  133 14.3 143
  134 11.5 115
  135 15.5 155
  136 0.46 5
  137 2 20
  141 2 20
  142 1.9 19
  143 0.41 4
  144 4 40
  145 10.6 106
  146 11.9 119
  147 2.21 22
  148 12.9 129
  149 6.8 68
  150 2.1 21
  151 0.33 3
  152 1.5 15
  153 1.1 11
  155 1.6 16
  156 0.15 2
  157 4 40
  158 3.3 33
  159 9.3 93
  160 1.38 14
  161 8.7 87
  162 5 50
  163 3.5 35
  164 0.61 6
  165 8.6 86
  166 2.3 23
  169 1.7 17
  170 0.17 2
  171 3.8 38
  172 2.9 29
  173 12.5 125
  174 0.95 10
  175 8.2 82
  176 1.8 18
  183 1.9 19
  184 0.15 2
  185 4.4 44
  186 3.2 32
  187 7.5 75
  188 0.61 6
  189 3.2 32
  190 2.6 26
  197 7.5 75
  198 0.26 3
  199 6.6 66
  200 2.7 27
  201 3.7 37
  202 0.76 8
  203 4.1 41
  204 1.8 18
  212 3 30
  213 3.3 33
  214 7.4 74
  215 20 200
  216 5.6 56
  217 0.94 9
  218 4.2 42
  228 2.1 21
  229 1.4 14
  230 0.73 7
  231 17.3 173
  232 16.3 163
  233 2.5 25
  238 0.18 2
  239 1.2 12
  241 3.9 39
  246 7.4 74
  247 0.14 1
  256 16 160
  257 3.4 34
  259 1.2 12
  274 99.99 999
  275 20.8 208
  276 2.4 24
//
