ACCESSION: JP003835
RECORD_TITLE: LIBRIUM; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: SASAKI S, TOYOHASHI UNIV. OF TECH.
LICENSE: CC BY-NC-SA
CH$NAME: LIBRIUM
CH$NAME: CHLORDIAZEPOXIDE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C16H14ClN3O
CH$EXACT_MASS: 299.08254
CH$SMILES: CNC(C2)=Nc(c3)c(cc(Cl)c3)C(=[N+1]([O-1])2)c(c1)cccc1
CH$IUPAC: InChI=1S/C16H14ClN3O/c1-18-15-10-20(21)16(11-5-3-2-4-6-11)13-9-12(17)7-8-14(13)19-15/h2-9H,10H2,1H3,(H,18,19)
CH$LINK: INCHIKEY ANTSCNMPPGJYLG-UHFFFAOYSA-N
CH$LINK: COMPTOX DTXSID4046022
AC$INSTRUMENT: Unknown
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 70 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-001i-5590000000-a20477457b7e9f8a22ea
PK$NUM_PEAK: 241
PK$PEAK: m/z int. rel.int.
  36 4.9 49
  37 0.9 9
  38 2.9 29
  39 0.89 9
  40 8.9 89
  41 18.9 189
  42 10.9 109
  43 0.79 8
  44 14.9 149
  45 1.9 19
  49 0.9 9
  50 0.39 4
  51 10.9 109
  52 2.9 29
  53 1.9 19
  54 0.59 6
  55 12.4 124
  56 19.9 199
  57 7.9 79
  58 0.54 5
  59 1.9 19
  60 2.9 29
  61 0.9 9
  62 0.29 3
  63 6.9 69
  64 2.9 29
  65 5.9 59
  66 0.19 2
  67 2.9 29
  68 2.9 29
  69 4.9 49
  70 0.29 3
  71 2.9 29
  72 0.9 9
  73 2.9 29
  74 0.29 3
  75 9.9 99
  76 7.9 79
  77 22.9 229
  78 0.39 4
  79 2.9 29
  80 1.9 19
  81 3.9 39
  82 0.49 5
  83 3.9 39
  84 1.9 19
  85 1.9 19
  86 0.19 2
  87 2.9 29
  88 4.9 49
  89 10.9 109
  90 0.49 5
  91 18.9 189
  92 2.9 29
  93 2.9 29
  94 0.19 2
  95 2.9 29
  96 3.9 39
  97 3.9 39
  98 0.29 3
  99 2.9 29
  100 3.9 39
  101 3.4 34
  102 0.69 7
  103 6.9 69
  104 4.9 49
  105 6.9 69
  106 0.29 3
  107 1.9 19
  108 1.9 19
  109 4.9 49
  110 0.49 5
  111 4.9 49
  112 2.9 29
  113 2.9 29
  114 0.39 4
  115 3.9 39
  116 4.9 49
  117 4.9 49
  118 0.59 6
  119 1.9 19
  120 3.9 39
  121 2.9 29
  122 0.19 2
  123 3.9 39
  124 10.9 109
  125 3.9 39
  126 0.49 5
  127 3.9 39
  128 2.9 29
  129 2.9 29
  130 0.19 2
  131 1.9 19
  132 2.9 29
  133 0.9 9
  134 0.19 2
  135 1.9 19
  136 2.9 29
  137 2.9 29
  138 0.49 5
  139 3.9 39
  140 2.9 29
  141 2.9 29
  142 0.29 3
  143 2.9 29
  144 1.9 19
  145 1.9 19
  146 0.09 1
  147 1.9 19
  148 0.9 9
  149 10.9 109
  150 0.59 6
  151 9.9 99
  152 6.9 69
  153 3.9 39
  154 0.19 2
  155 0.9 9
  156 0.9 9
  157 0.9 9
  158 0.09 1
  159 0.9 9
  160 0.9 9
  161 0.9 9
  162 0.29 3
  163 9.9 99
  164 7.9 79
  165 10.9 109
  166 0.39 4
  167 2.9 29
  168 1.9 19
  169 1.4 14
  170 0.09 1
  171 1.9 19
  172 0.9 9
  173 0.9 9
  174 0.09 1
  175 1.9 19
  176 3.9 39
  177 7.9 79
  178 0.59 6
  179 7.9 79
  180 4.9 49
  181 2.9 29
  182 0.09 1
  186 1.9 19
  187 1.9 19
  188 2.9 29
  189 0.29 3
  190 6.9 69
  191 4.9 49
  192 3.9 39
  193 0.49 5
  194 2.9 29
  195 1.9 19
  196 0.9 9
  197 0.09 1
