ACCESSION: JP004154
RECORD_TITLE: N-(META-PHENOXYPHENYL)-2-PYRROLIDONE; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: MASS SPECTROSCOPY SOC. OF JAPAN (MSSJ)
LICENSE: CC BY-NC-SA
CH$NAME: N-(META-PHENOXYPHENYL)-2-PYRROLIDONE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C16H15NO2
CH$EXACT_MASS: 253.11028
CH$SMILES: c(c3)ccc(c3)Oc(c2)cc(cc2)N(C1)C(=O)CC1
CH$IUPAC: InChI=1S/C16H15NO2/c18-16-10-5-11-17(16)13-6-4-9-15(12-13)19-14-7-2-1-3-8-14/h1-4,6-9,12H,5,10-11H2
CH$LINK: INCHIKEY RFCQFBDBPGMUDP-UHFFFAOYSA-N
AC$INSTRUMENT: HITACHI RMU-6E
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 70 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-0udj-3960000000-62c4f723a2f0844b3ac8
PK$NUM_PEAK: 156
PK$PEAK: m/z int. rel.int.
  26 0.3 3
  27 1.5 15
  28 2.8 28
  29 0.06 1
  30 0.3 3
  31 0.1 1
  32 0.4 4
  38 0.07 1
  39 9.2 92
  40 0.8 8
  41 3.8 38
  42 0.11 1
  43 0.8 8
  44 0.2 2
  45 0.2 2
  50 0.13 1
  51 11.8 118
  52 1.1 11
  53 0.7 7
  54 0.02 0
  55 1.8 18
  56 0.6 6
  57 0.5 5
  61 0.01 0
  62 0.4 4
  63 2 20
  64 2.5 25
  65 0.31 3
  66 0.8 8
  67 0.3 3
  68 0.4 4
  69 0.08 1
  70 0.4 4
  71 0.3 3
  72 0.2 2
  73 0.01 0
  74 0.3 3
  75 0.9 9
  76 1.7 17
  77 1.8 18
  78 1.7 17
  79 0.7 7
  80 0.5 5
  81 0.02 0
  82 0.2 2
  86 0.2 2
  87 0.2 2
  88 0.01 0
  89 0.6 6
  90 1.1 11
  91 1.6 16
  92 0.22 2
  93 1 10
  94 0.6 6
  95 0.4 4
  96 0.01 0
  97 0.4 4
  98 0.5 5
  99 0.6 6
  101 0.02 0
  102 0.4 4
  103 0.5 5
  104 1.8 18
  105 0.25 3
  106 0.5 5
  107 0.3 3
  108 0.2 2
  109 0.04 0
  110 0.1 1
  111 0.1 1
  112 0.3 3
  113 0.03 0
  114 0.2 2
  115 3.8 38
  116 0.7 7
  117 0.1 1
  118 0.6 6
  119 0.4 4
  120 0.5 5
  121 0.04 0
  122 0.4 4
  123 0.2 2
  124 0.2 2
  125 0.02 0
  126 0.2 2
  127 0.7 7
  128 0.9 9
  129 0.07 1
  130 1.2 12
  131 0.4 4
  132 1 10
  133 0.02 0
  134 0.1 1
  135 0.1 1
  137 0.1 1
  138 0.01 0
  139 1.5 15
  140 0.8 8
  141 13 130
  142 0.11 1
  143 0.4 4
  144 0.1 1
  145 0.1 1
  146 0.02 0
  147 0.2 2
  148 0.1 1
  149 1.3 13
  150 0.03 0
  151 0.2 2
  152 0.4 4
  153 0.6 6
  154 0.1 1
  155 1 10
  156 1.7 17
  157 0.9 9
  158 0.01 0
  159 0.1 1
  160 0.4 4
  164 0.1 1
  165 0.02 0
  166 0.5 5
  167 0.6 6
  168 11.2 112
  169 0.22 2
  170 1.3 13
  171 0.2 2
  177 0.3 3
  178 0.03 0
  179 0.1 1
  180 0.4 4
  181 0.4 4
  182 0.08 1
  183 0.9 9
  184 1 10
  185 3.5 35
  186 0.06 1
  187 0.1 1
  195 0.2 2
  196 1.6 16
  197 0.13 1
  198 99.99 999
  199 14 140
  200 0.7 7
  210 0.05 1
  211 0.5 5
  212 0.1 1
  223 0.3 3
  224 0.17 2
  225 2 20
  226 0.3 3
  227 0.1 1
  251 0.08 1
  252 26.4 264
  253 79.2 792
  254 16.8 168
  255 1 10
//
