ACCESSION: JP004562
RECORD_TITLE: 1,1-BIS(PARA-CHLOROPHENYL)-2-CHLOROETHENE; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: HAYASHI A, DEPT. OF CHEMISTRY, FAC. OF SCI. AND TECHNOLOGY, KINKI UNIV.
LICENSE: CC BY-NC-SA
CH$NAME: 1,1-BIS(PARA-CHLOROPHENYL)-2-CHLOROETHENE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C14H9Cl3
CH$EXACT_MASS: 281.97698
CH$SMILES: ClC=C(c(c2)ccc(Cl)c2)c(c1)ccc(Cl)c1
CH$IUPAC: InChI=1S/C14H9Cl3/c15-9-14(10-1-5-12(16)6-2-10)11-3-7-13(17)8-4-11/h1-9H
CH$LINK: INCHIKEY LNKQQZFLNUVWQQ-UHFFFAOYSA-N
AC$INSTRUMENT: SHIMADZU LKB-9000B
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 70 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-001i-1290000000-8045a277a479aa6efa73
PK$NUM_PEAK: 123
PK$PEAK: m/z int. rel.int.
  36 1.1 11
  38 0.6 6
  39 1.8 18
  40 0.81 8
  41 0.8 8
  43 0.8 8
  44 1.7 17
  45 0.06 1
  50 3.9 39
  51 4.1 41
  55 0.7 7
  57 0.09 1
  61 0.8 8
  62 1.8 18
  63 2.6 26
  67 0.06 1
  69 0.8 8
  70 0.5 5
  73 2.4 24
  74 0.53 5
  75 12.4 124
  76 2.2 22
  77 1 10
  81 0.08 1
  82 0.6 6
  83 0.6 6
  85 1.4 14
  86 0.18 2
  87 5.6 56
  88 18.7 187
  89 2.9 29
  92 0.1 1
  93 3.4 34
  94 1.4 14
  96 0.7 7
  97 0.1 1
  98 2.2 22
  99 3.8 38
  100 1.3 13
  101 0.36 4
  102 0.6 6
  105 12.2 122
  106 8.3 83
  107 0.22 2
  109 0.7 7
  110 3.1 31
  111 3.4 34
  112 0.08 1
  113 1.4 14
  122 0.9 9
  123 12.4 124
  124 0.77 8
  125 2.6 26
  126 2 20
  127 0.6 6
  133 0.06 1
  135 1.4 14
  136 5.9 59
  137 1.8 18
  138 0.26 3
  139 0.8 8
  141 0.7 7
  142 0.6 6
  146 0.05 1
  147 0.9 9
  148 0.8 8
  149 2.4 24
  150 0.46 5
  151 5.2 52
  152 1.1 11
  160 1.1 11
  161 0.06 1
  162 0.7 7
  163 1.5 15
  170 0.7 7
  172 0.07 1
  173 1.3 13
  174 3.9 39
  175 7.3 73
  176 3.6 36
  177 11.1 111
  178 1.9 19
  180 0.8 8
  181 0.07 1
  182 1 10
  183 0.7 7
  184 0.9 9
  185 0.08 1
  186 1.7 17
  199 0.5 5
  207 0.6 6
  208 0.07 1
  209 1.1 11
  210 3.9 39
  211 9.7 97
  212 9.67 97
  213 18.5 185
  214 33.4 334
  215 5.5 55
  216 0.13 1
  217 1 10
  218 0.8 8
  219 0.6 6
  233 0.42 4
  234 0.6 6
  235 2.8 28
  237 0.5 5
  245 0.08 1
  246 10.7 107
  247 26.9 269
  248 10.7 107
  249 1.72 17
  250 3.4 34
  251 2.8 28
  280 0.9 9
  281 0.21 2
  282 99.99 999
  283 16.6 166
  284 91.9 919
  285 1.52 15
  286 29.9 299
  287 4.7 47
  288 3.1 31
//
