ACCESSION: JP004855
RECORD_TITLE: (1S*,12S*,15S*)-15-METHOXYMETHYL-1,5,9-TRIMETHYLBICYCLO(10,2,2)HEXADECA-4(E),8(E)-DIEN-13-ONE; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: KATO T, DEPT. OF CHEM., FAC. OF SCI., TOHOKU UNIV.
LICENSE: CC BY-NC-SA
CH$NAME: (1S*,12S*,15S*)-15-METHOXYMETHYL-1,5,9-TRIMETHYLBICYCLO(10,2,2)HEXADECA-4(E),8(E)-DIEN-13-ONE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C21H34O3
CH$EXACT_MASS: 334.25079
CH$SMILES: N/A
CH$IUPAC: N/A
AC$INSTRUMENT: Unknown
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 25 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-008m-5950000000-21a8c63f5d23901b7dc0
PK$NUM_PEAK: 197
PK$PEAK: m/z int. rel.int.
  40 3 30
  41 2.8 28
  43 19.4 194
  44 0.21 2
  45 31.7 317
  55 9.9 99
  56 1.5 15
  57 0.85 9
  58 6.4 64
  59 3 30
  67 9.7 97
  68 0.56 6
  69 13.8 138
  70 2 20
  71 4.6 46
  79 0.82 8
  80 4.5 45
  81 99.99 999
  82 15.2 152
  83 1.23 12
  84 1.8 18
  85 4.8 48
  91 5.4 54
  92 0.25 3
  93 24.5 245
  94 28.5 285
  95 40.8 408
  96 1.03 10
  97 12.2 122
  107 31.1 311
  108 20 200
  109 3.8 38
  110 16.8 168
  111 9.5 95
  112 1.4 14
  113 0.22 2
  115 4.7 47
  117 3.7 37
  118 1.4 14
  119 1.2 12
  120 9 90
  121 44.4 444
  122 13.8 138
  123 2.13 21
  124 8.6 86
  125 8.7 87
  126 5.3 53
  127 0.33 3
  128 1.8 18
  131 6.4 64
  132 2.8 28
  133 1.41 14
  134 15.2 152
  135 23.3 233
  136 9.1 91
  137 1.31 13
  138 5.1 51
  139 4.8 48
  140 1.8 18
  141 0.2 2
  143 3.6 36
  144 1.5 15
  145 11.3 113
  146 0.36 4
  147 20 200
  148 10.1 101
  149 21.5 215
  150 0.56 6
  151 7.5 75
  152 2.6 26
  153 4 40
  154 0.16 2
  155 1.7 17
  157 4.7 47
  158 2 20
  159 1.26 13
  160 5.9 59
  161 20.5 205
  162 8.7 87
  163 2.08 21
  164 6.8 68
  165 5.7 57
  166 1.7 17
  167 0.12 1
  168 1.3 13
  169 2.1 21
  170 2 20
  171 0.68 7
  172 2.8 28
  173 9.5 95
  174 5.4 54
  175 1.17 12
  176 8.4 84
  177 7.6 76
  178 5.2 52
  179 0.56 6
  180 1.6 16
  181 1.7 17
  182 1.6 16
  183 0.33 3
  184 1.3 13
  185 5.6 56
  186 1.7 17
  187 0.91 9
  188 6.7 67
  189 56.3 563
  190 10.1 101
  191 0.94 9
  192 3.7 37
  193 3.6 36
  194 2.3 23
  195 0.12 1
  197 3.7 37
  198 1.1 11
  199 3.1 31
  200 0.14 1
  201 8.5 85
  202 4 40
  203 11.6 116
  204 0.49 5
  205 12.1 121
  206 2.6 26
  207 3.1 31
  208 0.17 2
  209 1.6 16
  210 1.3 13
  211 2.8 28
  212 0.15 2
  213 6.6 66
  214 3 30
  215 7.6 76
  216 0.28 3
  217 5.6 56
  218 3.2 32
  219 9.3 93
  220 0.6 6
  221 4.6 46
  222 1.8 18
  223 1.3 13
  224 0.15 2
  225 2.5 25
  226 1.7 17
  227 4.3 43
  228 0.18 2
  229 6.7 67
  230 2.6 26
  231 5.3 53
  232 0.24 2
  233 9.3 93
  234 1.5 15
  235 1.1 11
  237 0.13 1
  239 4.1 41
  240 3.4 34
  241 1.6 16
  243 0.82 8
  244 3.1 31
  245 2.6 26
  246 2.5 25
  247 0.18 2
  251 12.3 123
  252 2.6 26
  253 9.1 91
  254 0.66 7
  255 5.9 59
  256 2.9 29
  257 5.4 54
  258 0.18 2
  259 3.6 36
  261 1.3 13
  265 38.7 387
  266 0.66 7
  267 1.2 12
  269 2 20
  270 2.2 22
  271 1.32 13
  272 33.3 333
  273 17.8 178
  274 11.8 118
  275 0.23 2
  276 1.1 11
  284 1.8 18
  285 1.1 11
  287 0.3 3
  288 1.6 16
  289 22.3 223
  290 4.9 49
  291 0.11 1
  301 1.4 14
  302 9.9 99
  303 3.6 36
  316 0.28 3
  319 2.5 25
  330 2 20
  332 1.7 17
  334 3.85 39
  335 9.3 93
//
