ACCESSION: JP006234
RECORD_TITLE: NORETHINDRONE; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: MASS SPECTROSCOPY SOC. OF JAPAN (MSSJ)
LICENSE: CC BY-NC-SA
CH$NAME: NORETHINDRONE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C20H26O2
CH$EXACT_MASS: 298.19328
CH$SMILES: N/A
CH$IUPAC: N/A
AC$INSTRUMENT: HITACHI M-80
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 70 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-002f-9720000000-a27cd569fa590ce2de12
PK$NUM_PEAK: 205
PK$PEAK: m/z int. rel.int.
  36 3.01 30
  38 2.25 23
  39 59.91 599
  40 17.06 171
  41 99.99 999
  42 12.86 129
  43 46.72 467
  44 6.84 68
  45 3.6 36
  50 3.26 33
  51 17.63 176
  52 12.13 121
  53 66.32 663
  54 12.55 126
  55 69.25 693
  56 7.85 79
  57 15.43 154
  58 1.99 20
  59 1.3 13
  60 2.52 25
  61 11.09 111
  62 1.6 16
  63 6.34 63
  64 4.88 49
  65 32.15 322
  66 13.77 138
  67 55.43 554
  68 35.36 354
  69 17.89 179
  70 4.61 46
  71 7.33 73
  72 1.62 16
  73 1.68 17
  74 1.61 16
  75 1.72 17
  76 2.36 24
  77 70.31 703
  78 22.43 224
  79 78.32 783
  80 18.3 183
  81 52.73 527
  82 9.79 98
  83 13.12 131
  84 3.46 35
  85 5.05 51
  87 1.91 19
  89 3.4 34
  90 3.55 36
  91 95.02 950
  92 17.97 180
  93 36.89 369
  94 12.52 125
  95 24.5 245
  96 7.35 74
  97 16.67 167
  98 2.64 26
  99 1.69 17
  100 1.41 14
  102 3.08 31
  103 12 120
  104 8.68 87
  105 47.06 471
  106 15.89 159
  107 34.79 348
  108 18.59 186
  109 24.89 249
  110 50.81 508
  111 9.9 99
  112 1.63 16
  113 1.53 15
  114 1.19 12
  115 20.07 201
  116 7.95 80
  117 25.82 258
  118 10.62 106
  119 26.65 267
  120 23.9 239
  121 30.23 302
  122 20.15 202
  123 16.93 169
  124 10.49 105
  125 3.44 34
  126 1.72 17
  127 4.06 41
  128 13.04 130
  129 16.36 164
  130 5.98 60
  131 19.7 197
  132 9.78 98
  133 19.11 191
  134 17.58 176
  135 24.97 250
  136 7.47 75
  137 8.18 82
  138 2.02 20
  139 1.89 19
  140 1.19 12
  141 6.44 64
  142 5.05 51
  143 8.98 90
  144 5.8 58
  145 18.3 183
  146 11.32 113
  147 22.25 223
  148 12.91 129
  149 13.02 130
  150 3.82 38
  151 2.9 29
  152 3.5 35
  153 2.51 25
  154 2.21 22
  155 6.09 61
  156 3.69 37
  157 8.34 83
  158 7.67 77
  159 17.5 175
  160 25.56 256
  161 17.16 172
  162 24.86 249
  163 8.74 87
  164 2.69 27
  165 2.99 30
  166 1.21 12
  167 2.85 29
  168 2.16 22
  169 5.79 58
  170 6.35 64
  171 9.65 97
  172 6.88 69
  173 18.2 182
  174 11.38 114
  175 14.83 148
  176 5.28 53
  177 5.76 58
  178 3.31 33
  179 1.75 18
  180 1.31 13
  181 2.27 23
  182 1.65 17
  183 4.42 44
  184 3.64 36
  185 5.01 50
  186 6.8 68
  187 10.57 106
  188 11.19 112
  189 12.83 128
  190 4.1 41
  191 2.11 21
  193 1.59 16
  195 2.85 29
  196 2.37 24
  197 5.43 54
  198 3.61 36
  199 5.76 58
  200 4.2 42
  201 6.78 68
  202 5.78 58
  203 2.9 29
  209 2.44 24
  210 2.3 23
  211 3.42 34
  212 6.24 62
  213 12.99 130
  214 6.63 66
  215 27.2 272
  216 5.85 59
  217 6.72 67
  218 3.19 32
  219 1.42 14
  223 2.99 30
  224 2.47 25
  225 2.29 23
  226 3.68 37
  227 3.24 32
  228 12.34 123
  229 4.31 43
  230 7.65 77
  231 51.73 517
  232 10.07 101
  233 1.36 14
  237 2.3 23
  238 2.6 26
  239 1.83 18
  240 1.63 16
  241 5.74 57
  242 3.13 31
  243 1.92 19
  244 2.1 21
  251 1.84 18
  252 2.84 28
  254 1.33 13
  255 3.05 31
  256 5.4 54
  265 2.83 28
  269 4.42 44
  270 8.91 89
  271 2.13 21
  272 4.52 45
  279 1.19 12
  280 3.3 33
  283 5.24 52
  297 1.48 15
  298 76.84 768
  299 17.19 172
  300 2.84 28
//
