ACCESSION: JP007877
RECORD_TITLE: 8-BENZYL-3A,8A-DIMETHYL-2,3,3A,8A-TETRAHYDROPYRROLO(2,3-B)INDOLE; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: SASAKI S, TOYOHASHI UNIV. OF TECH.
LICENSE: CC BY-NC-SA
CH$NAME: 8-BENZYL-3A,8A-DIMETHYL-2,3,3A,8A-TETRAHYDROPYRROLO(2,3-B)INDOLE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C19H22N2
CH$EXACT_MASS: 278.17830
CH$SMILES: c(c4)ccc(c4)CN(c21)C(C)(N3)C(C)(CC3)c(cccc2)1
CH$IUPAC: InChI=1S/C19H22N2/c1-18-12-13-20-19(18,2)21(14-15-8-4-3-5-9-15)17-11-7-6-10-16(17)18/h3-11,20H,12-14H2,1-2H3
CH$LINK: INCHIKEY YQUYOXMYEZGTSD-UHFFFAOYSA-N
AC$INSTRUMENT: MX-1303
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 50 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-0006-9540000000-11232d29c43bac5fa0f1
PK$NUM_PEAK: 116
PK$PEAK: m/z int. rel.int.
  26 1.5 15
  27 3.7 37
  29 1.2 12
  30 0.17 2
  38 1.8 18
  39 8.6 86
  40 1.7 17
  41 0.44 4
  42 4 40
  43 2.3 23
  50 4.6 46
  51 0.96 10
  52 4.8 48
  53 1.5 15
  54 1.2 12
  55 0.2 2
  56 1.2 12
  57 1.2 12
  62 1.2 12
  63 0.43 4
  64 1.6 16
  65 15.1 151
  66 3.4 34
  67 0.11 1
  71 4.6 46
  74 1.5 15
  75 1.6 16
  76 0.26 3
  77 15.9 159
  78 13.3 133
  79 2.2 22
  80 0.11 1
  81 1.1 11
  89 3.5 35
  90 2 20
  91 99.99 999
  92 13 130
  93 7.4 74
  94 1.4 14
  96 0.18 2
  101 1.1 11
  102 2.5 25
  103 4.1 41
  104 0.32 3
  105 2.3 23
  106 4.7 47
  108 1.7 17
  115 0.65 7
  116 2.7 27
  117 2.6 26
  118 1.8 18
  127 0.11 1
  128 3.2 32
  129 2.1 21
  130 6.1 61
  131 0.38 4
  132 1.9 19
  139 1.4 14
  142 2.1 21
  143 0.58 6
  144 3.3 33
  145 9.7 97
  146 4.6 46
  152 0.11 1
  154 1.5 15
  155 18.5 185
  156 3 30
  157 0.39 4
  158 2.8 28
  159 3.9 39
  160 1.5 15
  165 0.14 1
  167 1.3 13
  168 1.5 15
  169 1.4 14
  170 0.31 3
  171 3 30
  172 3.9 39
  173 1.6 16
  174 0.2 2
  175 3.6 36
  176 1.1 11
  180 2.5 25
  181 0.19 2
  182 8.9 89
  183 6.7 67
  184 1.3 13
  185 0.13 1
  187 4.1 41
  188 1.7 17
  189 1.5 15
  198 0.14 1
  199 2.2 22
  200 2.7 27
  201 1.6 16
  202 0.33 3
  204 1.5 15
  206 1.2 12
  214 11.4 114
  217 0.12 1
  218 2.6 26
  219 1.1 11
  220 3.2 32
  222 0.13 1
  232 1.5 15
  233 1.4 14
  234 17.2 172
  235 3.36 34
  236 6.6 66
  246 13.3 133
  248 5.3 53
  249 0.22 2
  263 3.9 39
  276 1.5 15
  278 19.4 194
  279 5 50
//
