ACCESSION: JP009440
RECORD_TITLE: 2,3-DIMETHYLTHIOCHROMOTHIONE; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: EGUCHI S, FAC. OF SCIENCE, HIROSHIMA UNIV.
LICENSE: CC BY-NC-SA
CH$NAME: 2,3-DIMETHYLTHIOCHROMOTHIONE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C11H10S2
CH$EXACT_MASS: 206.02239
CH$SMILES: CC(S1)=C(C)C(=S)c(c2)c(ccc2)1
CH$IUPAC: InChI=1S/C11H10S2/c1-7-8(2)13-10-6-4-3-5-9(10)11(7)12/h3-6H,1-2H3
CH$LINK: INCHIKEY FRIYENJAXQGJMB-UHFFFAOYSA-N
AC$INSTRUMENT: HITACHI RMU-7L
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 70 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-0a4i-4950000000-2d9d1d9524d76ddc7e1e
PK$NUM_PEAK: 136
PK$PEAK: m/z int. rel.int.
  41 2 20
  42 1 10
  43 1.5 15
  44 1 10
  45 12.5 125
  46 1 10
  47 1.5 15
  50 3 30
  51 6 60
  52 1 10
  53 2.5 25
  54 1 10
  55 1 10
  56 1 10
  57 1.5 15
  58 2 20
  59 6 60
  60 1 10
  61 1.5 15
  62 2.5 25
  63 3 30
  64 1 10
  65 1.5 15
  66 1 10
  67 1 10
  68 1 10
  69 8 80
  70 1 10
  71 1.5 15
  72 1 10
  73 1 10
  74 2 20
  75 2.5 25
  76 2 20
  77 7 70
  78 1 10
  79 1 10
  80 1 10
  81 1.5 15
  82 2.5 25
  83 1 10
  84 1 10
  85 1.5 15
  86 2 20
  87 2 20
  88 1.5 15
  89 3 30
  90 1 10
  91 1 10
  92 1.5 15
  93 3.5 35
  94 1 10
  95 2 20
  96 1 10
  97 1.5 15
  99 1 10
  100 1.5 15
  101 1.5 15
  102 2.5 25
  103 2 20
  104 1 10
  105 1.5 15
  106 1 10
  107 1 10
  108 8 80
  109 1.5 15
  110 1 10
  111 1 10
  112 1 10
  113 1.5 15
  114 2.5 25
  115 6 60
  116 1 10
  117 1 10
  118 1 10
  119 1 10
  121 2.5 25
  122 1 10
  123 1 10
  125 1 10
  126 1.5 15
  127 3.5 35
  128 7.5 75
  129 9.5 95
  130 1 10
  131 1 10
  132 1.5 15
  133 1 10
  134 2 20
  135 1 10
  136 1 10
  137 1 10
  139 2.5 25
  140 1 10
  141 2 20
  142 1 10
  143 1 10
  145 2.5 25
  146 2 20
  147 14 140
  148 3 30
  149 1 10
  151 1 10
  152 1.5 15
  153 2.5 25
  154 1 10
  157 1 10
  158 3 30
  159 1.5 15
  160 9 90
  161 8 80
  162 4 40
  163 1.5 15
  164 1 10
  165 1 10
  169 1 10
  170 1.5 15
  171 9 90
  172 4.5 45
  173 38 380
  174 6 60
  175 2.5 25
  176 1 10
  178 1 10
  179 1.5 15
  190 6.5 65
  191 12.5 125
  192 5.5 55
  193 2 20
  194 1 10
  204 1 10
  205 23 230
  206 99.99 999
  207 15 150
  208 11.5 115
  209 1 10
//
