ACCESSION: JP011154
RECORD_TITLE: TRANS-(3'-CHLORO-N,N,O)AZOXYBENZENE; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: SAWADA M, THE INST. OF SCIENTIFIC AND INDUSTRIALRESEARCH OSAKA UNIV.
LICENSE: CC BY-NC-SA
CH$NAME: TRANS-(3'-CHLORO-N,N,O)AZOXYBENZENE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C12H9ClN2O
CH$EXACT_MASS: 232.04034
CH$SMILES: N/A
CH$IUPAC: N/A
AC$INSTRUMENT: JEOL JMS-DX-300
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 70 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-000x-9420000000-8d85f6f58a2ca411184f
PK$NUM_PEAK: 121
PK$PEAK: m/z int. rel.int.
  31 3.5 35
  33 3.5 35
  34 13.3 133
  35 1.8 18
  36 15.2 152
  37 3 30
  38 10.6 106
  39 18.9 189
  40 73.9 739
  41 10.8 108
  42 4.6 46
  43 14.9 149
  44 60.7 607
  45 2.6 26
  49 1.7 17
  50 22.4 224
  51 58.1 581
  52 7.1 71
  53 1.7 17
  54 1.6 16
  55 5.8 58
  56 3.3 33
  57 4.1 41
  58 1.1 11
  60 2 20
  61 7.3 73
  62 7.1 71
  63 24.4 244
  64 21.9 219
  65 10.5 105
  66 4.8 48
  67 2.7 27
  68 1.5 15
  69 2.3 23
  70 2.8 28
  71 2.4 24
  72 1.4 14
  73 5.5 55
  74 8.5 85
  75 29.8 298
  76 12.1 121
  77 94.4 944
  78 27.1 271
  79 3.2 32
  81 1.7 17
  82 1.1 11
  83 2.3 23
  84 1.8 18
  85 4 40
  87 1.8 18
  88 1.8 18
  89 5.4 54
  90 21.2 212
  91 60.4 604
  92 8.7 87
  93 9.9 99
  94 2.8 28
  95 1.5 15
  97 2 20
  98 3.8 38
  99 20.6 206
  100 2.9 29
  101 6.9 69
  102 1.6 16
  103 1.3 13
  104 6 60
  105 67.7 677
  106 7.2 72
  107 9.6 96
  108 1.3 13
  109 1.2 12
  110 1.2 12
  111 38.8 388
  112 5 50
  113 12.5 125
  114 1.8 18
  115 10.2 102
  116 1.8 18
  117 1.4 14
  118 1.1 11
  119 2 20
  125 6.7 67
  126 3.2 32
  127 16.8 168
  128 3 30
  129 5 50
  133 1.1 11
  135 1 10
  139 11.3 113
  140 3.5 35
  141 18.6 186
  142 3.1 31
  149 2.7 27
  150 1.2 12
  151 3.1 31
  152 11.1 111
  153 3.9 39
  154 1.2 12
  155 1.5 15
  166 2.1 21
  167 2.8 28
  168 10.5 105
  169 15.4 154
  170 2.7 27
  175 1.8 18
  182 3 30
  197 24.5 245
  198 6.8 68
  203 11.1 111
  204 5.9 59
  205 4.1 41
  206 2.1 21
  216 39.8 398
  217 7.2 72
  218 14.2 142
  219 2.3 23
  231 3.8 38
  232 99.99 999
  233 20.7 207
  234 35.9 359
  235 6.7 67
//
