ACCESSION: JP011189
RECORD_TITLE: 1-BENZYL-1,1-DIPHENYLMETHANOL; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: SAWADA M, THE INST. OF SCIENTIFIC AND INDUSTRIALRESEARCH OSAKA UNIV.
LICENSE: CC BY-NC-SA
CH$NAME: 1-BENZYL-1,1-DIPHENYLMETHANOL
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C20H18O
CH$EXACT_MASS: 274.13577
CH$SMILES: c(c3)ccc(c3)CC(O)(c(c2)cccc2)c(c1)cccc1
CH$IUPAC: InChI=1S/C20H18O/c21-20(18-12-6-2-7-13-18,19-14-8-3-9-15-19)16-17-10-4-1-5-11-17/h1-15,21H,16H2
CH$LINK: INCHIKEY QMPKJVBRCQVFLL-UHFFFAOYSA-N
AC$INSTRUMENT: JEOL JMS-DX-300
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 70 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-0560-8900000000-6ea36257e6615de8fca0
PK$NUM_PEAK: 105
PK$PEAK: m/z int. rel.int.
  38 2 20
  39 15.3 153
  40 8.7 87
  41 13.6 136
  42 1.9 19
  43 9.8 98
  44 27.6 276
  45 3.3 33
  50 10.2 102
  51 40.2 402
  52 6.6 66
  53 3.4 34
  55 6 60
  56 1.9 19
  57 6 60
  60 2.4 24
  61 1.7 17
  62 1.7 17
  63 7.3 73
  64 2.1 21
  65 26.8 268
  66 2.6 26
  67 2.8 28
  68 2.7 27
  69 15.2 152
  70 2.4 24
  71 2.8 28
  73 2 20
  74 3.5 35
  75 3.7 37
  76 8.7 87
  77 71.7 717
  78 21 210
  79 3.2 32
  81 6.8 68
  82 1.7 17
  83 2.3 23
  84 1.5 15
  85 1.1 11
  87 1.5 15
  89 6 60
  90 3.1 31
  91 47.7 477
  92 8.6 86
  93 2.2 22
  94 1.7 17
  95 2.7 27
  97 1.6 16
  101 1.5 15
  102 2.2 22
  103 1 10
  104 3.7 37
  105 83.9 839
  106 28.1 281
  107 3.8 38
  109 1.3 13
  113 2.2 22
  114 1 10
  115 4.7 47
  118 1 10
  119 1.1 11
  121 1.9 19
  122 9.3 93
  123 2 20
  126 2.8 28
  127 3 30
  128 2.6 26
  129 1.4 14
  135 1 10
  136 1.6 16
  137 2.2 22
  139 3.3 33
  149 6.4 64
  150 2.6 26
  151 5 50
  152 15.3 153
  153 7.6 76
  154 3 30
  155 1.7 17
  163 2.7 27
  164 2.3 23
  165 15.1 151
  166 3.6 36
  167 7 70
  168 1.5 15
  176 2.8 28
  177 2.3 23
  178 8.5 85
  179 4.8 48
  180 1.3 13
  181 11.2 112
  182 8.7 87
  183 99.99 999
  184 53.1 531
  185 5.7 57
  197 1.2 12
  239 1.8 18
  240 1 10
  241 1.3 13
  252 1.8 18
  253 1.7 17
  254 1 10
  255 1.9 19
  256 8.1 81
  257 2.4 24
//
