ACCESSION: JP002706
RECORD_TITLE: BETA-SITOSTEROL-METHYL ETHER; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: HAYASHI A, DEPT. OF CHEMISTRY, FAC. OF SCI. AND TECHNOLOGY, KINKI UNIV.
LICENSE: CC BY-NC-SA
CH$NAME: BETA-SITOSTEROL-METHYL ETHER
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C30H52O
CH$EXACT_MASS: 428.40182
CH$SMILES: CC(C4(C(CCC([H])(C(C)C)CC)([H])C)[H])(C1)C(CC4)(C(C3)(C(C(C2)(C(=C3[H])CC(C2)(OC)[H])C)(C1)[H])[H])[H]
CH$IUPAC: InChI=1S/C30H52O/c1-8-22(20(2)3)10-9-21(4)26-13-14-27-25-12-11-23-19-24(31-7)15-17-29(23,5)28(25)16-18-30(26,27)6/h11,20-22,24-28H,8-10,12-19H2,1-7H3/t21-,22-,24+,25+,26-,27+,28+,29+,30-/m1/s1
CH$LINK: INCHIKEY LOUBEXGURAKLSL-VHZNKUSHSA-N
AC$INSTRUMENT: SHIMADZU LKB-9000B
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 70 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-05ai-5932000000-5f2a2346b2903ef24f15
PK$NUM_PEAK: 262
PK$PEAK: m/z int. rel.int.
  39 2.4 24
  41 26.5 265
  42 4.3 43
  43 52.7 527
  44 2.3 23
  45 4.4 44
  52 2.2 22
  53 0.51 5
  55 44 440
  56 3.3 33
  57 36.9 369
  58 0.36 4
  59 1.7 17
  63 1.7 17
  65 3.2 32
  66 0.24 2
  67 28.2 282
  68 4.1 41
  69 31.8 318
  70 0.42 4
  71 49.1 491
  72 3.7 37
  73 6.2 62
  75 0.18 2
  77 10.8 108
  78 3.9 39
  79 32.2 322
  80 0.62 6
  81 53.4 534
  82 7.7 77
  83 16.2 162
