ACCESSION: JP002798
RECORD_TITLE: CLIDINIUM BROMIDE; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: SASAKI S, TOYOHASHI UNIV. OF TECH.
LICENSE: CC BY-NC-SA
CH$NAME: CLIDINIUM BROMIDE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C22H26BrNO3
CH$EXACT_MASS: 431.10961
CH$SMILES: N/A
CH$IUPAC: N/A
AC$INSTRUMENT: Unknown
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-0a4m-9700000000-b80134ef86843200e9a4
PK$NUM_PEAK: 198
PK$PEAK: m/z int. rel.int.
  25 0.7 7
  26 3.4 34
  27 12.9 129
  28 2.49 25
  29 4.2 42
  30 3.7 37
  31 1.7 17
  32 0.38 4
  33 0.1 1
  35 1.4 14
  36 2.7 27
  37 0.12 1
  38 2.4 24
  39 12.1 121
  40 2.5 25
  41 1.32 13
  42 26.2 262
  43 6 60
  44 12.1 121
  45 0.14 1
  46 0.4 4
  47 0.7 7
  48 0.4 4
  49 0.01 0
  50 9.1 91
  51 28.6 286
  52 4.9 49
  53 0.63 6
  54 3.6 36
  55 8.8 88
  56 3.7 37
  57 0.32 3
  58 2.7 27
  59 0.9 9
  60 0.9 9
  61 0.01 0
  62 2 20
  63 4 40
  64 1.4 14
  65 0.38 4
  66 2.6 26
  67 6 60
  68 1.2 12
  69 0.49 5
  70 5.1 51
  71 1.7 17
  72 1.2 12
  73 0.13 1
  74 3.4 34
  75 3.3 33
  76 5.8 58
  77 6.49 65
  78 8.4 84
  79 7.2 72
  80 5.1 51
  81 0.83 8
  82 6.2 62
  83 3.9 39
  84 1.3 13
  85 0.12 1
  86 1.2 12
  87 1.4 14
  88 1.1 11
  89 0.02 0
  90 0.4 4
  91 2.7 27
  92 1.5 15
  93 0.29 3
  94 13.5 135
  95 3.6 36
  96 56 560
  97 0.57 6
  98 5.2 52
  99 1.3 13
  100 0.4 4
  101 0.09 1
  102 1.2 12
  103 0.9 9
  104 1.9 19
  105 99.99 999
  106 8.8 88
  107 2.4 24
  108 5.4 54
  109 0.22 2
  110 7.2 72
  111 10.2 102
  112 2 20
  113 0.14 1
  114 1 10
  115 2.4 24
  116 0.7 7
  117 0.01 0
  118 0.4 4
  119 0.9 9
  120 1.4 14
  121 0.07 1
  122 3.8 38
  123 3.6 36
  124 2.1 21
  125 0.14 1
  126 13 130
  127 3.9 39
  128 1.7 17
  129 0.01 0
  130 0.9 9
  131 1 10
  132 0.6 6
  133 0.04 0
  134 0.4 4
  135 0.3 3
  136 0.2 2
  137 0.03 0
  138 0.4 4
  139 2.1 21
  140 1 10
  141 0.14 1
  142 1.3 13
  143 0.9 9
  144 0.3 3
  145 0.02 0
  146 0.2 2
  147 0.2 2
  148 0.2 2
  149 0.09 1
  150 1.2 12
  151 2.1 21
  152 6.3 63
  153 0.41 4
  154 2.3 23
  155 1.4 14
  156 0.4 4
  157 0.05 1
  158 0.6 6
  159 0.4 4
  160 0.1 1
  161 0.01 0
  162 0.4 4
  163 2.2 22
  164 2.6 26
  165 1.47 15
  166 9.6 96
  167 8 80
  168 3 30
  169 0.01 0
  170 0.2 2
  171 0.1 1
  172 0.2 2
  173 0.01 0
  174 0.2 2
  175 0.2 2
  176 0.2 2
  177 0.01 0
  178 0.1 1
  180 0.4 4
  181 6.9 69
  182 2.52 25
  183 31.6 316
  184 5 50
  185 1 10
  186 0.11 1
  187 1.3 13
  188 0.4 4
  189 0.2 2
  190 0.01 0
  191 0.1 1
  192 1 10
  193 0.1 1
  194 0.54 5
  195 1.4 14
  196 0.2 2
  197 0.4 4
  198 0.01 0
  199 0.1 1
  202 0.9 9
  203 4.1 41
  204 0.13 1
  205 3.6 36
  206 0.7 7
  207 0.2 2
  208 0.01 0
  209 0.1 1
  210 1 10
  211 0.4 4
  212 0.11 1
  213 0.4 4
  214 0.1 1
  215 0.1 1
  217 0.07 1
  218 0.8 8
  219 1 10
  220 0.1 1
  221 0.01 0
  321 0.2 2
  322 0.1 1
  337 1.4 14
  338 0.04 0
  339 0.2 2
  351 0.2 2
//
