ACCESSION: JP003441
RECORD_TITLE: 2-BUTOXY-4-QUINOLINECARBOXYLIC ACID TRIMETHYLSILYL ESTER; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: MASS SPECTROSCOPY SOC. OF JAPAN (MSSJ)
LICENSE: CC BY-NC-SA
CH$NAME: 2-BUTOXY-4-QUINOLINECARBOXYLIC ACID TRIMETHYLSILYL ESTER
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C17H23NO3Si
CH$EXACT_MASS: 317.14472
CH$SMILES: CCCCOc(n1)cc(C(=O)O[Si](C)(C)C)c(c2)c(ccc2)1
CH$IUPAC: InChI=1S/C17H23NO3Si/c1-5-6-11-20-16-12-14(17(19)21-22(2,3)4)13-9-7-8-10-15(13)18-16/h7-10,12H,5-6,11H2,1-4H3
CH$LINK: INCHIKEY GUBMDNNJMZCTQQ-UHFFFAOYSA-N
AC$INSTRUMENT: HITACHI M-60
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 20 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-03dj-1091000000-2b225361a8f2a12bcf11
PK$NUM_PEAK: 116
PK$PEAK: m/z int. rel.int.
  43 0.57 6
  56 3.45 35
  68 0.18 2
  71 0.19 2
  72 11.18 112
  73 1.14 11
  74 21.04 210
  75 1.27 13
  76 6.85 69
  77 0.51 5
  81 0.27 3
  84 0.13 1
  92 0.74 7
  95 0.38 4
  97 0.25 3
  116 1.44 14
  117 1.67 17
  119 0.13 1
  125 0.16 2
  128 0.38 4
  129 0.34 3
  131 0.22 2
  132 0.89 9
  133 0.21 2
  135 0.31 3
  142 0.41 4
  143 1.15 12
  144 3.72 37
  145 1.55 16
  146 0.26 3
  147 0.13 1
  155 0.18 2
  156 0.66 7
  157 0.21 2
  158 0.24 2
  159 0.19 2
  169 0.29 3
  170 0.67 7
  171 0.91 9
  172 5.3 53
  173 0.78 8
  174 0.98 10
  175 0.18 2
  179 0.11 1
  181 0.28 3
  184 0.31 3
  185 0.19 2
  186 1.03 10
  187 0.29 3
  188 0.14 1
  189 0.38 4
  193 0.19 2
  198 0.6 6
  199 2.94 29
  200 2.96 30
  201 1.25 13
  202 6.45 65
  203 1.68 17
  204 0.66 7
  207 0.21 2
  215 0.93 9
  216 2.55 26
  217 1.02 10
  218 3.09 31
  219 0.67 7
  220 0.13 1
  226 0.1 1
  227 0.39 4
  228 3.21 32
  229 0.58 6
  230 0.93 9
  232 10.05 101
  233 2.51 25
  234 1.31 13
  235 0.53 5
  236 0.19 2
  240 0.32 3
  242 0.1 1
  243 0.48 5
  244 4.58 46
  245 13.33 133
  246 84.91 849
  247 19.33 193
  248 5.88 59
  249 0.78 8
  258 3.45 35
  259 8.3 83
  260 5.36 54
  261 99.99 999
  262 28.64 286
  263 8.54 85
  264 1.2 12
  272 7.06 71
  273 2.76 28
  274 27.63 276
  275 7.44 74
  276 1.92 19
  277 0.29 3
  281 0.14 1
  286 1.76 18
  287 16.55 166
  288 12.82 128
  289 2.95 30
  290 0.65 7
  300 0.12 1
  301 0.39 4
  302 25.09 251
  303 6.08 61
  304 1.6 16
  305 0.18 2
  313 0.51 5
  316 3.97 40
  317 27.15 272
  318 7.16 72
  319 1.24 12
  320 0.2 2
//
