ACCESSION: JP003479
RECORD_TITLE: 3-TRIMETHYLSILYLOXYCHOLEST-5-ENE; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: MASS SPECTROSCOPY SOC. OF JAPAN (MSSJ)
LICENSE: CC BY-NC-SA
CH$NAME: 3-TRIMETHYLSILYLOXYCHOLEST-5-ENE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C30H54OSi
CH$EXACT_MASS: 458.39439
CH$SMILES: C(CCC(C)C)C(C([H])(C12C)CCC(C([H])(C4)C([H])(C(C)(C3=C4)CCC(O[Si](C)(C)C)C3)CC2)([H])1)([H])C
CH$IUPAC: InChI=1S/C30H54OSi/c1-21(2)10-9-11-22(3)26-14-15-27-25-13-12-23-20-24(31-32(6,7)8)16-18-29(23,4)28(25)17-19-30(26,27)5/h12,21-22,24-28H,9-11,13-20H2,1-8H3/t22-,24?,25+,26-,27+,28+,29+,30-/m1/s1
CH$LINK: INCHIKEY CBVJJGRSRFXUPK-HBOBSPHKSA-N
AC$INSTRUMENT: HITACHI M-60
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 20 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-004i-3914000000-db3169cf1d76a6e3f17a
PK$NUM_PEAK: 93
PK$PEAK: m/z int. rel.int.
  57 15.74 157
  69 7.01 70
  71 11.4 114
  73 3.84 38
  75 7.7 77
  81 19.41 194
  83 14.41 144
  85 4.35 44
  93 3.35 34
  95 25.05 251
  96 1.62 16
  97 9.16 92
  105 3.38 34
  106 2.4 24
  107 18.97 190
  108 3.46 35
  109 13.7 137
  111 6.45 65
  119 8.32 83
  120 9.22 92
  121 25.53 255
  122 2.62 26
  123 5.97 60
  125 2.53 25
  127 0.87 9
  129 99.99 999
  130 13.7 137
  131 9.63 96
  132 1.52 15
  133 7.34 73
  134 1.99 20
  135 10.1 101
  137 3.55 36
  139 0.63 6
  143 8.28 83
  144 1.02 10
  145 13.55 136
  146 3.99 40
  147 10.54 105
  148 3.86 39
  149 7.22 72
  151 2.35 24
  155 4.62 46
  159 7.08 71
  160 10.12 101
  161 11.1 111
  162 2.29 23
  163 8.34 83
  165 2.21 22
  173 3 30
  175 3.75 38
  177 2.47 25
  179 0.93 9
  189 2.94 29
  191 0.51 5
  193 2.24 22
  199 1.43 14
  201 1.79 18
  203 3.92 39
  205 0.81 8
  206 1.2 12
  213 5.18 52
  214 0.88 9
  215 3.12 31
  217 4.55 46
  219 2.52 25
  226 0.9 9
  227 1.03 10
  228 1.25 13
  233 3.02 30
  245 1.36 14
  247 15.09 151
  248 2.42 24
  254 10.99 110
  255 1.93 19
  258 1.54 15
  274 1.49 15
  275 6.34 63
  276 0.31 3
  301 1.89 19
  326 1.02 10
  327 3.43 34
  329 95.81 958
  330 18.68 187
  331 2.14 21
  340 0.33 3
  353 17.8 178
  354 6.18 62
  355 0.32 3
  368 39.58 396
  369 10.24 102
  370 1.2 12
  443 8.08 81
//
