ACCESSION: JP003877
RECORD_TITLE: TYBAMATE; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: SASAKI S, TOYOHASHI UNIV. OF TECH.
LICENSE: CC BY-NC-SA
CH$NAME: TYBAMATE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C13H26N2O4
CH$EXACT_MASS: 274.18926
CH$SMILES: N/A
CH$IUPAC: N/A
AC$INSTRUMENT: Unknown
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 70 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-0a4i-9200000000-fb015157d8e937a70944
PK$NUM_PEAK: 124
PK$PEAK: m/z int. rel.int.
  38 0.7 7
  39 6 60
  40 1.9 19
  41 3.6 36
  42 6.7 67
  43 26.1 261
  44 11.9 119
  45 1.09 11
  46 1.1 11
  50 0.2 2
  51 0.3 3
  52 0.02 0
  53 3.5 35
  54 2.6 26
  55 99.99 999
  56 4.03 40
  57 34.9 349
  58 5.9 59
  59 10.9 109
  60 0.09 1
  61 0.5 5
  62 31.5 315
  63 0.7 7
  64 0.01 0
  65 0.9 9
  66 0.2 2
  67 4.6 46
  68 0.35 4
  69 18.9 189
  70 11.4 114
  71 34.9 349
  72 8.15 82
  73 6 60
  74 7.5 75
  75 4.7 47
  76 0.01 0
  77 0.8 8
  78 0.3 3
  79 1.1 11
  80 0.06 1
  81 6.9 69
  82 2.3 23
  83 30.6 306
  84 2.29 23
  85 5.4 54
  86 2.3 23
  87 0.9 9
  88 0.29 3
  89 0.9 9
  90 0.1 1
  91 0.5 5
  92 0.13 1
  93 0.3 3
  94 0.1 1
  95 2.1 21
  96 0.95 10
  97 66.9 669
  98 21.4 214
  99 3.9 39
  100 0.91 9
  101 6.2 62
  102 2.3 23
  103 0.3 3
  104 0.09 1
  105 0.5 5
  108 0.5 5
  109 1.1 11
  110 0.05 1
  111 0.2 2
  112 0.7 7
  113 1.3 13
  114 1.39 14
  115 11.6 116
  116 10.9 109
  117 2.9 29
  118 6.11 61
  119 3.9 39
  120 0.8 8
  126 1.9 19
  127 0.04 0
  128 0.5 5
  129 0.2 2
  130 0.1 1
  131 0.15 2
  132 1 10
  133 0.5 5
  134 0.9 9
  140 0.08 1
  142 0.2 2
  144 2.7 27
  147 0.3 3
  154 0.01 0
  156 0.4 4
  157 1.3 13
  158 58.4 584
  159 0.61 6
  160 0.9 9
  161 0.9 9
  170 4.9 49
  171 0.03 0
  172 0.7 7
  174 0.5 5
  175 0.5 5
  176 0.06 1
  177 0.9 9
  184 4.7 47
  185 1.3 13
  187 0.09 1
  188 1 10
  189 0.1 1
  198 0.2 2
  200 0.38 4
  201 0.8 8
  213 5 50
  214 1.1 11
  215 0.01 0
  231 8.9 89
  232 1.4 14
  233 0.1 1
  245 0.11 1
  246 0.2 2
  274 8.6 86
  275 1.8 18
  276 0.2 2
//
