ACCESSION: JP003956
RECORD_TITLE: 2-BUTOXY-4-QUINOLINECARBOXYLIC ACID BUTYLESTER; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: MASS SPECTROSCOPY SOC. OF JAPAN (MSSJ)
LICENSE: CC BY-NC-SA
CH$NAME: 2-BUTOXY-4-QUINOLINECARBOXYLIC ACID BUTYLESTER
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C18H23NO3
CH$EXACT_MASS: 301.16779
CH$SMILES: CCCCOC(=O)c(c1)c(c2)c(ccc2)nc(OCCCC)1
CH$IUPAC: InChI=1S/C18H23NO3/c1-3-5-11-21-17-13-15(18(20)22-12-6-4-2)14-9-7-8-10-16(14)19-17/h7-10,13H,3-6,11-12H2,1-2H3
CH$LINK: INCHIKEY ZPIBVASLHDCEHZ-UHFFFAOYSA-N
AC$INSTRUMENT: HITACHI M-60
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 20 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-00ds-0970000000-192ea905d278d6b01af2
PK$NUM_PEAK: 102
PK$PEAK: m/z int. rel.int.
  55 4.38 44
  56 10.18 102
  57 13.04 130
  58 0.28 3
  73 0.32 3
  90 0.45 5
  95 0.23 2
  101 0.24 2
  102 0.25 3
  115 0.14 1
  116 6.57 66
  117 10.46 105
  118 1.19 12
  120 0.13 1
  122 4.38 44
  127 0.74 7
  128 3.16 32
  129 2.57 26
  130 1.05 11
  132 0.88 9
  133 0.36 4
  137 0.52 5
  142 0.1 1
  143 1.4 14
  144 13.49 135
  145 16.1 161
  146 13.89 139
  147 3.47 35
  149 0.79 8
  150 1.08 11
  153 0.36 4
  154 0.24 2
  155 0.8 8
  156 1.75 18
  157 5.06 51
  160 0.53 5
  161 5.93 59
  162 0.95 10
  163 0.24 2
  165 0.2 2
  166 0.14 1
  167 0.18 2
  168 0.39 4
  170 1.38 14
  171 1.64 16
  172 23.61 236
  173 30.16 302
  174 5.78 58
  175 2.87 29
  182 1.38 14
  185 0.58 6
  186 0.83 8
  187 1.23 12
  188 0.97 10
  189 74.63 746
  190 25.52 255
  191 3.54 35
  192 0.43 4
  193 0.15 2
  198 5.48 55
  199 2.06 21
  200 3.98 40
  201 1.36 14
  202 12.02 120
  203 3.71 37
  204 0.59 6
  205 0.13 1
  212 0.12 1
  213 0.1 1
  214 1.03 10
  215 0.67 7
  216 6.75 68
  217 1.18 12
  218 1.54 15
  226 0.25 3
  227 0.25 3
  228 19.17 192
  229 16.1 161
  230 5.25 53
  231 0.5 5
  232 0.11 1
  240 0.75 8
  246 42.31 423
  247 6.09 61
  248 0.7 7
  255 0.23 2
  256 13.03 130
  257 3.62 36
  258 40.59 406
  259 9.51 95
  260 1.33 13
  261 0.15 2
  270 1.96 20
  271 17.04 170
  272 16.48 165
  273 2.81 28
  274 0.34 3
  286 0.41 4
  300 2.7 27
  301 16.04 160
  302 4.03 40
  303 0.56 6
//
