ACCESSION: JP011168
RECORD_TITLE: 2,4-DIISOPROPYL-4,4A-DIHYDRO-1H-(1,3,5)TRIAZINO(1,2-A)QUINOLINE-1,3,6(2H,5H)-TRIONE; EI-B; MS
DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
AUTHORS: SAWADA M, THE INST. OF SCIENTIFIC AND INDUSTRIALRESEARCH OSAKA UNIV.
LICENSE: CC BY-NC-SA
CH$NAME: 2,4-DIISOPROPYL-4,4A-DIHYDRO-1H-(1,3,5)TRIAZINO(1,2-A)QUINOLINE-1,3,6(2H,5H)-TRIONE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C17H21N3O3
CH$EXACT_MASS: 315.15829
CH$SMILES: CC(C)N(C(=O)1)C(=O)N(c32)C(CC(=O)c(cccc3)2)N(C(C)C)1
CH$IUPAC: InChI=1S/C17H21N3O3/c1-10(2)18-15-9-14(21)12-7-5-6-8-13(12)20(15)17(23)19(11(3)4)16(18)22/h5-8,10-11,15H,9H2,1-4H3
CH$LINK: INCHIKEY CMEXHSKNMGAZGH-UHFFFAOYSA-N
AC$INSTRUMENT: JEOL JMS-DX-300
AC$INSTRUMENT_TYPE: EI-B
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION_ENERGY 70 eV
MS$FOCUSED_ION: ION_TYPE [M]+*
PK$SPLASH: splash10-00kg-9623000000-40c6002b530b9b3888f3
PK$NUM_PEAK: 99
PK$PEAK: m/z int. rel.int.
  34 1.5 15
  36 1.8 18
  38 1.3 13
  39 8 80
  40 21.3 213
  41 25.6 256
  42 13.8 138
  43 31.1 311
  44 66.4 664
  45 6.4 64
  50 1.8 18
  51 2.2 22
  53 1.3 13
  54 2.2 22
  55 6.2 62
  56 8.4 84
  57 7.3 73
  58 6.7 67
  60 2.2 22
  63 3.6 36
  64 4 40
  65 2.9 29
  67 1.3 13
  68 2 20
  69 4.7 47
  70 28.4 284
  71 4.2 42
  72 1.5 15
  73 1.3 13
  75 1.3 13
  76 5.3 53
  77 8.2 82
  78 1.8 18
  81 1.6 16
  82 1.6 16
  83 3.6 36
  84 11.8 118
  85 4 40
  86 1.8 18
  87 1.6 16
  89 6.7 67
  90 28.7 287
  91 7.1 71
  92 2.9 29
  93 1.3 13
  95 1.1 11
  96 1 10
  97 1.6 16
  99 1.1 11
  102 1 10
  103 1.9 19
  104 5.8 58
  105 3.6 36
  111 1.3 13
  113 1.3 13
  116 7.6 76
  117 14.7 147
  118 10.7 107
  119 4.7 47
  120 1.6 16
  128 2.4 24
  129 2.9 29
  130 1.3 13
  131 1.6 16
  132 3.8 38
  133 5.3 53
  134 2.4 24
  141 1.1 11
  144 8.4 84
  145 81.8 818
  146 62 620
  147 9.8 98
  149 4.4 44
  155 4.4 44
  159 1.5 15
  160 7.1 71
  161 3.8 38
  162 4.2 42
  167 1.6 16
  187 6.4 64
  188 3.1 31
  189 2.2 22
  201 1.7 17
  202 2.7 27
  203 2.2 22
  215 15.6 156
  216 4.2 42
  217 2.2 22
  230 17.3 173
  231 18 180
  232 8.4 84
  258 2.2 22
  259 4 40
  272 12.7 127
  273 15.3 153
  274 7.8 78
  279 1.3 13
  315 99.99 999
  316 27.3 273
//
