ACCESSION: PB001448
RECORD_TITLE: Allocryptopine; LC-ESI-QQ; MS2; CE:30 eV; [M+H]+
DATE: 2016.01.19 (Created 2008.05.27, modified 2013.06.04)
AUTHORS: Schmidt J, Institute of Plant Biochemistry, Halle, Germany
LICENSE: CC BY-SA
COMMENT: IPB_RECORD: 788
COMMENT: CONFIDENCE: confident structure
CH$NAME: Allocryptopine
CH$NAME: [1,3]Benzodioxolo[5,6-e][2]benzazecin-14(6H)-one, 5,7,8,15-tetrahydro-3,4-dimethoxy-6-methyl-
CH$COMPOUND_CLASS: Natural Product; Berberine Alkaloids
CH$FORMULA: C21H23NO5
CH$EXACT_MASS: 369.15762
CH$SMILES: CN1CCC2=CC3=C(C=C2C(=O)CC4=C(C1)C(=C(C=C4)OC)OC)OCO3
CH$IUPAC: InChI=1S/C21H23NO5/c1-22-7-6-14-9-19-20(27-12-26-19)10-15(14)17(23)8-13-4-5-18(24-2)21(25-3)16(13)11-22/h4-5,9-10H,6-8,11-12H2,1-3H3
CH$LINK: INCHIKEY HYBRYAPKQCZIAE-UHFFFAOYSA-N
CH$LINK: PUBCHEM CID:98570
AC$INSTRUMENT: TSQ 7000
AC$INSTRUMENT_TYPE: LC-ESI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30 eV
AC$MASS_SPECTROMETRY: IONIZATION ESI
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-0079-0947000000-dbfcc1bba5d24e61d1d8
PK$NUM_PEAK: 158
PK$PEAK: m/z int. rel.int.
  32.000 67.429 5
  33.000 27.187 1
  44.000 431.031 42
  45.000 113.456 10
  58.000 67.597 5
  59.000 23.439 1
  75.000 13.643 0
  91.000 26.731 1
  105.000 12.778 0
  119.000 35.471 2
  121.000 34.934 2
  123.000 14.121 0
  131.000 26.486 1
  132.000 21.839 1
  133.000 10.587 0
  135.000 207.896 19
  136.000 62.059 5
  137.000 12.946 0
  138.000 41.996 3
  139.000 12.305 0
  146.000 12.734 0
  147.000 10.673 0
  148.000 20.833 1
  149.000 749.221 73
  150.000 77.828 6
  151.000 547.035 53
  152.000 24.789 1
  153.000 273.420 26
  154.000 12.777 0
  159.000 64.537 5
  160.000 37.053 2
  161.000 116.134 10
  162.000 60.227 5
  163.000 142.495 13
  164.000 29.931 1
  165.000 1109.887 109
  166.000 398.493 38
  167.000 12.051 0
  173.000 38.657 2
  174.000 14.426 0
  175.000 67.517 5
  176.000 156.355 14
  177.000 201.160 19
  178.000 342.386 33
  179.000 137.797 12
  180.000 15.159 0
  181.000 2090.954 208
  182.000 37.034 2
  185.000 11.896 0
  187.000 104.462 9
  188.000 9447.089 943
  189.000 4052.199 404
  190.000 873.609 86
  191.000 506.917 49
  192.000 338.397 32
  193.000 154.735 14
  200.000 33.217 2
  201.000 15.987 0
  202.000 44.878 3
  204.000 315.257 30
  205.000 17.355 0
  206.000 2859.226 284
  207.000 17.373 0
  209.000 10.941 0
  210.000 51.821 4
  217.000 14.198 0
  218.000 13.233 0
  219.000 15.898 0
  222.000 83.253 7
  223.000 19.553 0
  226.000 67.149 5
  227.000 27.199 1
  232.000 20.924 1
  233.000 12.179 0
  234.000 19.177 0
  235.000 10.829 0
  238.000 110.701 10
  239.000 20.176 1
  241.000 228.081 21
  242.000 21.119 1
  246.000 13.457 0
  247.000 28.093 1
  248.000 46.335 3
  249.000 24.663 1
  250.000 111.031 10
  251.000 103.456 9
  252.000 93.864 8
  253.000 117.765 10
  254.000 105.382 9
  255.000 22.344 1
  259.000 29.618 1
  260.000 94.711 8
  261.000 77.537 6
  262.000 29.140 1
  263.000 140.126 13
  264.000 33.501 2
  265.000 58.478 4
  266.000 90.364 8
  267.000 31.384 2
  268.000 63.616 5
  269.000 243.796 23
  274.000 38.456 2
  275.000 135.965 12
  276.000 140.886 13
  277.000 52.619 4
  278.000 312.033 30
  279.000 163.856 15
  280.000 90.020 8
  281.000 321.122 31
  282.000 38.432 2
  283.000 237.260 22
  285.000 27.018 1
  286.000 12.975 0
  288.000 14.831 0
  289.000 97.888 8
  290.000 3907.903 389
  291.000 473.380 46
  292.000 198.204 18
  293.000 86.536 7
  294.000 389.638 37
  295.000 41.675 3
  296.000 48.034 3
  297.000 48.220 3
  299.000 71.055 6
  304.000 38.886 2
  305.000 47.498 3
  306.000 897.135 88
  307.000 172.571 16
  308.000 178.193 16
  309.000 412.244 40
  310.000 40.612 3
  311.000 315.281 30
  312.000 11.522 0
  316.000 14.784 0
  317.000 10.937 0
  318.000 45.981 3
  319.000 32.363 2
  320.000 335.790 32
  321.000 696.564 68
  322.000 612.134 60
  323.000 159.603 14
  324.000 44.314 3
  327.000 177.748 16
  334.000 48.773 3
  335.000 31.306 2
  336.000 972.979 96
  337.000 701.963 69
  338.000 27.987 1
  339.000 349.334 33
  340.000 86.158 7
  341.000 26.629 1
  350.000 389.533 37
  352.000 2626.933 261
  353.000 41.148 3
  355.000 19.484 0
  369.000 21.482 1
  370.000 10000.000 999
  371.000 16.986 0
//
