ACCESSION: PB001606
RECORD_TITLE: Codeine; LC-ESI-QQ; MS2; CE:35 eV; [M+H]+
DATE: 2016.01.19 (Created 2008.05.29, modified 2013.06.04)
AUTHORS: Schmidt J, Institute of Plant Biochemistry, Halle, Germany
LICENSE: CC BY-SA
COMMENT: IPB_RECORD: 924
COMMENT: CONFIDENCE: confident structure
CH$NAME: Codeine
CH$NAME: 7,8-Didehydro-4,5-epoxy-3-methoxy-17-methyl-(5,6)-morphinan-6-ol
CH$COMPOUND_CLASS: Natural Product; Morphinan Alkaloids
CH$FORMULA: C18H21NO3
CH$EXACT_MASS: 299.15214
CH$SMILES: CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O
CH$IUPAC: InChI=1S/C18H21NO3/c1-19-8-7-18-11-4-5-13(20)17(18)22-16-14(21-2)6-3-10(15(16)18)9-12(11)19/h3-6,11-13,17,20H,7-9H2,1-2H3/t11-,12+,13-,17-,18-/m0/s1
CH$LINK: INCHIKEY OROGSEYTTFOCAN-DNJOTXNNSA-N
CH$LINK: PUBCHEM CID:5284371
AC$INSTRUMENT: TSQ 7000
AC$INSTRUMENT_TYPE: LC-ESI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 35 eV
AC$MASS_SPECTROMETRY: IONIZATION ESI
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-0uyi-1952000000-3db61b1a0c8cde5b8c82
PK$NUM_PEAK: 188
PK$PEAK: m/z int. rel.int.
  30.000 101.539 9
  31.000 56.334 4
  32.000 22.494 1
  41.000 13.419 0
  42.000 37.257 2
  43.000 95.928 8
  44.000 1254.145 124
  45.000 55.354 4
  46.000 10.661 0
  55.000 308.358 29
  56.000 103.137 9
  57.000 291.597 28
  58.000 2270.635 226
  59.000 44.568 3
  60.000 23.948 1
  67.000 80.047 7
  69.000 90.067 8
  70.000 31.895 2
  71.000 65.172 5
  77.000 47.361 3
  79.000 55.154 4
  81.000 75.677 6
  82.000 16.125 0
  83.000 105.206 9
  84.000 13.577 0
  91.000 120.432 11
  93.000 94.916 8
  94.000 39.194 2
  95.000 66.858 5
  96.000 20.001 1
  97.000 54.446 4
  103.000 50.087 4
  105.000 44.167 3
  106.000 10.232 0
  107.000 62.735 5
  108.000 36.551 2
  109.000 17.906 0
  115.000 121.066 11
  116.000 17.220 0
  117.000 40.007 3
  119.000 33.697 2
  120.000 26.235 1
  121.000 257.516 24
  122.000 28.913 1
  123.000 12.137 0
  124.000 15.826 0
  127.000 58.536 4
  128.000 132.264 12
  129.000 154.148 14
  130.000 16.307 0
  131.000 156.482 14
  132.000 81.907 7
  133.000 38.142 2
  134.000 30.348 2
  135.000 22.033 1
  136.000 10.610 0
  137.000 655.662 64
  138.000 22.613 1
  139.000 11.048 0
  141.000 394.179 38
  142.000 49.546 3
  143.000 161.825 15
  144.000 555.643 54
  145.000 168.941 15
  146.000 135.147 12
  147.000 79.617 6
  148.000 39.458 2
  149.000 61.778 5
  150.000 37.790 2
  151.000 62.014 5
  152.000 130.097 12
  153.000 1004.337 99
  154.000 191.810 18
  155.000 1857.152 184
  156.000 332.929 32
  157.000 203.141 19
  158.000 426.633 41
  159.000 1013.035 100
  160.000 147.715 13
  161.000 1567.178 155
  162.000 124.284 11
  163.000 78.079 6
  164.000 107.397 9
  165.000 3236.052 322
  166.000 285.653 27
  167.000 331.363 32
  168.000 550.256 54
  169.000 259.575 24
  170.000 154.293 14
  171.000 1487.907 147
  172.000 783.496 77
  173.000 209.526 19
  174.000 267.053 25
  175.000 493.511 48
  176.000 75.649 6
  177.000 191.173 18
  178.000 286.012 27
  179.000 394.628 38
  180.000 133.575 12
  181.000 1898.672 188
  182.000 535.975 52
  183.000 3122.346 311
  184.000 354.304 34
  185.000 728.621 71
  186.000 455.616 44
  187.000 1964.735 195
  188.000 91.880 8
  189.000 136.115 12
  190.000 167.616 15
  191.000 724.279 71
  192.000 186.985 17
  193.000 1523.437 151
  194.000 1305.210 129
  195.000 371.443 36
  196.000 95.829 8
  197.000 752.548 74
  198.000 608.431 59
