ACCESSION: KZ000189
RECORD_TITLE: D-(+)-Galactose; GC-EI-TOF; MS; 5 TMS; BP:147
DATE: 2016.01.19 (Created 2009.03.11, modified 2011.05.06)
AUTHORS: Ara T, Morishita Y, Shibata D, Kazusa DNA Research Institute
LICENSE: CC BY-SA
COMMENT: MassBase peak ID: MDGC1_01464_P000151
CH$NAME: D-(+)-Galactose
CH$COMPOUND_CLASS: Natural Product
CH$FORMULA: C6H12O6
CH$EXACT_MASS: 180.06339
CH$SMILES: OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)C(O)1
CH$IUPAC: InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6?/m1/s1
CH$LINK: CAS 59-23-4
CH$LINK: KEGG C00124
CH$LINK: INCHIKEY WQZGKKKJIJFFOK-SVZMEOIVSA-N
AC$INSTRUMENT: Pegasus III TOF-MS system, Leco; GC 6890, Agilent Technologies
AC$INSTRUMENT_TYPE: GC-EI-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: COLUMN_NAME DB-17MS
AC$CHROMATOGRAPHY: RETENTION_INDEX 1828.2
AC$CHROMATOGRAPHY: RETENTION_TIME 852.762 sec
MS$FOCUSED_ION: BASE_PEAK 147
MS$FOCUSED_ION: DERIVATIVE_TYPE 5 TMS
MS$DATA_PROCESSING: WHOLE ChromaTOF ver. 2.32 (Leco)
PK$SPLASH: splash10-066s-0941000000-8f1b68655e0a5ed179e3
PK$NUM_PEAK: 244
PK$PEAK: m/z int. rel.int.
  82 17 17
  83 34 34
  84 10 10
  85 13 13
  86 19 19
  87 16 16
  88 14 14
  89 197 197
  90 18 18
  91 8 8
  96 1 1
  97 5 5
  98 4 4
  99 13 13
  100 41 41
  101 57 57
  102 34 34
  103 504 504
  104 50 50
  105 89 89
  106 9 9
  107 3 3
  108 1 1
  110 3 3
  111 4 4
  112 5 5
  113 11 11
  114 33 33
  115 23 23
  116 17 17
  117 246 246
  118 28 28
  119 21 21
  120 2 2
  121 1 1
  124 1 1
  125 1 1
  126 4 4
  127 10 10
  128 12 12
  129 287 287
  130 61 61
  131 74 74
  132 14 14
  133 146 146
  134 20 20
  135 11 11
  136 1 1
  137 1 1
  138 1 1
  139 1 1
  140 2 2
  141 4 4
  142 11 11
  143 38 38
  144 8 8
  145 21 21
  146 6 6
  147 999 999
  148 162 162
  149 94 94
  150 11 11
  151 4 4
  152 2 2
  153 1 1
  154 3 3
  155 4 4
  156 4 4
  157 226 226
  158 46 46
  159 20 20
  160 455 455
  161 83 83
  162 23 23
  163 27 27
  164 5 5
  165 2 2
  166 1 1
  167 1 1
  168 4 4
  169 6 6
  170 4 4
  171 2 2
  172 7 7
  173 10 10
  174 5 5
  175 10 10
  176 3 3
  177 10 10
  178 3 3
  179 2 2
  180 2 2
  181 2 2
  182 2 2
  183 1 1
  184 2 2
  185 2 2
  186 9 9
  187 4 4
  188 3 3
  189 66 66
  190 23 23
  191 34 34
  192 7 7
  193 3 3
  194 1 1
  196 1 1
  197 1 1
  198 1 1
  199 1 1
  200 2 2
  202 2 2
  203 8 8
  204 68 68
  205 623 623
  206 123 123
  207 73 73
  208 11 11
  209 3 3
  210 8 8
  211 2 2
  212 2 2
  213 1 1
  214 4 4
  215 8 8
  216 31 31
  217 423 423
  218 97 97
  219 45 45
  220 8 8
  221 21 21
  222 6 6
  223 3 3
  224 1 1
  225 1 1
  226 1 1
  227 1 1
  228 6 6
  229 94 94
  230 30 30
  231 44 44
  232 18 18
  233 18 18
  234 20 20
  235 6 6
  236 2 2
  237 1 1
  238 1 1
  239 1 1
  240 4 4
  241 2 2
  242 3 3
  243 7 7
  244 11 11
  245 6 6
  246 10 10
  247 9 9
  248 3 3
  249 2 2
  250 1 1
  251 1 1
  252 1 1
  253 1 1
  254 1 1
  255 1 1
  256 5 5
  257 2 2
  258 1 1
  259 4 4
  260 4 4
  261 2 2
  262 17 17
  263 5 5
  264 2 2
  265 3 3
  266 1 1
  267 1 1
  268 3 3
  269 7 7
  270 4 4
  271 2 2
  272 2 2
  273 1 1
  274 12 12
  275 5 5
  276 3 3
  277 18 18
  278 10 10
  279 5 5
  280 2 2
  286 1 1
  290 1 1
  291 16 16
  292 12 12
  293 5 5
  294 2 2
  300 4 4
  301 3 3
  302 2 2
  303 1 1
  304 1 1
  305 11 11
  306 8 8
  307 13 13
  308 6 6
  309 2 2
  317 1 1
  318 7 7
  319 384 384
  320 128 128
  321 78 78
  322 17 17
  323 4 4
  330 1 1
  331 2 2
  332 2 2
  333 2 2
  334 1 1
  336 1 1
  342 1 1
  343 6 6
  344 7 7
  345 3 3
  346 2 2
  350 1 1
  358 2 2
  359 1 1
  364 7 7
  365 5 5
  366 2 2
  374 6 6
  375 2 2
  376 5 5
  377 1 1
  378 1 1
  390 1 1
  409 1 1
  432 1 1
  433 1 1
  448 1 1
  464 1 1
  465 1 1
  466 3 3
  467 1 1
//
