ACCESSION: KZ000205
RECORD_TITLE: D-Ribose 5-phosphate; GC-EI-TOF; MS; 5 TMS; BP:147
DATE: 2016.01.19 (Created 2009.03.11, modified 2011.05.06)
AUTHORS: Ara T, Morishita Y, Shibata D, Kazusa DNA Research Institute
LICENSE: CC BY-SA
COMMENT: MassBase peak ID: MDGC1_01478_P000124
CH$NAME: D-Ribose 5-phosphate
CH$COMPOUND_CLASS: Natural Product
CH$FORMULA: C5H11O8P
CH$EXACT_MASS: 230.01915
CH$SMILES: OC(O1)[C@H](O)[C@H](O)[C@H]1COP(O)(O)=O
CH$IUPAC: InChI=1S/C5H11O8P/c6-3-2(1-12-14(9,10)11)13-5(8)4(3)7/h2-8H,1H2,(H2,9,10,11)/t2-,3-,4-,5?/m1/s1
CH$LINK: CAS 4151-19-3
CH$LINK: KEGG C00117
CH$LINK: INCHIKEY KTVPXOYAKDPRHY-SOOFDHNKSA-N
AC$INSTRUMENT: Pegasus III TOF-MS system, Leco; GC 6890, Agilent Technologies
AC$INSTRUMENT_TYPE: GC-EI-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: COLUMN_NAME DB-17MS
AC$CHROMATOGRAPHY: RETENTION_INDEX 2133.1
AC$CHROMATOGRAPHY: RETENTION_TIME 970.463 sec
MS$FOCUSED_ION: BASE_PEAK 147
MS$FOCUSED_ION: DERIVATIVE_TYPE 5 TMS
MS$DATA_PROCESSING: WHOLE ChromaTOF ver. 2.32 (Leco)
PK$SPLASH: splash10-014j-1942000000-8c3468eabd202324a3ae
PK$NUM_PEAK: 286
PK$PEAK: m/z int. rel.int.
  82 23 23
  83 17 17
  84 39 39
  85 61 61
  86 50 50
  87 55 55
  88 26 26
  89 435 435
  90 41 41
  91 36 36
  92 9 9
  93 17 17
  94 20 20
  95 16 16
  96 15 15
  97 11 11
  98 41 41
  99 58 58
  100 60 60
  101 366 366
  102 82 82
  103 165 165
  104 28 28
  105 141 141
  106 24 24
  107 30 30
  108 4 4
  109 13 13
  110 7 7
  111 24 24
  112 28 28
  113 64 64
  114 60 60
  115 133 133
  116 114 114
  117 134 134
  118 23 23
  119 69 69
  120 11 11
  121 38 38
  122 6 6
  123 18 18
  124 4 4
  125 9 9
  126 79 79
  127 52 52
  128 35 35
  129 706 706
  130 170 170
  131 173 173
  132 35 35
  133 547 547
  134 72 72
  135 137 137
  136 16 16
  137 59 59
  138 9 9
  139 9 9
  140 16 16
  141 15 15
  142 42 42
  143 68 68
  144 16 16
  145 31 31
  146 7 7
  147 999 999
  148 157 157
  149 140 140
  150 22 22
  151 58 58
  152 17 17
  153 15 15
  154 8 8
  155 8 8
  156 22 22
  157 50 50
  158 216 216
  159 52 52
  160 213 213
  161 57 57
  162 15 15
  163 65 65
  164 12 12
  165 25 25
  166 11 11
  167 25 25
  168 70 70
  169 23 23
  170 14 14
  171 5 5
  172 10 10
  173 40 40
  174 34 34
  175 15 15
  176 5 5
  177 14 14
  178 5 5
  179 18 18
  180 6 6
  181 73 73
  182 17 17
  183 29 29
  184 25 25
  185 8 8
  186 6 6
  187 5 5
  188 4 4
  189 55 55
  190 12 12
  191 81 81
  192 18 18
  193 74 74
  194 15 15
  195 59 59
  196 10 10
  197 20 20
  198 46 46
  199 9 9
  200 35 35
  201 11 11
  202 7 7
