ACCESSION: CA000178
RECORD_TITLE: alpha-Tocotrienol; EI-EBEB; MS; POS
DATE: 2016.01.19 (Created 2007.03.15, modified 2011.05.10)
AUTHORS: Akimoto N, Graduate School of Pharmaceutical Sciences, Kyoto University and Maoka T, Research Institute for Production Development
LICENSE: CC BY-SA
COMMENT: Profile spectrum of this record is given as a JPEG file.
COMMENT: [Profile] CA000178.jpg
CH$NAME: alpha-Tocotrienol
CH$COMPOUND_CLASS: Natural Product; Lipid
CH$FORMULA: C29H44O2
CH$EXACT_MASS: 424.33413
CH$SMILES: O(C(CCC=C(C)CCC=C(C)CCC=C(C)C)1C)c(c(C)2)c(c(C)c(O)c2C)CC1
CH$IUPAC: InChI=1S/C29H44O2/c1-20(2)12-9-13-21(3)14-10-15-22(4)16-11-18-29(8)19-17-26-25(7)27(30)23(5)24(6)28(26)31-29/h12,14,16,30H,9-11,13,15,17-19H2,1-8H3/b21-14+,22-16+
CH$LINK: CHEBI 297750
CH$LINK: CHEMSPIDER 5021019
CH$LINK: PUBCHEM 6538275
CH$LINK: INCHIKEY RZFHLOLGZPDCHJ-KTWAZNHYSA-N
AC$INSTRUMENT: JMS-HX/HX 110A, JEOL
AC$INSTRUMENT_TYPE: EI-EBEB
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: IONIZATION EI
MS$FOCUSED_ION: BASE_PEAK 446.3496
PK$SPLASH: splash10-0002-4101900000-9c18cbdddff57e0652fe
PK$NUM_PEAK: 472
PK$PEAK: m/z int. rel.int.
  13.0235 0.02 0
  14.0048 0.03 0
  15.0323 0.14 1
  16.0063 0.01 0
  19.8844 0.01 0
  23.0020 30.17 301
  24.3413 0.02 0
  25.0555 0.02 0
  26.0106 0.09 1
  27.0339 0.52 5
  28.0383 0.08 1
  29.0467 0.32 3
  37.0359 0.02 0
  38.0510 0.02 0
  39.0229 0.25 2
  40.0148 0.03 0
  41.0303 0.70 7
  42.0247 0.03 0
  43.0111 0.15 1
  48.0395 0.01 0
  48.9343 0.02 0
  50.0131 0.06 1
  51.0004 0.26 3
  52.0207 0.12 1
  53.0228 0.62 6
  54.0346 0.09 1
  55.0275 0.77 8
  56.0348 0.04 0
  57.0921 0.01 0
  59.7476 0.01 0
  60.9925 0.03 0
  61.9771 0.06 1
  63.0323 0.13 1
  63.5304 0.02 0
  63.7574 0.02 0
  64.0110 0.08 1
  64.1782 0.02 0
  64.7355 0.01 0
  65.0371 0.40 4
  66.0483 0.19 2
  66.3245 0.01 0
  66.7089 0.01 0
  67.0475 1.44 14
