ACCESSION: KNA00704
RECORD_TITLE: beta-D-Fructose 6-phosphate; LC-ESI-ITFT; MS; NEG
DATE: 2016.01.19 (Created 2009.11.19, modified 2011.08.03)
AUTHORS: Takahashi H, Kanaya S, Ogasawara N, Graduate School of Information Science, NAIST
LICENSE: CC BY-SA
CH$NAME: beta-D-Fructose 6-phosphate
CH$COMPOUND_CLASS: Natural Product
CH$FORMULA: C6H13O9P
CH$EXACT_MASS: 260.02972
CH$SMILES: OC[C@@](O)(O1)[C@@H](O)[C@H](O)[C@@H](COP(O)(O)=O)1
CH$IUPAC: InChI=1S/C6H13O9P/c7-2-6(10)5(9)4(8)3(15-6)1-14-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/t3-,4-,5+,6-/m1/s1
CH$LINK: CHEBI 16084
CH$LINK: KEGG C05345
CH$LINK: KNAPSACK C00019548
CH$LINK: PUBCHEM 7723
CH$LINK: INCHIKEY BGWGXPAPYGQALX-ARQDHWQXSA-N
CH$LINK: COMPTOX DTXSID90889361
AC$INSTRUMENT: LTQ Orbitrap XL, Thermo Scientfic
AC$INSTRUMENT_TYPE: LC-ESI-ITFT
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 35eV
AC$MASS_SPECTROMETRY: IONIZATION ESI
AC$CHROMATOGRAPHY: COLUMN_NAME TOSOH TSKgel ODS-100V  5um Part no. 21456
AC$CHROMATOGRAPHY: FLOW_GRADIENT 0min:3%, 45min:97%, 50min:97%, 50.1:3%, 57min:3% (acetonitrile)
AC$CHROMATOGRAPHY: FLOW_RATE 0.5 ml/min
AC$CHROMATOGRAPHY: RETENTION_TIME 6.815642 min
AC$CHROMATOGRAPHY: SOLVENT 0.1%formate-water / 0.1%formate-acetonitrile
MS$FOCUSED_ION: BASE_PEAK 259.021790
PK$SPLASH: splash10-0aor-0090070100-3d5505838415d5b26cbe
PK$NUM_PEAK: 235
PK$PEAK: m/z int. rel.int.
  101.024465 9700.222656 2
  135.030869 6644.061035 2
  138.973762 6583.850586 2
  138.977476 5800.338379 1
  138.979953 194340.656250 48
  138.981501 3238.263184 1
  138.982739 3632.884521 1
  139.006887 2371.250244 1
  139.983341 2554.940674 1
  150.979747 7067.796387 2
  167.011163 4348.065430 1
  168.990385 102695.492188 25
  168.993290 2044.637451 1
  180.948271 3461.018311 1
  186.865012 12008.050781 3
  188.861978 3271.876709 1
  197.021363 3414.462158 1
  199.000686 13420.561523 3
  200.906649 10854.319336 3
  218.917076 2615.343262 1
  223.000624 48927.230469 12
  228.875424 10942.553711 3
  229.010901 4736.544434 1
  230.872543 3057.271484 1
  230.916955 4906.857910 1
  241.010910 13353.077148 3
  257.006200 7977.495605 2
  258.658943 2484.283691 1
  258.804405 7593.347168 2
  258.886232 9089.783203 2
  258.898824 2386.121094 1
  258.939755 2459.328857 1
  258.942117 2741.396484 1
  258.949202 19283.144531 5
  258.957862 2173.048584 1
  258.959437 2880.661377 1
  258.973609 6234.375000 2
  258.976759 3206.144531 1
  258.979121 2492.569336 1
  258.983058 2134.818359 1
  258.985420 4380.833984 1
  258.987782 2016.979736 1
  258.989357 2342.080322 1
  258.994082 10223.158203 3
  258.999595 6873.302734 2
  259.001170 6866.408203 2
  259.003532 9998.496094 2
  259.008257 20331.197266 5
  259.010620 7403.577637 2
  259.015345 67098.710938 17
  259.021646 4026888.250000 999
  259.028734 61431.992188 15
  259.035823 23046.253906 6
  259.038974 11432.342773 3
  259.042912 9752.571289 2
  259.048426 9128.675781 2
  259.057879 5220.896973 1
  259.064182 3608.047119 1
  259.066545 2768.164063 1
  259.068908 5054.806152 1
  259.071272 3490.422363 1
  259.085453 2422.711426 1
  259.094120 19151.146484 5
  259.102788 2112.913574 1
  259.239161 7330.549316 2
  260.018466 3883.049072 1
  260.024804 256337.593750 64
  260.028764 6349.723145 2
  260.882474 4392.903320 1
  261.025832 51571.292969 13
  261.029019 4642.587891 1
  262.028645 2822.816406 1
  267.007599 2487.801758 1
  267.072731 7409.347656 2
  272.927124 7634.833496 2
  280.873222 9656.364258 2
  282.979385 12722.688477 3
  300.989892 2441.822021 1
  302.875166 6798.899414 2
  302.937914 13553.271484 3
  310.882871 4161.929199 1
  316.979730 14258.658203 4
  318.957188 2293.365967 1
  318.976561 4074.123779 1
  320.948862 10622.069336 3
  336.999204 5153.079590 1
  338.914837 3387.896729 1
  338.987934 11354.807617 3
  347.909740 7298.600586 2
  348.917269 21102.953125 5
  350.914450 5426.405762 1
  356.988306 25074.560547 6
  356.998501 2489.688477 1
  357.992043 2311.418213 1
  358.946050 2196.081787 1
  360.969175 7800.343262 2
  362.945433 9212.508789 2
  378.966166 2563.808350 1
  380.908202 2587.744629 1
  381.908793 3833.104248 1
  382.904838 32229.626953 8
  392.906666 8803.830078 2
  392.969944 10329.199219 3
  399.035271 4200.527344 1
  452.928069 2494.547607 1
  452.977244 3422.028564 1
  457.049939 4529.238281 1
  459.031654 2070.604980 1
  466.966781 2070.898926 1
  471.940124 3534.158203 1
  472.935384 21979.576172 5
  473.933797 2106.351074 1
  482.939204 13018.270508 3
  483.941317 2029.307617 1
  487.025324 2344.477783 1
  489.076619 2111.742188 1
  494.919634 4343.382324 1
  517.037473 6175.631836 2
  518.435203 3808.603271 1
  518.845802 9495.668945 2
  518.915027 3046.154541 1
  518.923960 2142.809814 1
  518.946295 2602.013916 1
  518.973098 5398.891113 1
  518.979799 2448.876709 1
  518.986500 3719.014648 1
  518.995435 4050.689697 1
  518.999903 4787.329590 1
  519.013306 9762.970703 2
  519.020008 5176.621094 1
  519.033412 36022.437500 9
  519.051285 2911254.000000 722
  519.062456 46765.683594 12
  519.071393 30981.636719 8
  519.082564 4181.278320 1
  519.091502 10858.032227 3
  519.100440 5630.581055 1
  519.111613 5405.732422 1
  519.125020 4416.489258 1
  519.133959 3273.635986 1
  519.151837 2709.146729 1
  519.183126 3431.258301 1
  519.192066 2392.069580 1
  519.256889 9512.033203 2
  519.668466 3276.538086 1
  520.035718 4248.064453 1
  520.053642 399270.562500 99
  520.073809 3863.135498 1
  521.054412 98051.554688 24
  522.058074 6759.748047 2
  527.035557 5872.656250 1
  527.101855 4154.861816 1
  535.046446 12712.009766 3
  541.013977 3723.969971 1
  541.032997 279007.000000 69
  541.044885 4011.387939 1
  541.054396 2651.959473 1
  542.035352 29255.279297 7
  543.009416 74691.984375 19
  543.035713 5795.964844 1
  544.012476 4530.258789 1
  549.062421 2340.544678 1
  557.006080 7679.136230 2
  560.973674 7152.683594 2
  561.971567 6030.656738 1
  562.967078 67380.093750 17
  563.970297 5697.145020 1
  564.963515 2656.010010 1
  564.973663 2061.734863 1
  571.961662 10520.761719 3
  572.970892 23661.082031 6
  573.972403 2486.988037 1
  579.016934 6204.035156 2
  584.950642 3717.539307 1
  592.973365 3710.082275 1
  598.990495 3715.485352 1
  607.938670 2408.209717 1
  608.948111 15645.636719 4
  609.951530 2315.867188 1
  610.943166 4900.046875 1
  616.886184 2228.761230 1
  779.026632 2135.044922 1
  779.047172 6461.642090 2
  779.080038 456053.781250 113
  779.100581 6884.177734 2
  779.117015 2989.012939 1
  780.083459 75692.390625 19
