ACCESSION: MSBNK-NILU-NL0123
RECORD_TITLE: 2,3,4,5,6-Pentabromoethylbenzene; GC-EI-FT; MS; Positive
DATE: 2024.08.05
AUTHORS: MILK, NILU
LICENSE: CC BY
COPYRIGHT: MILK, NILU
CH$NAME: 2,3,4,5,6-Pentabromoethylbenzene
CH$NAME: 1,2,3,4,5-pentabromo-6-ethylbenzene
CH$COMPOUND_CLASS: Non-Natural Product; Brominated flame retardant 
CH$FORMULA: C8H5Br5
CH$EXACT_MASS: 495.63081
CH$SMILES: CCC1=C(C(=C(C(=C1Br)Br)Br)Br)Br
CH$IUPAC: InChI=1S/C8H5Br5/c1-2-3-4(9)6(11)8(13)7(12)5(3)10/h2H2,1H3
AC$INSTRUMENT: Thermo Scientific Q Exactive GC Hybrid Quadrupol-Orbitrap
AC$INSTRUMENT_TYPE: GC-EI-FT
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: INJECTION_TEMPERATURE 250 C
AC$CHROMATOGRAPHY: KOVATS_RTI 2308.304
MS$FOCUSED_ION: BASE_PEAK 179.95708
PK$SPLASH: splash10-003r-2931410000-4715ae7ebf3c6d455d2a
PK$NUM_PEAK: 310
PK$PEAK: m/z int. rel.int.
  51.02296 196429 13.317
  52.03077 36840 2.498
  53.03864 32022 2.171
  54.04649 25411 1.723
  55.05433 234447 15.894
  57.0699 19866 1.347
  61.00733 210594 14.277
  62.01506 268440 18.199
  63.0229 138673 9.401
  65.03857 34893 2.366
  67.05421 187907 12.739
  69.03356 41256 2.797
  69.06991 87380 5.924
  70.04142 60627 4.11
  73.00738 572488 38.812
  74.01507 5886284 399.06
  74.03627 22542 1.528
  75.02302 5313982 360.261
  76.03084 541831 36.733
  77.00214 71593 4.854
  77.0386 291980 19.795
  78.91787 373786 25.341
  79.92568 391729 26.557
  80.91575 436106 29.566
  81.06989 127401 8.637
  81.92355 335345 22.735
  82.96163 44121 2.991
  83.99955 306380 20.771
  85.00741 2316089 157.019
  85.06486 35091 2.379
  86.0151 4039844 273.881
  86.03632 40126 2.72
  87.02299 664873 45.075
  87.04411 48283 3.273
  88.05196 24601 1.668
  88.97034 389701 26.42
  89.03864 139756 9.475
  89.4745 286658 19.434
  89.97829 1012810 68.663
  90.01016 130296 8.833
  90.04202 34561 2.343
  90.47346 260035 17.629
  90.97735 728385 49.381
  91.05424 283628 19.229
  93.06991 83401 5.654
  94.93141 130727 8.863
  97.00737 127129 8.619
  98.01533 2701655 183.158
  98.10471 17832 1.209
  99.02296 6146389 416.694
  99.04412 148397 10.061
  100.03088 6215848 421.403
  101.03878 3018553 204.642
  101.05979 17977 1.219
  102.04651 901840 61.14
  103.05444 96824 6.564
  104.06202 49857 3.38
  105.07004 21857 1.482
  106.93166 68272 4.628
  106.94916 45203 3.065
  107.08551 122080 8.276
  108.09344 28649 1.942
  109.10115 339435 23.012
  111.0805 52984 3.592
  114.91792 129275 8.764
  115.05423 77503 5.254
  115.92586 192448 13.047
  116.91583 103955 7.048
  116.9334 528643 35.839
  117.06998 112571 7.632
  117.92368 202009 13.695
  118.04134 15663 1.062
  118.93154 577872 39.177
  119.04926 115259 7.814
  122.92471 85209 5.777
  123.92374 28118 1.906
  125.02343 18575 1.259
  126.04665 15728 1.066
  127.05441 15889 1.077
  127.92583 953537 64.645
  128.42973 194188 13.165
  128.93349 3762716 255.093
  129.04474 2383398 161.582
  129.0699 2733426 185.312
  129.4375 1135360 76.972
  129.93245 6323960 428.732
  130.04822 188042 12.748
  130.07762 45155 3.061
