ACCESSION: MSBNK-NILU-NL0170
RECORD_TITLE: PBDE-99; GC-EI-FT; MS; Positive; CE: 35
DATE: 2024.08.05
AUTHORS: MILK, NILU
LICENSE: CC BY
COPYRIGHT: MILK, NILU
CH$NAME: PBDE-99
CH$NAME: 2,2,4,4,5-Pentabromodiphenyl ether
CH$COMPOUND_CLASS: Non-Natural Product; Brominated Flame Retardant
CH$FORMULA: C12H5Br5O
CH$EXACT_MASS: 559.6257
CH$SMILES: C1=CC(=C(C=C1Br)Br)OC2=CC(=C(C=C2Br)Br)Br
CH$IUPAC: InChI=1S/C12H5Br5O/c13-6-1-2-11(9(16)3-6)18-12-5-8(15)7(14)4-10(12)17/h1-5H
AC$INSTRUMENT: Trace 1310 GC, Thermo Scientific; Q Exactive Orbitrap, Thermo Scientific
AC$INSTRUMENT_TYPE: GC-EI-FT
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 35
AC$CHROMATOGRAPHY: RETENTION_TIME 27.56035
AC$CHROMATOGRAPHY: KOVATS_RTI NA
MS$FOCUSED_ION: BASE_PEAK 403.7856
PK$SPLASH: splash10-11or-0982850000-6ce7faa5d3da00565add
PK$NUM_PEAK: 361
PK$PEAK: m/z int. rel.int.
  101.05975 20322 2
  102.96661 73405 7
  103.05441 108721 11
  104.06228 14052 1
  106.06514 67161 7
  106.07766 76229 8
  107.03673 32953 3
  107.4743 28746 3
  107.97841 260525 26
  107.99944 97138 10
  108.09348 20218 2
  108.97742 233419 24
  109.00733 345632 35
  109.06504 33883 3
  109.4813 119932 12
  110.01536 680647 69
  111.02304 576486 58
  111.04408 39640 4
  111.11696 32007 3
  112.03091 125960 13
  113.03872 54724 6
  114.00075 45485 5
  114.49586 47762 5
  115.03902 21604 2
  115.0542 75261 8
  116.93348 229846 23
  117.02985 25115 3
  117.06995 150603 15
  117.92368 110685 11
  118.03755 36442 4
  118.0734 15825 2
  118.07777 57033 6
  118.93145 256592 26
  118.99802 56054 6
  119.04542 105753 11
  119.08582 10483 1
  120.05311 63283 6
  120.08099 39872 4
  120.09335 64095 6
  121.1012 27610 3
  121.94164 28077 3
  121.97562 260699 26
  122.10915 46271 5
  122.97478 273897 28
  123.04396 10063 1
  125.05977 14874 2
  126.04654 33656 3
  126.06748 47043 5
  127.05428 22483 2
  127.92581 147974 15
  128.08321 22403 2
  128.99477 13297 1
  129.92368 159376 16
  130.91286 42941 4
  131.03432 43134 4
  131.04913 39336 4
  131.99965 161954 16
  132.09366 45475 5
  133.01386 386200 39
  133.0649 64393 7
  134.01529 123631 12
  134.10883 77719 8
  135.02301 118584 12
  135.04405 18444 2
  135.06259 11844 1
  135.08029 33544 3
  136.03062 515580 52
  136.12482 16743 2
  137.03886 6400821 646
  138.04222 1447206 146
  139.0544 289159 29
  139.92577 126621 13
  140.93364 1724186 174
  141.9239 131147 13
  141.94115 305380 31
  142.93147 1799599 182
  142.94937 97515 10
  143.03654 160802 16
  143.07053 33898 3
  143.08568 134255 14
  143.9391 311339 31
  144.04442 43910 4
  144.0936 34788 4
  144.94257 134281 14
  145.05209 78533 8
  145.06479 13250 1
  145.95032 36580 4
  146.05978 39049 4
  146.10471 58734 6
  147.04422 12388 1
  147.06531 133945 14
  147.08063 115282 12
  147.43729 546762 55
  148.07547 531877 54
  148.43634 1032731 104
  148.938 123980 13
  149.08345 176052 18
  149.13275 69491 7
  149.43533 492289 50
  149.93704 66715 7
  150.09122 42406 4
  151.92578 223666 23
  152.08324 37630 4
