ACCESSION: MSBNK-NILU-NL0456
RECORD_TITLE: Dechlorane Plus Syn; GC-EI-TOF; MS; Positive
DATE: 2025.04.02
AUTHORS: MILK, NILU
LICENSE: CC BY
COPYRIGHT: MILK, NILU
CH$NAME: Dechlorane Plus Syn
CH$NAME: Escapeflam DK-15
CH$COMPOUND_CLASS: Non-Natural Product; Flame Retardant
CH$FORMULA: C18H12Cl12
CH$EXACT_MASS: 671.72014
CH$SMILES: ClC1(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C(Cl)=C2Cl)C1(Cl)C(Cl)=C(Cl)C4(Cl)C1(Cl)Cl
CH$IUPAC: InChI=1S/C18H12Cl12/c19-9-10(20)15(25)7-3-4-8-6(2-1-5(7)13(9,23)17(15,27)28)14(24)11(21)12(22)16(8,26)18(14,29)30/h5-8H,1-4H2
AC$INSTRUMENT: Agilent 7200 QTOF
AC$INSTRUMENT_TYPE: GC-EI-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: INJECTION_TEMPERATURE 280 C
AC$CHROMATOGRAPHY: KOVATS_RTI 3248.753
MS$FOCUSED_ION: BASE_PEAK 271.8094
PK$SPLASH: splash10-00dr-2190000000-b311788846db79b0a107
PK$NUM_PEAK: 233
PK$PEAK: m/z int. rel.int.
27.02367 146 2.921
29.03908 894 17.875
35.97695 1886 37.694
37.97377 973 19.449
39.02373 2282 45.614
39.9622 331 6.612
41.03931 6886 137.659
42.04541 662 13.227
43.05496 351 7.012
43.98976 868 17.354
44.99516 74 1.477
45.03453 157 3.134
50.01598 78 1.556
51.02322 924 18.481
53.0391 2283 45.643
54.04667 3003 60.037
55.05461 7172 143.369
56.06243 925 18.492
57.07037 4435 88.666
60.02153 148 2.949
63.02374 1132 22.621
65.0386 2982 59.604
66.04619 1787 35.73
67.05433 15183 303.531
68.06084 628 12.547
69.06978 2104 42.06
71.08559 1240 24.795
71.11356 126 2.519
73.04667 348 6.952
74.99945 2891 57.788
75.02513 905 18.095
76.03104 124 2.484
77.03844 3855 77.059
78.04617 949 18.969
79.05424 14590 291.668
79.08236 842 16.823
80.06128 4932 98.597
81.06963 4195 83.865
82.07718 296 5.916
82.94506 1140 22.796
83.08588 169 3.374
84.09323 155 3.093
85.10104 198 3.953
86.10377 104 2.071
89.03799 1158 23.143
91.05421 4506 90.074
92.06121 336 6.72
93.06977 3274 65.441
94.07616 576 11.52
95.08498 2228 44.533
96.00429 333 6.661
96.09283 460 9.194
97.10096 319 6.379
98.10866 67 1.34
99.11686 303 6.059
100.1191 349 6.979
103.05302 439 8.784
104.06116 112 2.233
105.06978 2295 45.888
106.0761 779 15.571
107.08501 5217 104.291
108.09376 943 18.861
109.10142 718 14.346
113.01376 1368 27.346
113.1319 118 2.363
115.05405 1487 29.734
116.05962 330 6.605
116.90598 1184 23.667
117.06953 410 8.202
118.90327 1131 22.612
119.08546 365 7.298
122.10754 124 2.486
123.11618 70 1.399
124.12441 224 4.484
125.13239 123 2.466
126.04536 533 10.662
126.13985 198 3.953
127.05248 1307 26.133
128.06143 793 15.852
129.06787 657 13.142
133.01303 254 5.077
133.10057 272 5.434
134.10725 79 1.586
135.1161 142 2.837
136.00548 1344 26.86
137.13187 74 1.469
139.05154 966 19.321
139.14745 59 1.172
140.90558 1437 28.724
141.07005 1853 37.042
141.16475 157 3.133
142.07727 354 7.082
142.90332 1413 28.244
143.06253 2572 51.423
145.0999 250 4.99
149.01531 2315 46.288
152.06137 673 13.45
153.06834 413 8.265
155.08528 68 1.357
