ACCESSION: FFF00076
RECORD_TITLE: Daidzein; LC-APPI-QQ; MS
DATE: 2016.01.19 (Created 2011.03.01)
AUTHORS: Atsushi Yamamoto
LICENSE: CC BY-SA
COPYRIGHT: PFOS.jp
COMMENT: Disclaimer: While authors make an effort to ensure that the content of this record is accurate, the authors make no representations or warranties in relation to the accuracy or completeness of the record. This record do not reflect any viewpoints of the affiliation and organization to which the authors belong.
CH$NAME: Daidzein
CH$COMPOUND_CLASS: Natural Product; Isoflavone
CH$FORMULA: C15H10O4
CH$EXACT_MASS: 254.05791
CH$SMILES: Oc(c3)ccc(c3)C(=C1)C(=O)c(c2)c(cc(O)c2)O1
CH$IUPAC: InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H
CH$LINK: CAS 486-66-8
CH$LINK: INCHIKEY ZQSIJRDFPHDXIC-UHFFFAOYSA-N
CH$LINK: COMPTOX DTXSID9022310
AC$INSTRUMENT: API2000
AC$INSTRUMENT_TYPE: LC-APPI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: RETENTION_TIME 0.821067 min
MS$FOCUSED_ION: BASE_PEAK 255.500000
MS$FOCUSED_ION: ION_TYPE [M+H]+
PK$SPLASH: splash10-0a4i-0090000000-b3ae695d217c756a5f8f
PK$NUM_PEAK: 204
PK$PEAK: m/z int. rel.int.
  201.149776 6698232.000000 5
  202.132750 2226742.000000 2
  203.115534 10374457.000000 7
  205.127162 10098365.000000 7
  207.146920 3313104.000000 2
  209.185874 3080526.500000 2
  210.211607 1680560.000000 1
  211.165642 5467822.000000 4
  213.146615 7535511.000000 5
  215.154827 12403133.000000 9
  216.174389 2085695.000000 1
  217.156500 5794931.000000 4
  219.139048 5671890.000000 4
  221.126129 7178392.000000 5
  222.124662 1332444.000000 1
  223.167094 3392630.500000 2
  225.192096 4860119.500000 3
  227.182379 7493497.000000 5
  229.159020 9615204.000000 7
  231.157121 6974324.000000 5
  233.174495 3341613.500000 2
  235.140992 4747582.000000 3
  236.163211 897299.000000 1
  237.188650 6425141.000000 4
  239.141002 7721573.000000 5
  241.202058 20558350.500000 14
  243.175189 7523507.000000 5
  245.156749 7781593.000000 5
  246.212018 1398466.000000 1
  247.171322 4039346.000000 3
  249.172716 3629709.500000 3
  250.131185 721740.500000 1
  251.191821 2751917.000000 2
  253.165911 4894631.000000 3
  255.149762 1440687069.000000 999
  259.177278 3803767.500000 3
  261.172037 4228409.000000 3
  263.161946 3115038.000000 2
  265.172194 3086528.500000 2
  267.163394 7624040.500000 5
  269.146711 55197393.000000 38
  271.131620 11559852.000000 8
  273.201039 10107368.000000 7
  274.218033 1722574.000000 1
  275.197351 3398632.500000 2
  277.128441 19035343.000000 13
  279.192734 25442478.000000 18
  281.219471 2666388.500000 2
  283.168909 16708067.500000 12
  285.195546 7275924.500000 5
  287.187870 4403967.500000 3
  289.229344 2771423.500000 2
  291.245296 2073691.000000 1
  293.143351 9297098.000000 6
  295.186674 2454818.000000 2
  297.255970 4624541.000000 3
  299.242112 4717572.000000 3
  301.218149 3290596.500000 2
  303.232154 1866622.000000 1
  304.340347 520673.500000 1
  305.276931 1535011.500000 1
  307.251444 1662554.000000 1
  309.245522 1575525.000000 1
  311.333849 3679226.000000 3
  313.284090 2178726.000000 2
  315.318167 3980826.500000 3
  317.264674 1206402.000000 1
  319.257906 1347449.000000 1
  320.299039 312104.000000 1
  321.286823 1526008.500000 1
  323.234467 1323441.000000 1
  325.280555 1080360.000000 1
  327.319369 1905635.000000 1
  328.332189 960320.000000 1
  329.240635 1417972.500000 1
  331.220297 1212404.000000 1
  333.193014 1632544.000000 1
  334.233508 573191.000000 1
  335.262712 1416472.000000 1
  336.313977 418639.500000 1
  337.321647 1219906.500000 1
  339.282026 1051850.500000 1
  340.341986 271590.500000 1
  341.415072 2588362.500000 2
  343.246558 1482494.000000 1
  345.265602 5452817.000000 4
  347.241667 1980660.000000 1
  349.265231 1009836.500000 1
  351.289173 942314.000000 1
  353.362630 570190.000000 1
  355.474610 4231410.000000 3
  359.266471 10221406.000000 7
  361.259512 2216238.500000 2
  363.354623 859786.500000 1
  364.438372 258086.000000 1
  365.298638 661720.500000 1
  367.356014 835778.500000 1
  369.490423 1880126.500000 1
  371.380652 1473491.000000 1
  373.314073 1002334.000000 1
  375.328286 901800.500000 1
  377.302184 961820.500000 1
  379.325573 457652.500000 1
  381.380238 501167.000000 1
  382.235711 126042.000000 1
  383.389091 742747.500000 1
  385.486191 1260420.000000 1
  387.315418 720240.000000 1
  389.424727 412637.500000 1
  390.135492 93031.000000 1
  391.477284 2562854.000000 2
  392.431305 690230.000000 1
  393.389150 636212.000000 1
  395.332865 1387962.500000 1
  397.495228 4842113.500000 3
  399.428797 21248580.500000 15
  400.482921 4006335.000000 3
  401.491376 1200400.000000 1
  403.462563 292597.500000 1
  404.395607 136545.500000 1
  405.430770 351117.000000 1
  407.437619 315105.000000 1
  408.200012 28509.500000 1
  409.457016 513171.000000 1
  410.380556 216072.000000 1
  411.469395 1539513.000000 1
  413.475713 1210903.500000 1
  415.453261 712737.500000 1
  417.487439 310603.500000 1
  418.399994 51017.000000 1
  419.557252 393131.000000 1
  420.123084 39013.000000 1
  420.569701 99033.000000 1
  421.446855 477159.000000 1
  422.349996 114038.000000 1
  423.554467 688729.500000 1
  424.500000 220573.500000 1
  425.431863 442647.500000 1
  427.490147 609203.000000 1
  429.512175 1158386.000000 1
  430.573610 432144.000000 1
  433.451304 345115.000000 1
  435.488147 405135.000000 1
  436.200012 40513.500000 1
  437.508617 1497499.000000 1
  438.539009 484661.500000 1
  439.506015 399133.000000 1
  441.474999 246082.000000 1
  442.481817 66022.000000 1
  443.488671 1456985.500000 1
  445.456920 195065.000000 1
  447.442199 163554.500000 1
  448.561906 63021.000000 1
  449.476270 177059.000000 1
  451.590244 492164.000000 1
  453.510472 286595.500000 1
  454.362497 48016.000000 1
  455.532309 195065.000000 1
  456.525808 46515.500000 1
  457.546536 303101.000000 1
  458.247223 54018.000000 1
  458.546003 75025.000000 1
  459.408274 435145.000000 1
  460.560952 157552.500000 1
  461.419995 90030.000000 1
  462.100006 16505.500000 1
  462.394111 51017.000000 1
  463.509999 120040.000000 1
  464.430002 30010.000000 1
  465.100006 45015.000000 1
  465.609336 225075.000000 1
  467.529078 763754.500000 1
