ACCESSION: FFF00079
RECORD_TITLE: Stigmastanol; LC-APPI-QQ; MS2; CE:40 V; [M-H2O+H]+
DATE: 2016.01.19 (Created 2011.03.01, modified 2011.06.20)
AUTHORS: Atsushi Yamamoto, PFOS.jp
LICENSE: CC BY-SA
COPYRIGHT: PFOS.jp
COMMENT: Disclaimer: While authors make an effort to ensure that the content of this record is accurate, the authors make no representations or warranties in relation to the accuracy or completeness of the record. This record do not reflect any viewpoints of the affiliation and organization to which the authors belong.
CH$NAME: Stigmastanol
CH$COMPOUND_CLASS: Natural Product; Sterol
CH$FORMULA: C29H52O
CH$EXACT_MASS: 416.40182
CH$SMILES: C(C4)C(C(CC4O)3)(C(C(CC3)2)CCC(C21)(C(CC1)C(C)CCC(C(C)C)CC)C)C
CH$IUPAC: InChI=1S/C29H52O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h19-27,30H,7-18H2,1-6H3/t20?,21?,22?,23-,24?,25?,26?,27?,28?,29?/m0/s1
CH$LINK: CAS 19466-47-8
CH$LINK: LIPIDBANK SST9087
CH$LINK: INCHIKEY LGJMUZUPVCAVPU-BYKIICAPSA-N
AC$INSTRUMENT: API2000
AC$INSTRUMENT_TYPE: LC-APPI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: RETENTION_TIME 0.820833 min
MS$FOCUSED_ION: BASE_PEAK 94.800003
MS$FOCUSED_ION: ION_TYPE [M-H2O+H]+
MS$FOCUSED_ION: PRECURSOR_M/Z 399.500000
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H2O+H]+
PK$SPLASH: splash10-0532-9700000000-0e4b251d2abe54bfe8b6
PK$NUM_PEAK: 289
PK$PEAK: m/z int. rel.int.
  38.900002 2000.500000 1
  41.269231 52013.000000 10
  41.599998 2000.500000 1
  43.080434 92023.000000 17
  43.712501 16004.000000 3
  45.079467 2328582.000000 440
  51.200001 2000.500000 1
  52.799999 2000.500000 1
  53.000000 2000.500000 1
  53.200001 2000.500000 1
  53.936364 22005.500000 4
  55.075524 572143.000000 108
  57.132429 2800700.000000 529
  58.000000 8002.000000 2
  59.299999 26006.500000 5
  61.799999 2000.500000 1
  62.900002 2000.500000 1
  63.500000 2000.500000 1
  64.699997 4001.000000 1
  65.199997 4001.000000 1
  65.500000 4001.000000 1
  67.116954 696174.000000 131
  69.076862 1746436.500000 330
  71.141631 932233.000000 176
  72.199997 2000.500000 1
