ACCESSION: FFF00084
RECORD_TITLE: Dehydroepiandrosterone; LC-APPI-QQ; MS2; CE:60 V; [M-H2O+H]+
DATE: 2016.01.19 (Created 2011.03.01, modified 2011.06.20)
AUTHORS: Atsushi Yamamoto, PFOS.jp
LICENSE: CC BY-SA
COPYRIGHT: PFOS.jp
COMMENT: Disclaimer: While authors make an effort to ensure that the content of this record is accurate, the authors make no representations or warranties in relation to the accuracy or completeness of the record. This record do not reflect any viewpoints of the affiliation and organization to which the authors belong.
CH$NAME: Dehydroepiandrosterone
CH$COMPOUND_CLASS: Natural Product; Steroid hormone
CH$FORMULA: C19H28O2
CH$EXACT_MASS: 288.20893
CH$SMILES: OC(C4)CC(=C3)C(C)(C4)C(C2)C(C3)C(C1)C(C)(C2)C(=O)C1
CH$IUPAC: InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h3,13-16,20H,4-11H2,1-2H3/t13-,14?,15?,16?,18?,19?/m0/s1
CH$LINK: CAS 53-43-0
CH$LINK: LIPIDBANK SST0185
CH$LINK: INCHIKEY FMGSKLZLMKYGDP-IHFGAHDLSA-N
AC$INSTRUMENT: API2000
AC$INSTRUMENT_TYPE: LC-APPI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: RETENTION_TIME 0.820867 min
MS$FOCUSED_ION: BASE_PEAK 91.000000
MS$FOCUSED_ION: ION_TYPE [M-H2O+H]+
MS$FOCUSED_ION: PRECURSOR_M/Z 271.300000
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H2O+H]+
PK$SPLASH: splash10-056u-8900000000-bb9e79e7a9b5665fa6a6
PK$NUM_PEAK: 237
PK$PEAK: m/z int. rel.int.
  38.700001 5402.000000 1
  39.299999 10804.000000 1
  39.871429 9453.500000 1
  41.093774 694157.000000 51
  43.088535 1060142.500000 77
  44.857143 18907.000000 1
  49.799999 1350.500000 1
  50.400002 2701.000000 1
  50.799999 8103.000000 1
  51.099998 8103.000000 1
  51.866667 8103.000000 1
  53.070256 263347.500000 19
  55.080031 3449177.000000 252
  57.062963 109390.500000 8
  57.599998 4051.500000 1
  58.150000 2701.000000 1
  58.500000 2701.000000 1
  58.700001 2701.000000 1
  58.950001 10804.000000 1
  59.200001 4051.500000 1
  62.299999 1350.500000 1
  62.599998 1350.500000 1
  62.900002 2701.000000 1
  63.099998 2701.000000 1
  63.730000 13505.000000 1
  65.096892 521293.000000 38
  67.107137 4730801.500000 346
