ACCESSION: FFF00095
RECORD_TITLE: Dehydroepiandrosterone; LC-APPI-QQ; MS2; CE:10 V; [M-2H2O+H]+
DATE: 2016.01.19 (Created 2011.03.01, modified 2011.06.20)
AUTHORS: Atsushi Yamamoto, PFOS.jp
LICENSE: CC BY-SA
COPYRIGHT: PFOS.jp
COMMENT: Disclaimer: While authors make an effort to ensure that the content of this record is accurate, the authors make no representations or warranties in relation to the accuracy or completeness of the record. This record do not reflect any viewpoints of the affiliation and organization to which the authors belong.
CH$NAME: Dehydroepiandrosterone
CH$COMPOUND_CLASS: Natural Product; Steroid hormone
CH$FORMULA: C19H28O2
CH$EXACT_MASS: 288.20893
CH$SMILES: OC(C4)CC(=C3)C(C)(C4)C(C2)C(C3)C(C1)C(C)(C2)C(=O)C1
CH$IUPAC: InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h3,13-16,20H,4-11H2,1-2H3/t13-,14?,15?,16?,18?,19?/m0/s1
CH$LINK: CAS 53-43-0
CH$LINK: LIPIDBANK SST0185
CH$LINK: INCHIKEY FMGSKLZLMKYGDP-IHFGAHDLSA-N
AC$INSTRUMENT: API2000
AC$INSTRUMENT_TYPE: LC-APPI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: RETENTION_TIME 0.820850 min
MS$FOCUSED_ION: BASE_PEAK 253.199997
MS$FOCUSED_ION: PRECURSOR_M/Z 253.300000
MS$FOCUSED_ION: PRECURSOR_TYPE [M-2H2O+H]+
PK$SPLASH: splash10-0udi-0090000000-07ea3551eabd61ab8a86
PK$NUM_PEAK: 185
PK$PEAK: m/z int. rel.int.
  38.000000 1350.500000 1
  48.400002 1350.500000 1
  59.000000 1350.500000 1
  67.199997 2701.000000 1
  67.500000 1350.500000 1
  68.300003 1350.500000 1
  68.750000 2701.000000 1
  69.025000 5402.000000 1
  69.300003 1350.500000 1
  78.699997 1350.500000 1
  81.126866 90483.500000 1
  82.500000 1350.500000 1
  83.035000 27010.000000 1
  84.900002 1350.500000 1
  90.983334 8103.000000 1
  91.199997 2701.000000 1
  93.000000 10804.000000 1
  93.199997 8103.000000 1
  93.500000 6752.500000 1
  94.400002 5402.000000 1
  94.699997 10804.000000 1
  95.034999 27010.000000 1
  95.400002 16206.000000 1
  96.925001 5402.000000 1
  97.300003 2701.000000 1
  98.199997 1350.500000 1
  99.099998 2701.000000 1
  101.900002 1350.500000 1
  103.900002 2701.000000 1
