ACCESSION: FFF00172
RECORD_TITLE: Ethinyl estradiol; LC-APPI-QQ; MS
DATE: 2016.01.19 (Created 2011.04.04, modified 2011.06.20)
AUTHORS: Atsushi Yamamoto, PFOS.jp
LICENSE: CC BY-SA
COPYRIGHT: PFOS.jp
COMMENT: Disclaimer: While authors make an effort to ensure that the content of this record is accurate, the authors make no representations or warranties in relation to the accuracy or completeness of the record. This record do not reflect any viewpoints of the affiliation and organization to which the authors belong.
CH$NAME: Ethinyl estradiol
CH$COMPOUND_CLASS: Non-Natural Product; Steroid hormone
CH$FORMULA: C20H24O2
CH$EXACT_MASS: 296.17763
CH$SMILES: Oc(c4)cc(C3)c(c4)C(C2)C(C3)C(C1)C(C)(C2)C(O)(C#C)C1
CH$IUPAC: InChI=1S/C20H24O2/c1-3-20(22)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h1,5,7,12,16-18,21-22H,4,6,8-11H2,2H3
CH$LINK: CAS 57-63-6
CH$LINK: LIPIDBANK SST0068
CH$LINK: INCHIKEY BFPYWIDHMRZLRN-UHFFFAOYSA-N
AC$INSTRUMENT: API2000
AC$INSTRUMENT_TYPE: LC-APPI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: RETENTION_TIME 0.821050 min
MS$FOCUSED_ION: BASE_PEAK 279.100006
MS$FOCUSED_ION: ION_TYPE [M-H2O+H]+
PK$SPLASH: splash10-004i-0191000000-955a28fce550a346b97a
PK$NUM_PEAK: 156
PK$PEAK: m/z int. rel.int.
  151.135262 3436374.000000 4
  153.118149 4134153.000000 5
  154.108182 687775.000000 1
  155.115889 3777760.500000 5
  157.130687 18427368.000000 24
  158.123873 4771908.000000 6
  159.138050 37429966.000000 48
  160.166488 5821077.500000 7
  161.154856 17639553.000000 23
  163.120061 10659262.000000 14
  164.162364 1375550.000000 2
  165.130486 3059973.500000 4
  167.123362 3206282.000000 4
  169.104099 4881952.000000 6
  170.106880 2581032.000000 3
  171.118305 11579630.000000 15
  173.124557 13657961.000000 17
  174.109332 3216286.000000 4
  175.121141 7257902.000000 9
  176.176984 1401810.500000 2
  177.147829 5817326.000000 7
  178.147030 1263005.000000 2
  179.155318 6336283.500000 8
  181.123870 15051018.000000 19
  182.166895 2561024.000000 3
  183.122842 17780859.500000 23
  184.154589 3461384.000000 4
  185.135956 14642104.500000 19
  186.103577 3321328.000000 4
  187.105472 9781411.000000 13
  188.105511 2178371.000000 3
  189.128936 6966535.500000 9
