ACCESSION: FFF00173
RECORD_TITLE: Ergosterol; LC-APPI-QQ; MS2; CE:60 V; [M-H2O+H]+
DATE: 2016.01.19 (Created 2011.04.04, modified 2011.06.20)
AUTHORS: Atsushi Yamamoto, PFOS.jp
LICENSE: CC BY-SA
COPYRIGHT: PFOS.jp
COMMENT: Disclaimer: While authors make an effort to ensure that the content of this record is accurate, the authors make no representations or warranties in relation to the accuracy or completeness of the record. This record do not reflect any viewpoints of the affiliation and organization to which the authors belong.
CH$NAME: Ergosterol
CH$COMPOUND_CLASS: Natural Product; Sterol
CH$FORMULA: C28H44O
CH$EXACT_MASS: 396.33922
CH$SMILES: C(C(C=CC(C)C(C4)C(C3C4)(C)CCC(C=13)C(C2)(C(CC(C2)O)=CC1)C)C)(C)C
CH$IUPAC: InChI=1S/C28H44O/c1-18(2)19(3)7-8-20(4)24-11-12-25-23-10-9-21-17-22(29)13-15-27(21,5)26(23)14-16-28(24,25)6/h7-10,18-20,22,24-26,29H,11-17H2,1-6H3/b8-7+/t19?,20?,22-,24?,25?,26?,27?,28?/m0/s1
CH$LINK: CAS 57-87-4
CH$LINK: LIPIDBANK SST0012
CH$LINK: INCHIKEY DNVPQKQSNYMLRS-CTZLKQLBSA-N
AC$INSTRUMENT: API2000
AC$INSTRUMENT_TYPE: LC-APPI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: RETENTION_TIME 0.820850 min
MS$FOCUSED_ION: BASE_PEAK 81.300003
MS$FOCUSED_ION: PRECURSOR_M/Z 379.400000
PK$SPLASH: splash10-066v-9800000000-5a2c2ae9aa907ebd391d
PK$NUM_PEAK: 393
PK$PEAK: m/z int. rel.int.
  38.099998 1850.500000 1
  38.599998 1850.500000 1
  39.099998 9252.500000 1
  39.299999 5551.500000 1
  39.599998 1850.500000 1
  40.000000 7402.000000 1
  41.157353 377502.000000 52
  41.716667 11103.000000 2
  43.126903 729097.000000 100
  44.099998 5551.500000 1
  44.299999 3701.000000 1
  44.500000 5551.500000 1
  49.700001 1850.500000 1
  50.350000 3701.000000 1
  50.700001 3701.000000 1
  51.500000 1850.500000 1
  52.500000 5551.500000 1
  52.700001 5551.500000 1
  52.960001 18505.000000 3
  53.200001 14804.000000 2
  54.033333 44412.000000 6
  55.093470 1983736.000000 273
  57.146161 1928221.000000 265
  58.400002 1850.500000 1
  59.400002 1850.500000 1
  60.900002 1850.500000 1
  64.000000 1850.500000 1
  64.599998 7402.000000 1
  65.169998 37010.000000 5
