ACCESSION: FFF00202
RECORD_TITLE: Progesterone; LC-APPI-QQ; MS2; CE:40 V; [M+H]+
DATE: 2016.01.19 (Created 2011.04.05, modified 2011.06.20)
AUTHORS: Atsushi Yamamoto, PFOS.jp
LICENSE: CC BY-SA
COPYRIGHT: PFOS.jp
COMMENT: Disclaimer: While authors make an effort to ensure that the content of this record is accurate, the authors make no representations or warranties in relation to the accuracy or completeness of the record. This record do not reflect any viewpoints of the affiliation and organization to which the authors belong.
CH$NAME: Progesterone
CH$COMPOUND_CLASS: Natural Product; Steroid hormone
CH$FORMULA: C21H30O2
CH$EXACT_MASS: 314.22458
CH$SMILES: O=C(C4)C=C(C3)C(C)(C4)C(C2)C(C3)C(C1)C(C)(C2)C(C(C)=O)C1
CH$IUPAC: InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3
CH$LINK: CAS 57-83-0
CH$LINK: INCHIKEY RJKFOVLPORLFTN-UHFFFAOYSA-N
AC$INSTRUMENT: API2000
AC$INSTRUMENT_TYPE: LC-APPI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: RETENTION_TIME 0.820833 min
MS$FOCUSED_ION: BASE_PEAK 109.199997
MS$FOCUSED_ION: PRECURSOR_M/Z 315.400000
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-052b-7900000000-1afc0fc88eca5cbefb08
PK$NUM_PEAK: 297
PK$PEAK: m/z int. rel.int.
  38.200001 1500.500000 1
  39.000000 3001.000000 1
  40.500000 4501.500000 1
  41.113636 33011.000000 1
  43.052207 1767589.000000 39
  44.599998 1500.500000 1
  44.950000 12004.000000 1
  45.400002 3001.000000 1
  50.299999 1500.500000 1
  50.700001 1500.500000 1
  51.000000 6002.000000 1
  53.142858 21007.000000 1
  53.700001 1500.500000 1
  53.950001 3001.000000 1
  55.086364 198066.000000 4
  55.950001 6002.000000 1
  56.425001 6002.000000 1
  57.200000 48016.000000 1
  57.900002 1500.500000 1
  58.400002 1500.500000 1
  58.839999 15005.000000 1
  59.500000 1500.500000 1
  59.900002 1500.500000 1
  63.299999 1500.500000 1
  64.300003 1500.500000 1
  64.987500 12004.000000 1
  65.300003 9003.000000 1
  67.102866 471157.000000 11
  67.900002 3001.000000 1
  68.099998 6002.000000 1
  69.109896 576192.000000 13
  69.800003 4501.500000 1
  71.111142 538679.500000 12
