ACCESSION: FFF00215
RECORD_TITLE: Dihydrotestosterone; LC-APPI-QQ; MS2; CE:40 V; [M-H2O+H]+
DATE: 2016.01.19 (Created 2011.04.05, modified 2011.06.20)
AUTHORS: Atsushi Yamamoto, PFOS.jp
LICENSE: CC BY-SA
COPYRIGHT: PFOS.jp
COMMENT: Disclaimer: While authors make an effort to ensure that the content of this record is accurate, the authors make no representations or warranties in relation to the accuracy or completeness of the record. This record do not reflect any viewpoints of the affiliation and organization to which the authors belong.
CH$NAME: Dihydrotestosterone
CH$COMPOUND_CLASS: Natural Product; Steroid hormone
CH$FORMULA: C19H30O2
CH$EXACT_MASS: 290.22458
CH$SMILES: O=C(C4)CC([H])(C3)C(C)(C4)C(C2)C(C3)C(C1)C(C)(C2)C(O)C1
CH$IUPAC: InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12,14-17,21H,3-11H2,1-2H3/t12-,14?,15?,16?,17-,18?,19?/m0/s1
CH$LINK: CAS 521-18-6
CH$LINK: LIPIDBANK SST0297
CH$LINK: INCHIKEY NVKAWKQGWWIWPM-FMFZMMAASA-N
AC$INSTRUMENT: API2000
AC$INSTRUMENT_TYPE: LC-APPI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: RETENTION_TIME 0.820850 min
MS$FOCUSED_ION: BASE_PEAK 107.099998
MS$FOCUSED_ION: ION_TYPE [M-H2O+H]+
MS$FOCUSED_ION: PRECURSOR_M/Z 273.200000
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H2O+H]+
PK$SPLASH: splash10-0a4i-4910000000-1fba901cab70d366437c
PK$NUM_PEAK: 287
PK$PEAK: m/z int. rel.int.
  39.099998 1350.500000 1
  39.900002 1350.500000 1
  40.299999 1350.500000 1
  40.500000 2701.000000 1
  40.799999 1350.500000 1
  41.150000 5402.000000 3
  41.799999 1350.500000 1
  42.299999 1350.500000 1
  42.500000 5402.000000 3
  43.100000 66174.500000 33
  43.700001 1350.500000 1
  44.099998 1350.500000 1
  44.799999 1350.500000 1
  45.000000 1350.500000 1
  45.200001 1350.500000 1
  45.700001 1350.500000 1
  50.900002 1350.500000 1
  51.099998 1350.500000 1
  52.599998 1350.500000 1
  53.099998 1350.500000 1
  53.400002 1350.500000 1
  53.599998 1350.500000 1
  54.000000 8103.000000 4
  54.299999 5402.000000 3
  55.058333 145854.000000 73
  55.599998 4051.500000 2
  56.099998 2701.000000 1
