ACCESSION: FFF00220
RECORD_TITLE: Dihydrotestosterone; LC-APPI-QQ; MS2; CE:50 V; [M-2H2O+H]+
DATE: 2016.01.19 (Created 2011.04.05, modified 2011.06.20)
AUTHORS: Atsushi Yamamoto, PFOS.jp
LICENSE: CC BY-SA
COPYRIGHT: PFOS.jp
COMMENT: Disclaimer: While authors make an effort to ensure that the content of this record is accurate, the authors make no representations or warranties in relation to the accuracy or completeness of the record. This record do not reflect any viewpoints of the affiliation and organization to which the authors belong.
CH$NAME: Dihydrotestosterone
CH$COMPOUND_CLASS: Natural Product; Steroid hormone
CH$FORMULA: C19H30O2
CH$EXACT_MASS: 290.22458
CH$SMILES: O=C(C4)CC([H])(C3)C(C)(C4)C(C2)C(C3)C(C1)C(C)(C2)C(O)C1
CH$IUPAC: InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12,14-17,21H,3-11H2,1-2H3/t12-,14?,15?,16?,17-,18?,19?/m0/s1
CH$LINK: CAS 521-18-6
CH$LINK: LIPIDBANK SST0297
CH$LINK: INCHIKEY NVKAWKQGWWIWPM-FMFZMMAASA-N
AC$INSTRUMENT: API2000
AC$INSTRUMENT_TYPE: LC-APPI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: RETENTION_TIME 0.820867 min
MS$FOCUSED_ION: BASE_PEAK 91.000000
MS$FOCUSED_ION: ION_TYPE [M-2H2O+H]+
MS$FOCUSED_ION: PRECURSOR_M/Z 255.200000
MS$FOCUSED_ION: PRECURSOR_TYPE [M-2H2O+H]+
PK$SPLASH: splash10-05po-7900000000-7133c00e0b0e264687ec
PK$NUM_PEAK: 229
PK$PEAK: m/z int. rel.int.
  37.599998 1350.500000 1
  39.049999 8103.000000 2
  40.099998 1350.500000 1
  41.100000 89133.000000 22
  41.700001 4051.500000 1
  41.950001 2701.000000 1
  43.247368 51319.000000 13
  44.400002 1350.500000 1
  44.700001 1350.500000 1
  45.099998 2701.000000 1
  50.500000 1350.500000 1
  50.799999 2701.000000 1
  51.099998 1350.500000 1
  51.299999 1350.500000 1
  51.500000 1350.500000 1
  52.000000 1350.500000 1
  53.000000 20257.500000 5
  53.300000 17556.500000 4
  55.085660 715765.000000 180
  56.539999 6752.500000 2
  57.000000 32412.000000 8
  57.599998 2701.000000 1
  58.750000 2701.000000 1
  59.250000 5402.000000 1
  60.200001 1350.500000 1
  62.000000 1350.500000 1
  63.700001 1350.500000 1
