ACCESSION: FFF00264
RECORD_TITLE: Androstenedione; LC-APPI-QQ; MS
DATE: 2016.01.19 (Created 2011.04.05, modified 2011.06.20)
AUTHORS: Atsushi Yamamoto, PFOS.jp
LICENSE: CC BY-SA
COPYRIGHT: PFOS.jp
COMMENT: Disclaimer: While authors make an effort to ensure that the content of this record is accurate, the authors make no representations or warranties in relation to the accuracy or completeness of the record. This record do not reflect any viewpoints of the affiliation and organization to which the authors belong.
CH$NAME: Androstenedione
CH$COMPOUND_CLASS: Natural Product; Steroid hormone
CH$FORMULA: C19H26O2
CH$EXACT_MASS: 286.19328
CH$SMILES: O=C(C4)C=C(C3)C(C)(C4)C(C2)C(C3)C(C1)C(C)(C2)C(=O)C1
CH$IUPAC: InChI=1S/C19H26O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-16H,3-10H2,1-2H3/t14?,15?,16?,18-,19-/m0/s1
CH$LINK: CAS 63-05-8
CH$LINK: LIPIDBANK SST0028
CH$LINK: INCHIKEY AEMFNILZOJDQLW-WFZCBACDSA-N
AC$INSTRUMENT: API2000
AC$INSTRUMENT_TYPE: LC-APPI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: RETENTION_TIME 0.821083 min
MS$FOCUSED_ION: BASE_PEAK 287.200012
MS$FOCUSED_ION: ION_TYPE [M+H]+
PK$SPLASH: splash10-000i-0191000000-81b8b43e6ddee164e040
PK$NUM_PEAK: 152
PK$PEAK: m/z int. rel.int.
  151.155306 3570177.500000 5
  153.156388 5726039.500000 7
  154.143033 1121698.500000 1
  155.108810 4201680.000000 5
  156.117084 900360.000000 1
  157.145578 6079931.000000 8
  158.117086 3981592.000000 5
  159.144508 6830231.000000 9
  161.166810 15982640.500000 21
  163.127358 10457931.500000 14
  164.190263 1335534.000000 2
  165.139204 2513505.000000 3
  166.164601 766556.500000 1
  167.136589 3175019.500000 4
  168.111181 2013305.000000 3
  169.095781 4860693.500000 6
  170.104231 2542266.500000 3
  171.117707 11702179.000000 15
  172.135058 3673969.000000 5
  173.127146 10406661.000000 14
  174.118362 2656062.000000 3
  175.107845 6535113.000000 9
  176.156451 1085434.000000 1
  177.161464 5977390.000000 8
  178.153749 1484343.500000 2
  179.161966 5418416.500000 7
  181.129872 12922667.000000 17
  183.116725 13128999.500000 17
  184.167361 3486394.000000 5
  185.129786 10562973.500000 14
  186.113158 3754001.000000 5
  187.112093 13525408.000000 18
  189.123052 5598488.500000 7
