ACCESSION: FFF00272
RECORD_TITLE: beta-Estradiol; LC-APPI-QQ; MS2; CE:60 V; [M-H2O+H]+
DATE: 2016.01.19 (Created 2011.04.05, modified 2011.06.20)
AUTHORS: Atsushi Yamamoto, PFOS.jp
LICENSE: CC BY-SA
COPYRIGHT: PFOS.jp
COMMENT: Disclaimer: While authors make an effort to ensure that the content of this record is accurate, the authors make no representations or warranties in relation to the accuracy or completeness of the record. This record do not reflect any viewpoints of the affiliation and organization to which the authors belong.
CH$NAME: beta-Estradiol
CH$COMPOUND_CLASS: Natural Product; Steroid hormone
CH$FORMULA: C18H24O2
CH$EXACT_MASS: 272.17763
CH$SMILES: Oc(c4)cc(C3)c(c4)C(C2)C(C3)C(C1)C(C)(C2)C(O)C1
CH$IUPAC: InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14?,15?,16?,17-,18?/m0/s1
CH$LINK: CAS 50-28-2
CH$LINK: LIPIDBANK SST0013
CH$LINK: INCHIKEY VOXZDWNPVJITMN-LESVLKBLSA-N
AC$INSTRUMENT: API2000
AC$INSTRUMENT_TYPE: LC-APPI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: RETENTION_TIME 0.820850 min
MS$FOCUSED_ION: BASE_PEAK 91.099998
MS$FOCUSED_ION: PRECURSOR_M/Z 255.000000
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H2O+H]+
PK$SPLASH: splash10-00kf-4900000000-c5058d3761c84ca6ea3e
PK$NUM_PEAK: 210
PK$PEAK: m/z int. rel.int.
  31.500000 1350.500000 1
  38.200001 2701.000000 1
  39.000000 16206.000000 1
  40.200001 9453.500000 1
  41.084987 503736.500000 38
  42.099998 4051.500000 1
  43.125517 391645.000000 29
  43.700001 2701.000000 1
  44.500000 1350.500000 1
  49.799999 2701.000000 1
  50.400002 4051.500000 1
  50.900002 13505.000000 1
  53.120960 309264.500000 23
  55.091132 2923832.500000 218
  56.933334 8103.000000 1
  57.299999 8103.000000 1
  58.200001 1350.500000 1
  58.500000 1350.500000 1
  58.799999 4051.500000 1
  59.200001 5402.000000 1
  61.599998 1350.500000 1
  61.850000 2701.000000 1
  62.200001 1350.500000 1
  62.500000 2701.000000 1
  62.900002 6752.500000 1
  63.260000 13505.000000 1
  65.073097 1064194.000000 79
  67.132820 7283246.500000 543
  69.088484 445665.000000 33
  70.049999 2701.000000 1
