ACCESSION: FFF00200
RECORD_TITLE: Progesterone; LC-APPI-QQ; MS2; CE:60 V; [M+H]+
DATE: 2016.01.19 (Created 2011.04.05, modified 2011.06.20)
AUTHORS: Atsushi Yamamoto, PFOS.jp
LICENSE: CC BY-SA
COPYRIGHT: PFOS.jp
COMMENT: Disclaimer: While authors make an effort to ensure that the content of this record is accurate, the authors make no representations or warranties in relation to the accuracy or completeness of the record. This record do not reflect any viewpoints of the affiliation and organization to which the authors belong.
CH$NAME: Progesterone
CH$COMPOUND_CLASS: Natural Product; Steroid hormone
CH$FORMULA: C21H30O2
CH$EXACT_MASS: 314.22458
CH$SMILES: O=C(C4)C=C(C3)C(C)(C4)C(C2)C(C3)C(C1)C(C)(C2)C(C(C)=O)C1
CH$IUPAC: InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3
CH$LINK: CAS 57-83-0
CH$LINK: INCHIKEY RJKFOVLPORLFTN-UHFFFAOYSA-N
AC$INSTRUMENT: API2000
AC$INSTRUMENT_TYPE: LC-APPI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: RETENTION_TIME 0.820833 min
MS$FOCUSED_ION: BASE_PEAK 97.099998
MS$FOCUSED_ION: PRECURSOR_M/Z 315.400000
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-052b-9300000000-48dcdcc523abf0dd77e0
PK$NUM_PEAK: 318
PK$PEAK: m/z int. rel.int.
  31.300000 4501.500000 1
  37.400002 1500.500000 1
  38.599998 1500.500000 1
  38.799999 3001.000000 1
  39.049999 12004.000000 1
  39.316666 9003.000000 1
  39.650000 3001.000000 1
  40.000000 4501.500000 1
  41.049515 309103.000000 17
  43.067299 2688896.000000 149
  44.599998 1500.500000 1
  44.799999 7502.500000 1
  45.200001 9003.000000 1
  45.400002 6002.000000 1
  46.599998 1500.500000 1
  49.900002 3001.000000 1
  50.250000 3001.000000 1
  50.599998 1500.500000 1
  51.260001 7502.500000 1
  51.700001 1500.500000 1
  51.900002 6002.000000 1
  53.067999 75025.000000 4
  55.094942 1038346.000000 57
  56.599998 9003.000000 1
  57.263636 66022.000000 4
  57.599998 3001.000000 1
  57.799999 1500.500000 1
  58.099998 1500.500000 1
  58.599998 1500.500000 1
  59.200001 6002.000000 1
  59.400002 3001.000000 1
  60.900002 1500.500000 1
  62.900002 1500.500000 1
