ACCESSION: FFF00275
RECORD_TITLE: beta-Estradiol; LC-APPI-QQ; MS2; CE:30 V; [M-H2O+H]+
DATE: 2016.01.19 (Created 2011.04.05, modified 2011.06.20)
AUTHORS: Atsushi Yamamoto, PFOS.jp
LICENSE: CC BY-SA
COPYRIGHT: PFOS.jp
COMMENT: Disclaimer: While authors make an effort to ensure that the content of this record is accurate, the authors make no representations or warranties in relation to the accuracy or completeness of the record. This record do not reflect any viewpoints of the affiliation and organization to which the authors belong.
CH$NAME: beta-Estradiol
CH$COMPOUND_CLASS: Natural Product; Steroid hormone
CH$FORMULA: C18H24O2
CH$EXACT_MASS: 272.17763
CH$SMILES: Oc(c4)cc(C3)c(c4)C(C2)C(C3)C(C1)C(C)(C2)C(O)C1
CH$IUPAC: InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14?,15?,16?,17-,18?/m0/s1
CH$LINK: CAS 50-28-2
CH$LINK: LIPIDBANK SST0013
CH$LINK: INCHIKEY VOXZDWNPVJITMN-LESVLKBLSA-N
AC$INSTRUMENT: API2000
AC$INSTRUMENT_TYPE: LC-APPI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: RETENTION_TIME 0.820850 min
MS$FOCUSED_ION: BASE_PEAK 159.199997
MS$FOCUSED_ION: PRECURSOR_M/Z 255.000000
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H2O+H]+
PK$SPLASH: splash10-0a4i-1900000000-6e60416e94056acffd6a
PK$NUM_PEAK: 225
PK$PEAK: m/z int. rel.int.
  38.799999 1350.500000 1
  39.299999 1350.500000 1
  40.799999 2701.000000 1
  41.000000 6752.500000 1
  42.200001 1350.500000 1
  42.400002 2701.000000 1
  43.020000 13505.000000 1
  51.099998 1350.500000 1
  52.900002 1350.500000 1
  53.300000 6752.500000 1
  53.700001 2701.000000 1
  54.099998 5402.000000 1
  54.564285 18907.000000 1
  55.023457 218781.000000 3
  55.900002 1350.500000 1
  56.500000 1350.500000 1
  56.700001 1350.500000 1
  57.074999 10804.000000 1
  57.400002 9453.500000 1
  58.700001 1350.500000 1
  59.400002 2701.000000 1
  59.799999 1350.500000 1
  63.799999 1350.500000 1
  64.000000 1350.500000 1
  64.400002 1350.500000 1
  65.112498 10804.000000 1
  65.500000 16206.000000 1
  67.103034 2314757.000000 31
  69.108421 1411272.500000 19
  70.300003 4051.500000 1
