ACCESSION: PR010043
RECORD_TITLE: D-(-)-Ribose; GC-EI-TOF; MS; 4 TMS; 1 MEOX; BP:73
DATE: 2016.01.19 (Created 2006.12.21, modified 2011.05.06)
AUTHORS: Kusano M, Fukushima A, Plant Science Center, RIKEN.
LICENSE: CC BY-SA
CH$NAME: D-(-)-Ribose
CH$NAME: D-Ribose
CH$COMPOUND_CLASS: Natural Product
CH$FORMULA: C5H10O5
CH$EXACT_MASS: 150.05282
CH$SMILES: OC[C@@H](O1)[C@@H](O)[C@@H](O)C(O)1
CH$IUPAC: InChI=1S/C5H10O5/c6-1-2-3(7)4(8)5(9)10-2/h2-9H,1H2/t2-,3-,4-,5?/m1/s1
CH$LINK: CAS 50-69-1
CH$LINK: CHEBI 16988
CH$LINK: KEGG C00121
CH$LINK: NIKKAJI J60.867J
CH$LINK: PUBCHEM 3421
CH$LINK: INCHIKEY HMFHBZSHGGEWLO-SOOFDHNKSA-N
AC$INSTRUMENT: Pegasus III TOF-MS system, Leco; GC 6890, Agilent Technologies
AC$INSTRUMENT_TYPE: GC-EI-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: RETENTION_INDEX 1659.2
AC$CHROMATOGRAPHY: RETENTION_TIME 410.59 sec
MS$FOCUSED_ION: BASE_PEAK 73
MS$FOCUSED_ION: DERIVATIVE_FORM C18H45NO5Si4
MS$FOCUSED_ION: DERIVATIVE_MASS 467.23748
MS$FOCUSED_ION: DERIVATIVE_TYPE 4 TMS; 1 MEOX
MS$DATA_PROCESSING: WHOLE ChromaTOF ver. 2.32 (Leco)
PK$SPLASH: splash10-0fk9-8920000000-71080ebc024c820bf8fd
PK$NUM_PEAK: 133
PK$PEAK: m/z int. rel.int.
  60 7 7
  61 10 10
  66 4 4
  67 3 3
  69 1 1
  70 7 7
  71 4 4
  72 20 20
  73 999 999
  74 87 87
  75 65 65
  76 5 5
  77 6 6
  82 3 3
  83 1 1
  84 3 3
  85 4 4
  86 6 6
  87 6 6
  88 4 4
  89 61 61
  90 5 5
  91 3 3
  94 1 1
  98 2 2
  99 4 4
  100 23 23
  101 20 20
  102 11 11
  103 563 563
  104 54 54
  105 37 37
  106 2 2
  107 1 1
  111 1 1
  112 2 2
  113 5 5
  114 11 11
  115 8 8
  116 6 6
  117 47 47
  118 5 5
  119 7 7
  126 2 2
  127 3 3
  128 3 3
  129 43 43
  130 10 10
  131 22 22
  132 4 4
  133 57 57
  134 8 8
  135 5 5
  140 1 1
  141 1 1
  142 4 4
  143 10 10
  144 2 2
  145 8 8
  146 1 1
  147 177 177
  148 27 27
  149 17 17
  150 2 2
  151 1 1
  156 1 1
  157 3 3
  158 5 5
  159 2 2
  160 42 42
  161 11 11
  162 2 2
  163 8 8
  164 1 1
  168 3 3
  169 1 1
  170 1 1
  172 2 2
  173 3 3
  174 7 7
  175 6 6
  176 1 1
  177 2 2
  186 1 1
  189 66 66
  190 13 13
  191 18 18
  192 3 3
  193 1 1
  198 2 2
  200 2 2
  201 5 5
  202 1 1
  203 2 2
  204 15 15
  205 19 19
  206 4 4
  207 3 3
  215 1 1
  216 5 5
  217 223 223
  218 47 47
  219 20 20
  220 3 3
  221 4 4
  228 1 1
  230 1 1
  231 3 3
  232 2 2
  233 17 17
  234 5 5
  235 1 1
  242 1 1
  248 1 1
  256 1 1
  257 1 1
  262 6 6
  263 1 1
  272 1 1
  274 2 2
  277 17 17
  278 6 6
  279 3 3
  288 1 1
  291 1 1
  306 1 1
  307 87 87
  308 25 25
  309 12 12
  310 2 2
  331 1 1
  362 1 1
  467 1 1
//
