ACCESSION: PR010053
RECORD_TITLE: D-Ribose 5-phosphate; GC-EI-TOF; MS; 5 TMS; 1 MEOX; BP:73
DATE: 2016.01.19 (Created 2006.12.21, modified 2011.05.06)
AUTHORS: Kusano M, Fukushima A, Plant Science Center, RIKEN.
LICENSE: CC BY-SA
CH$NAME: D-Ribose 5-phosphate
CH$COMPOUND_CLASS: Natural Product
CH$FORMULA: C5H11O8P
CH$EXACT_MASS: 230.01915
CH$SMILES: OC(O1)[C@H](O)[C@H](O)[C@H]1COP(O)(O)=O
CH$IUPAC: InChI=1S/C5H11O8P/c6-3-2(1-12-14(9,10)11)13-5(8)4(3)7/h2-8H,1H2,(H2,9,10,11)/t2-,3-,4-,5?/m1/s1
CH$LINK: CAS 18265-46-8
CH$LINK: NIKKAJI J266.083K
CH$LINK: INCHIKEY KTVPXOYAKDPRHY-SOOFDHNKSA-N
AC$INSTRUMENT: Pegasus III TOF-MS system, Leco; GC 6890, Agilent Technologies
AC$INSTRUMENT_TYPE: GC-EI-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: RETENTION_INDEX 2091.9
AC$CHROMATOGRAPHY: RETENTION_TIME 500.746 sec
MS$FOCUSED_ION: BASE_PEAK 73
MS$FOCUSED_ION: DERIVATIVE_FORM C21H54NO8PSi5
MS$FOCUSED_ION: DERIVATIVE_MASS 619.24334
MS$FOCUSED_ION: DERIVATIVE_TYPE 5 TMS; 1 MEOX
MS$DATA_PROCESSING: WHOLE ChromaTOF ver. 2.32 (Leco)
PK$SPLASH: splash10-00di-9421000000-dbcd94d0a73f35716059
PK$NUM_PEAK: 180
PK$PEAK: m/z int. rel.int.
  60 7 7
  61 13 13
  62 1 1
  63 2 2
  66 4 4
  67 3 3
  69 2 2
  70 4 4
  71 6 6
  72 16 16
  73 999 999
  74 83 83
  75 89 89
  76 7 7
  77 32 32
  78 1 1
  79 4 4
  82 2 2
  83 1 1
  84 4 4
  85 5 5
  86 2 2
  87 4 4
  88 2 2
  89 66 66
  90 6 6
  91 3 3
  92 1 1
  93 1 1
  94 4 4
  95 1 1
  97 1 1
  98 2 2
  99 10 10
  100 6 6
  101 47 47
  102 9 9
  103 32 32
  104 3 3
  105 7 7
  106 1 1
  107 1 1
  111 2 2
  112 2 2
  113 7 7
  114 4 4
  115 10 10
  116 16 16
  117 17 17
  118 2 2
  119 6 6
  120 1 1
  121 2 2
  126 4 4
  127 5 5
  128 2 2
  129 86 86
  130 21 21
  131 19 19
  132 4 4
  133 48 48
  134 6 6
  135 11 11
  136 1 1
  137 3 3
  140 1 1
  141 1 1
  142 3 3
  143 6 6
  144 1 1
  145 3 3
  147 115 115
  148 18 18
  149 17 17
  150 2 2
  151 5 5
  152 1 1
  153 1 1
  156 2 2
  157 5 5
  158 21 21
  159 6 6
  160 10 10
  161 5 5
  162 1 1
  163 6 6
  165 1 1
  166 1 1
  167 1 1
  168 2 2
  172 1 1
  173 5 5
  174 6 6
  175 1 1
  177 1 1
  179 1 1
  181 4 4
  182 1 1
  183 2 2
  184 3 3
  185 1 1
  186 1 1
  189 8 8
  190 1 1
  191 7 7
  192 1 1
  193 6 6
  194 1 1
  195 6 6
  196 1 1
  197 2 2
  198 3 3
  199 1 1
  200 2 2
  203 2 2
  204 5 5
  205 13 13
  206 2 2
  207 10 10
  208 2 2
  209 2 2
  211 30 30
  212 4 4
  213 3 3
  214 2 2
  215 3 3
  216 2 2
  217 114 114
  218 28 28
  219 11 11
  220 2 2
  221 1 1
  225 10 10
  226 1 1
  227 8 8
  228 1 1
  229 1 1
  230 1 1
  231 3 3
  232 1 1
  233 1 1
  240 1 1
  241 1 1
  243 1 1
  246 1 1
  253 2 2
  256 4 4
  257 1 1
  258 1 1
  269 1 1
  283 3 3
  284 1 1
  285 3 3
  298 4 4
  299 106 106
  300 30 30
  301 15 15
  302 3 3
  305 1 1
  313 2 2
  314 7 7
  315 133 133
  316 35 35
  317 19 19
  318 3 3
  328 2 2
  331 2 2
  341 2 2
  357 12 12
  358 3 3
  359 1 1
  369 1 1
  373 1 1
  387 4 4
  388 1 1
  389 1 1
  458 1 1
  459 8 8
  460 3 3
  461 2 2
//
