ACCESSION: LQA00044
RECORD_TITLE: PC(16:0/20-HETE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PC(16:0/20-HETE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C44H80NO9P
CH$EXACT_MASS: 798.098
CH$SMILES: CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCO
CH$IUPAC: InChI=1S/C44H80NO9P/c1-5-6-7-8-9-10-11-17-20-23-26-29-32-35-43(47)51-40-42(41-53-55(49,50)52-39-37-45(2,3)4)54-44(48)36-33-30-27-24-21-18-15-13-12-14-16-19-22-25-28-31-34-38-46/h12,14-15,18-19,22,24,27,42,46H,5-11,13,16-17,20-21,23,25-26,28-41H2,1-4H3/b14-12-,18-15-,22-19-,27-24-
CH$LINK: INCHIKEY BYNYVPMBCNITTD-CORUFLGGSA-N
CH$LINK: PUBCHEM CID:134722888
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 856.5709227
MS$FOCUSED_ION: PRECURSOR_TYPE [M+CH3COOH-H]-
PK$SPLASH: splash10-001i-0025000900-c7ba7caf6af3a039c2c5
PK$NUM_PEAK: 246
PK$PEAK: m/z int. rel.int.
  78.96255 20 16
  168.0362 20 16
  168.038 20 16
  168.0398 20 16
  168.0417 20 16
  168.0472 31 25
  224.0582 20 16
  224.0624 31 25
  224.0645 31 25
  224.0666 31 25
  224.073 20 16
  224.0814 20 16
  224.0835 20 16
  245.2185 20 16
  245.2251 31 25
  245.2274 31 25
  245.234 20 16
  245.2384 21 17
  251.1355 21 17
  254.4782 21 17
  255.1336 21 17
  255.2125 31 25
  255.2147 21 17
  255.217 51 41
  255.2193 72 58
  255.2215 185 150
  255.2238 248 201
  255.226 300 244
  255.2283 436 354
  255.2305 324 263
  255.2328 355 288
  255.235 282 229
