ACCESSION: LQA00141
RECORD_TITLE: PC(18:1/20-HDoHE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PC(18:1/20-HDoHE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C48H82NO9P
CH$EXACT_MASS: 848.158
CH$SMILES: CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C=C/C(O)CC
CH$IUPAC: InChI=1S/C48H82NO9P/c1-6-8-9-10-11-12-13-14-17-21-24-27-30-33-36-39-47(51)55-43-46(44-57-59(53,54)56-42-41-49(3,4)5)58-48(52)40-37-34-31-28-25-22-19-16-15-18-20-23-26-29-32-35-38-45(50)7-2/h14-17,20,22-23,25,29,31-32,34-35,38,45-46,50H,6-13,18-19,21,24,26-28,30,33,36-37,39-44H2,1-5H3/b16-15-,17-14-,23-20-,25-22-,32-29-,34-31-,38-35+
CH$LINK: INCHIKEY XWWGMCAQXWQIOD-CMYKRNPRSA-N
CH$LINK: PUBCHEM CID:134780147
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 906.5865727
MS$FOCUSED_ION: PRECURSOR_TYPE [M+CH3COOH-H]-
PK$SPLASH: splash10-001i-0011000091-f35dd727e5926bb721b0
PK$NUM_PEAK: 377
PK$PEAK: m/z int. rel.int.
  71.0137 12 6
  71.01488 12 6
  78.9587 12 6
  78.96244 12 6
  107.0813 12 6
  107.0885 12 6
  121.089 12 6
  121.0998 12 6
  133.1009 12 6
  133.1025 12 6
  135.1149 12 6
  135.1198 12 6
  141.4744 12 6
  141.4794 12 6
  147.1164 24 12
  147.1249 12 6
  161.1347 12 6
  161.1471 12 6
  168.0347 12 6
  168.0365 12 6
  168.0383 12 6
  168.0401 24 12
  168.0437 24 12
  168.0474 24 12
  168.0492 12 6
  187.1444 12 6
  187.1463 12 6
  187.1521 24 12
  187.154 12 6
  189.1625 12 6
  189.1683 12 6
  206.7019 12 6
  206.7321 12 6
  207.1377 12 6
  207.1397 24 12
  224.0562 12 6
  224.0646 12 6
  224.0688 24 12
  224.073 12 6
  224.0772 12 6
  225.9939 12 6
  226.0319 12 6
  227.1741 12 6
  227.1762 12 6
  227.1804 12 6
  227.1952 12 6
  241.1791 12 6
  241.1812 12 6
  241.1856 12 6
  241.1878 12 6
  241.1921 24 12
  241.1943 24 12
  241.1965 60 30
  241.1987 24 12
  241.2009 60 30
  241.2052 12 6
  241.2074 12 6
  245.1815 12 6
  245.1837 12 6
  245.1881 12 6
  247.162 12 6
  247.1642 12 6
  247.1774 12 6
  280.2855 12 6
  280.2878 12 6
  280.3582 24 12
  280.3629 12 6
  280.37 12 6
  281.2137 12 6
  281.2161 36 18
  281.2184 12 6
  281.2208 36 18
  281.2231 65 32
  281.2255 59 29
  281.2278 59 29
  281.2302 87 43
  281.2325 132 66
  281.2349 105 52
  281.2372 127 63
  281.2396 169 84
  281.2419 193 96
  281.2443 232 115
  281.2466 237 118
  281.249 211 105
  281.2513 255 127
  281.2537 159 79
  281.256 156 77
