ACCESSION: LQA00222
RECORD_TITLE: PE(16:1e/5,6-EET); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PE(16:1e/5,6-EET)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C41H74NO8P
CH$EXACT_MASS: 740.018
CH$SMILES: CCCCCCCCCCCCCC\C=C/OCC(COP(O)(=O)OCCN)OC(=O)CCCC1OC1C\C=C/C\C=C/C\C=C/CCCCC
CH$IUPAC: InChI=1S/C41H74NO8P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-34-46-36-38(37-48-51(44,45)47-35-33-42)49-41(43)32-29-31-40-39(50-40)30-27-25-23-21-19-16-14-12-10-8-6-4-2/h12,14,19,21,25,27-28,34,38-40H,3-11,13,15-18,20,22-24,26,29-33,35-37,42H2,1-2H3,(H,44,45)/b14-12-,21-19-,27-25-,34-28-
CH$LINK: INCHIKEY XHJFYYUPKGPSFH-VLMOQABJSA-N
CH$LINK: PUBCHEM CID:134778474
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 738.5079288
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-000i-0215500900-a4f9f4be4c89d4e99c26
PK$NUM_PEAK: 211
PK$PEAK: m/z int. rel.int.
  78.96188 20 40
  78.96439 20 40
  81.03403 20 40
  83.05456 31 62
  99.04446 20 40
  99.04586 20 40
  99.05008 31 62
  99.05289 31 62
  115.0385 20 40
  137.1283 31 62
  137.1349 31 62
  137.1365 61 121
  137.1415 20 40
  140.0049 20 40
  163.1475 20 40
  163.1547 31 62
