ACCESSION: LQA00226
RECORD_TITLE: PE(16:1e/8-HETE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PE(16:1e/8-HETE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C41H74NO8P
CH$EXACT_MASS: 740.018
CH$SMILES: CCCCCCCCCCCCCC\C=C/OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC(O)\C=C/C=C\C\C=C/CCCCC
CH$IUPAC: InChI=1S/C41H74NO8P/c1-3-5-7-9-11-13-15-16-17-18-20-22-26-30-35-47-37-40(38-49-51(45,46)48-36-34-42)50-41(44)33-29-25-24-28-32-39(43)31-27-23-21-19-14-12-10-8-6-4-2/h12,14,21,23-24,27-28,30-31,35,39-40,43H,3-11,13,15-20,22,25-26,29,32-34,36-38,42H2,1-2H3,(H,45,46)/b14-12-,23-21-,28-24-,31-27-,35-30-
CH$LINK: INCHIKEY NJTPXIVRIMQPFB-LHBRILSUSA-N
CH$LINK: PUBCHEM CID:134752550
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 738.5079288
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-000i-0238400900-ec48d67ec8f73cc53865
PK$NUM_PEAK: 677
PK$PEAK: m/z int. rel.int.
  78.9553 31 10
  78.95655 61 19
  78.9578 20 6
  78.95906 112 35
  78.96031 61 19
  78.96156 112 35
  78.96282 82 26
  78.96407 82 26
  78.96533 51 16
  78.96658 20 6
  78.96909 20 6
  93.07488 20 6
  105.0715 20 6
  107.0827 20 6
  109.0659 20 6
  109.0688 41 13
