ACCESSION: LQA00249
RECORD_TITLE: PE(18:1/11,12-EpETE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PE(18:1/11,12-EpETE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C43H74NO9P
CH$EXACT_MASS: 780.039
CH$SMILES: CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C/C\C=C/CC
CH$IUPAC: InChI=1S/C43H74NO9P/c1-3-5-7-9-11-12-13-14-15-16-17-18-21-25-29-33-42(45)49-37-39(38-51-54(47,48)50-36-35-44)52-43(46)34-30-26-22-19-20-24-28-32-41-40(53-41)31-27-23-10-8-6-4-2/h6,8,14-15,19,22-24,27-28,39-41H,3-5,7,9-13,16-18,20-21,25-26,29-38,44H2,1-2H3,(H,47,48)/b8-6-,15-14-,22-19-,27-23-,28-24-
CH$LINK: INCHIKEY RSGNZKXWUYOQBX-SKIHJHLBSA-N
CH$LINK: PUBCHEM CID:134764973
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 778.5028435
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-004i-0010000900-de8c1e467eec788cc1e9
PK$NUM_PEAK: 327
PK$PEAK: m/z int. rel.int.
  78.96187 20 3
  78.96312 31 5
  78.96814 20 3
  96.95621 20 3
  96.9576 41 6
  96.95899 71 11
  96.96038 82 12
  96.96177 51 8
  96.96316 71 11
  96.96455 71 11
  96.96594 41 6
  113.027 20 3
  135.1197 41 6
  135.1213 20 3
  140.0047 20 3
  140.0063 20 3
  140.008 31 5
  140.0097 51 8
  140.0164 71 11
  140.018 20 3
  149.0859 20 3
  149.091 20 3
  149.0962 41 6
  149.0979 31 5
  149.0997 20 3
  149.1324 20 3
  163.1057 20 3
  163.1129 31 5
  163.1147 41 6
  163.1183 20 3
  167.096 31 5
  167.0978 82 12
  167.0996 82 12
  167.1015 102 16
  167.1033 194 29
  167.1051 214 33
  167.1069 194 29
  167.1088 163 25
  167.1106 143 22
  167.1124 82 12
  167.1142 112 17
  167.116 51 8
  167.1179 82 12
  167.1197 51 8
  167.1234 20 3
  167.127 20 3
  179.0974 51 8
  179.0993 20 3
  179.1012 71 11
  179.103 61 9
  179.1049 71 11
  179.1068 41 6
  179.1087 71 11
  179.1125 31 5
