ACCESSION: LQA00288
RECORD_TITLE: PE(18:2e/19,20-EpDPE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PE(18:2e/19,20-EpDPE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C45H76NO8P
CH$EXACT_MASS: 790.078
CH$SMILES: CCCCCCCCCCCCC\C=C/C\C=C/OCC(COP(O)(=O)OCCN)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC1OC1CC
CH$IUPAC: InChI=1S/C45H76NO8P/c1-3-5-6-7-8-9-10-11-12-16-19-22-25-28-31-34-38-50-40-42(41-52-55(48,49)51-39-37-46)53-45(47)36-33-30-27-24-21-18-15-13-14-17-20-23-26-29-32-35-44-43(4-2)54-44/h13-14,18,20-21,23,25,27-30,32,34,38,42-44H,3-12,15-17,19,22,24,26,31,33,35-37,39-41,46H2,1-2H3,(H,48,49)/b14-13-,21-18-,23-20-,28-25-,30-27-,32-29-,38-34-
CH$LINK: INCHIKEY JWDQVHXKQZYKKY-SDILAZTKSA-N
CH$LINK: PUBCHEM CID:134742600
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 788.5235789
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-000i-0022300900-af2f85ef5894e4aaa4b3
PK$NUM_PEAK: 248
PK$PEAK: m/z int. rel.int.
  78.96395 20 28
  107.0855 31 44
  107.087 20 28
  117.0718 20 28
  121.1043 20 28
  133.0965 20 28
  133.0998 20 28
  140.0077 20 28
  140.0094 20 28
  149.1304 20 28
  161.1311 20 28
  161.1365 20 28
  173.1298 20 28
  173.1317 31 44
  187.1388 31 44
  187.1446 20 28
  187.1485 20 28
  187.1504 20 28
  187.1523 20 28
  189.1652 20 28
  196.0282 31 44
  196.0341 20 28
  196.0361 31 44
  196.0381 41 58
  196.04 51 72
  196.042 31 44
  196.044 51 72
  217.1575 20 28
  227.1611 20 28
  227.1781 41 58
  227.1802 20 28
  241.1811 20 28
  241.1855 31 44
  241.1876 51 72
  241.1898 61 86
  241.192 41 58
  241.1942 102 144
  241.1964 31 44
  241.1986 41 58
  241.2008 61 86
  241.203 20 28
  241.2052 61 86
  241.2074 31 44
  241.2096 20 28
  241.2139 41 58
  241.2183 20 28
  245.179 20 28
  245.1834 20 28
  245.19 20 28
  245.1922 20 28
  245.1944 20 28
  253.1948 20 28
  253.2218 20 28
  259.1772 20 28
  265.2385 20 28
  265.2431 20 28
  265.2523 41 58
  265.2569 31 44
  265.2592 31 44
  265.2638 20 28
  273.186 31 44
  281.2129 41 58
  281.2152 51 72
  281.2176 41 58
  281.22 61 86
  281.2223 122 172
  281.2247 71 100
  281.2271 102 144
  281.2294 82 116
  281.2318 82 116
  281.2342 71 100
  281.2365 41 58
  281.2389 51 72
  281.2412 71 100
  281.2436 51 72
  281.246 20 28
  281.2484 20 28
  283.2585 20 28
  285.1686 20 28
  285.171 20 28
  285.1734 20 28
  285.1758 71 100
  285.1782 61 86
  285.1829 61 86
  285.1853 41 58
  285.1877 71 100
  285.1901 41 58
  285.1924 31 44
  285.1948 31 44
  285.1996 31 44
  285.2067 20 28
  299.2167 31 44
  299.2191 31 44
  299.2216 51 72
  299.224 31 44
  299.2265 51 72
  299.2289 82 116
  299.2314 71 100
  299.2338 92 130
  299.2362 92 130
  299.2387 102 144
  299.2411 92 130
  299.2436 71 100
  299.246 61 86
  299.2484 51 72
  299.2509 51 72
  299.2533 41 58
  299.2558 31 44
  299.2631 31 44
  325.189 20 28
  325.1992 31 44
  325.2043 20 28
  325.2094 51 72
  325.2119 61 86
  325.2144 133 187
  325.217 41 58
  325.2195 41 58
  325.2221 31 44
  325.2246 41 58
  325.2272 61 86
  325.2297 20 28
  325.2323 20 28
  341.1921 21 30
  342.7786 21 30
  343.1967 21 30
  343.2019 41 58
  343.2045 52 73
  343.2071 62 87
  343.2097 93 131
  343.2123 187 263
  343.2149 52 73
  343.2176 209 294
  343.2202 157 221
  343.2228 303 427
  343.2254 251 354
  343.228 247 348
  343.2306 353 497
  343.2332 250 352
  343.2359 289 407
  343.2385 176 248
  343.2411 135 190
  343.2437 92 130
  343.2463 41 58
  343.2489 20 28
  343.2515 21 30
  343.2568 20 28
  345.152 11 15
  437.2562 20 28
  444.25 20 28
  444.2648 31 44
  444.2678 20 28
  444.2708 61 86
  444.2738 31 44
  444.2767 31 44
  444.2797 31 44
  444.2827 31 44
  444.2856 71 100
  444.2916 82 116
  444.2946 71 100
  444.2975 122 172
  444.3005 61 86
  444.3035 61 86
  444.3065 41 58
  444.3094 20 28
  444.3184 20 28
  444.958 21 30
  449.2812 21 30
  460.8117 21 30
  462.2606 31 44
  462.2667 31 44
  462.2697 92 130
  462.2728 103 145
  462.2758 52 73
