ACCESSION: LQA00341
RECORD_TITLE: PI(18:0/15-HETE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PI(18:0/15-HETE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C47H83O14P
CH$EXACT_MASS: 903.143
CH$SMILES: CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C=C/C(O)CCCCC
CH$IUPAC: InChI=1S/C47H83O14P/c1-3-5-7-8-9-10-11-12-13-14-17-20-23-26-30-34-40(49)58-36-39(37-59-62(56,57)61-47-45(54)43(52)42(51)44(53)46(47)55)60-41(50)35-31-27-24-21-18-15-16-19-22-25-29-33-38(48)32-28-6-4-2/h15-16,21-22,24-25,29,33,38-39,42-48,51-55H,3-14,17-20,23,26-28,30-32,34-37H2,1-2H3,(H,56,57)/b16-15-,24-21-,25-22-,33-29+
CH$LINK: INCHIKEY HNBUAJVKBGPCHT-RROHPHJISA-N
CH$LINK: PUBCHEM CID:134735825
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 901.5447679
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-0udi-0021000009-18a25b022dd4311f4ffe
PK$NUM_PEAK: 1108
PK$PEAK: m/z int. rel.int.
  70.31281 21 1
  78.95393 62 2
  78.95518 73 3
  78.95644 72 3
  78.95769 146 6
  78.95894 238 10
  78.9602 227 9
  78.96145 82 3
  78.9627 176 7
  78.96396 123 5
  78.96521 125 5
  78.96647 83 3
  78.96772 73 3
  78.96897 21 1
  78.97023 41 2
  78.97274 31 1
  78.97524 20 1
  93.07065 20 1
  93.0761 20 1
  96.96411 20 1
  96.96689 51 2
  96.96828 31 1
  96.96967 82 3
  96.97106 82 3
  96.97245 92 4
  96.97384 41 2
  96.97523 31 1
  99.08046 31 1
  99.08467 20 1
  107.084 20 1
  107.0899 20 1
  113.0925 20 1
  113.094 20 1
  113.0955 41 2
  113.097 51 2
  113.0985 41 2
  113.1 71 3
  113.1015 31 1
  113.103 41 2
  113.1045 20 1
  119.0848 20 1
  121.0949 20 1
  121.0964 51 2
  121.098 31 1
  121.0995 61 2
  121.1011 92 4
  121.1026 61 2
  121.1042 122 5
  121.1057 61 2
  121.1073 61 2
  121.1088 20 1
  123.1218 20 1
  134.9798 20 1
  134.9848 31 1
  139.1108 20 1
  139.1141 20 1
  147.1176 20 1
  149.1285 20 1
  149.1354 41 2
  149.1371 20 1
  149.1406 20 1
  151.1461 20 1
  151.1478 20 1
  151.1513 31 1
  151.1548 31 1
  152.5248 21 1
  152.9799 21 1
  152.9834 62 2
  152.9852 42 2
  152.9869 106 4
  152.9887 223 9
  152.9904 180 7
  152.9922 319 13
  152.9939 245 10
  152.9956 244 10
  152.9974 308 12
  152.9991 170 7
  153.0009 160 6
  153.0026 139 6
  153.0044 53 2
  153.0061 64 3
  153.0079 11 0
  153.0096 32 1
  153.0114 11 0
  153.0131 11 0
  153.1283 11 0
  153.1335 11 0
  159.1258 20 1
  161.1327 20 1
  163.0674 20 1
  170.0596 21 1
  174.6031 21 1
  175.1218 21 1
  175.1237 21 1
  175.1293 21 1
  175.133 20 1
  175.1349 21 1
  175.1367 103 4
  175.1386 31 1
  175.1405 249 10
  175.1423 156 6
  175.1442 366 15
  175.1461 490 20
  175.1479 354 14
  175.1498 461 18
  175.1517 376 15
  175.1535 219 9
  175.1554 187 8
  175.1573 115 5
  175.1591 52 2
  175.161 73 3
  175.1629 42 2
  175.1647 21 1
  175.1666 31 1
  176.154 11 0
  176.1596 20 1
  177.0897 20 1
  177.1648 31 1
  181.123 20 1
  183.1147 20 1
  183.1167 20 1
  183.1205 20 1
  193.119 61 2
  193.1229 31 1
