ACCESSION: LQA00362
RECORD_TITLE: PI(18:1/17,18-EpETE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PI(18:1/17,18-EpETE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C47H79O14P
CH$EXACT_MASS: 899.111
CH$SMILES: CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CC1OC1CC
CH$IUPAC: InChI=1S/C47H79O14P/c1-3-5-6-7-8-9-10-11-12-15-18-21-24-27-30-33-40(48)57-35-37(36-58-62(55,56)61-47-45(53)43(51)42(50)44(52)46(47)54)59-41(49)34-31-28-25-22-19-16-13-14-17-20-23-26-29-32-39-38(4-2)60-39/h11-13,16-17,20,22,25-26,29,37-39,42-47,50-54H,3-10,14-15,18-19,21,23-24,27-28,30-36H2,1-2H3,(H,55,56)/b12-11-,16-13-,20-17-,25-22-,29-26-
CH$LINK: INCHIKEY ADAUHSWELJCUHQ-DIZGXOHQSA-N
CH$LINK: PUBCHEM CID:134717697
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 897.5134677
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-0002-0010000090-2571ddb2f1ba13b282b3
PK$NUM_PEAK: 415
PK$PEAK: m/z int. rel.int.
  78.95808 20 7
  78.95934 20 7
  78.96185 20 7
  78.9631 20 7
  78.96435 10 4
  78.96686 10 4
  96.98538 10 4
  147.1147 10 4
  149.1359 10 4
  149.1376 15 5
  149.1393 10 4
  152.9857 10 4
  152.9874 10 4
  152.9909 15 5
  152.9926 36 13
  152.9944 46 16
  152.9961 46 16
  152.9979 25 9
  152.9996 15 5
  153.0014 31 11
  153.0031 10 4
  153.0049 10 4
  189.1616 10 4
  201.1643 10 4
  201.1683 10 4
  201.1723 10 4
  215.1703 15 5
  215.1724 20 7
  215.1786 25 9
  215.1806 31 11
  215.1827 20 7
  215.1848 10 4
  215.1868 25 9
  215.1889 15 5
  215.1951 10 4
  222.989 15 5
  222.9911 15 5
  222.9932 51 18
  222.9953 15 5
  222.9975 36 13
  222.9996 51 18
  223.0017 36 13
  223.0038 66 23
  223.0059 46 16
  223.008 15 5
  223.0101 31 11
  223.0143 10 4
  223.0164 15 5
  236.0874 10 4
  240.9928 15 5
  240.995 10 4
  240.9971 25 9
  240.9993 87 31
  241.0015 107 38
  241.0037 158 56
  241.0059 204 72
  241.0081 260 92
  241.0103 219 77
  241.0125 214 76
  241.0147 219 77
  241.0169 204 72
  241.019 219 77
  241.0212 102 36
  241.0234 41 14
  241.0256 36 13
  241.0278 15 5
  241.03 10 4
  241.0322 25 9
  241.0366 10 4
  243.1815 10 4
  245.1592 10 4
  247.1671 10 4
  255.1925 10 4
  255.1948 10 4
  255.2015 10 4
  255.2038 15 5
  255.206 25 9
  255.2083 36 13
  255.2105 20 7
  255.215 56 20
  255.2173 15 5
  255.2195 10 4
  255.2241 15 5
  255.2263 10 4
  259.0091 10 4
  259.0114 20 7
  259.0137 15 5
  259.016 15 5
  259.0182 15 5
  259.0228 31 11
  259.025 25 9
  259.0273 25 9
  259.0296 15 5
  259.0318 15 5
  259.0341 10 4
  259.0364 10 4
  259.1568 10 4
  259.159 25 9
  259.1636 15 5
  259.1658 31 11
  259.1681 15 5
  259.1704 25 9
  259.1727 10 4
  259.1749 20 7
  259.1795 10 4
  259.1817 15 5
  259.184 10 4
  259.1886 15 5
  273.2 10 4
  273.2116 10 4
  273.214 20 7
  273.2163 10 4
  273.2186 15 5
  273.2233 15 5
  273.2256 15 5
  273.228 15 5
  273.2303 25 9
  273.2396 10 4
  273.2419 10 4
  279.1958 10 4
  280.5862 10 4
  281.2152 10 4
  281.2176 15 5
  281.2223 31 11
  281.2247 21 7
  281.2271 26 9
  281.2294 72 25
  281.2318 73 26
  281.2342 73 26
  281.2365 162 57
  281.2389 182 64
  281.2412 220 78
  281.2436 286 101
  281.246 293 103
  281.2484 359 127
  281.2507 354 125
  281.2531 254 90
  281.2554 229 81
  281.2578 135 48
