ACCESSION: LQA00383
RECORD_TITLE: PS(18:0/8,9-EpETE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PS(18:0/8,9-EpETE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C44H76NO11P
CH$EXACT_MASS: 826.064
CH$SMILES: CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/CC1OC1C\C=C/C\C=C/C\C=C/CC
CH$IUPAC: InChI=1S/C44H76NO11P/c1-3-5-7-9-11-13-14-15-16-17-18-20-22-24-29-33-42(46)52-35-38(36-53-57(50,51)54-37-39(45)44(48)49)55-43(47)34-30-26-25-28-32-41-40(56-41)31-27-23-21-19-12-10-8-6-4-2/h6,8,12,19,23,25,27-28,38-41H,3-5,7,9-11,13-18,20-22,24,26,29-37,45H2,1-2H3,(H,48,49)(H,50,51)/b8-6-,19-12-,27-23-,28-25-
CH$LINK: INCHIKEY UZHYNONRHGKHKK-CEXVDVJOSA-N
CH$LINK: PUBCHEM CID:134772236
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 824.5083228
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-00dr-0140500790-2bb450f9aec9d398cf2e
PK$NUM_PEAK: 326
PK$PEAK: m/z int. rel.int.
  78.9519 12 10
  78.95439 36 31
  78.95564 36 31
  78.95688 60 52
  78.95813 113 98
  78.95937 73 63
  78.96062 36 31
  78.96187 12 10
  78.9656 12 10
  78.97184 12 10
  96.95765 12 10
  96.9618 12 10
  96.96594 12 10
  96.97008 12 10
  105.6528 12 10
  105.6543 12 10
  127.0696 12 10
  127.0712 12 10
  127.0759 12 10
  127.0775 12 10
  134.9769 12 10
  134.9785 12 10
  134.9834 12 10
  134.9883 12 10
  149.1277 12 10
  149.1328 12 10
  152.5226 12 10
  152.5278 12 10
  152.9802 12 10
  152.9819 36 31
  152.9837 24 21
  152.9854 36 31
  152.9871 92 80
  152.9889 141 122
  152.9906 135 117
  152.9923 114 99
  152.9941 178 155
  152.9958 207 180
  152.9975 205 178
  152.9993 130 113
  153.001 103 89
  153.0027 12 10
  153.0062 12 10
  153.0079 24 21
  155.0445 12 10
  155.055 12 10
  155.0602 12 10
  155.0689 24 21
  155.0707 12 10
  155.0724 12 10
  167.062 12 10
  167.0638 12 10
  167.0657 24 21
  167.0693 24 21
  167.0711 12 10
  170.7256 12 10
  170.7311 12 10
  171.0061 12 10
  171.0116 12 10
  174.2752 12 10
  174.2771 12 10
  177.1196 12 10
  177.1289 12 10
  189.132 24 21
  190.1421 12 10
  190.144 12 10
  233.0483 12 10
  233.0505 12 10
  255.1973 24 21
  255.2018 24 21
  255.2085 36 31
  255.2108 36 31
  255.2264 12 10
  261.4413 12 10
  261.4572 12 10
  279.2298 12 10
  279.2368 12 10
  280.2361 12 10
  280.2431 12 10
  282.372 12 10
  282.3909 12 10
  283.2376 12 10
  283.2423 12 10
  283.2447 63 55
  283.247 74 64
  283.2494 163 142
  283.2518 205 178
  283.2541 233 202
  283.2565 486 422
  283.2589 696 605
  283.2612 486 422
  283.2636 689 599
  283.2659 402 349
  283.2683 265 230
  283.2707 249 216
  283.273 126 109
  283.2754 135 117
  283.2777 83 72
  283.2801 47 41
  283.2825 65 56
  283.2848 12 10
  283.3368 12 10
  283.3438 12 10
  287.2384 12 10
  287.2597 12 10
  290.4491 12 10
  290.4897 12 10
  290.8389 12 10
  290.8819 12 10
  299.1857 12 10
  299.1954 12 10
  299.1978 12 10
  299.2027 24 21
