ACCESSION: CB000102
RECORD_TITLE: Bicuculline; LC-ESI-QQQ; MS; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Isoquinoline alkaloids, Benzylisoquinoline alkaloids
CH$NAME: Bicuculline
CH$COMPOUND_CLASS: Alkaloids
CH$FORMULA: C20H17NO6
CH$EXACT_MASS: 367.3616
CH$SMILES: CN1CCc2cc3c(cc2[C@H]1[C@@H]1OC(=O)c2c1ccc1c2OCO1)OCO3
CH$IUPAC: InChI=1S/C20H17NO6/c1-21-5-4-10-6-14-15(25-8-24-14)7-12(10)17(21)18-11-2-3-13-19(26-9-23-13)16(11)20(22)27-18/h2-3,6-7,17-18H,4-5,8-9H2,1H3/t17-,18+/m0/s1
CH$LINK: CAS 485-49-4
CH$LINK: CHEMSPIDER 9820
CH$LINK: INCHIKEY IYGYMKDQCDOMRE-ZWKOTPCHSA-N
CH$LINK: COMPTOX DTXSID3042687
CH$LINK: PUBCHEM CID:10237
AC$INSTRUMENT: ABSciex API3200 LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-014i-0019000000-391e2eb7a7dff2446978
PK$NUM_PEAK: 150
PK$PEAK: m/z int. rel.int.
  149.1000 166331.8594 21
  189.4000 407709.1563 53
  189.5000 827412.4375 110
  189.6000 1005785.1875 134
  189.7000 1151815.5000 154
  189.8000 1112332.6250 148
  189.9000 968589.0625 129
  190.0000 1053388.3750 140
  190.1000 937413.6250 125
  190.2000 1094178.0000 146
  190.3000 896577.3125 119
  190.4000 807764.3750 107
  190.5000 373919.9688 49
  190.6000 249031.1094 32
  190.7000 237690.2969 31
  190.8000 164838.4375 21
  190.9000 225602.7344 29
  191.0000 220049.0469 28
  191.1000 220282.3906 28
  191.2000 204694.6094 26
  191.3000 226629.5000 29
  191.4000 167078.5938 21
  248.5000 291220.7813 38
  248.6000 323609.7500 42
  248.7000 407335.7188 53
  248.8000 360525.7188 47
  248.9000 316049.2188 41
  249.0000 284733.6250 37
  249.1000 346244.7188 45
  249.2000 323609.7500 42
  249.3000 255658.2813 33
  249.4000 173285.6875 22
  261.0000 198814.1719 25
  276.3000 238670.3750 31
  276.4000 517710.2813 68
  276.5000 830119.3125 110
  276.6000 917672.0625 122
  276.7000 945394.1875 126
