ACCESSION: CB000109
RECORD_TITLE: Hernandezine; LC-ESI-QQQ; MS; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Isoquinoline alkaloids, Benzylisoquinoline alkaloids
CH$NAME: Hernandezine
CH$COMPOUND_CLASS: Alkaloids
CH$FORMULA: C39H44N2O7
CH$EXACT_MASS: 652.7947300000001
CH$SMILES: COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)c(OC)c3c1[C@H](C2)N(C)CC3
CH$IUPAC: InChI=1S/C39H44N2O7/c1-40-16-14-25-21-32(43-4)34-22-28(25)29(40)18-23-8-11-26(12-9-23)47-33-20-24(10-13-31(33)42-3)19-30-35-27(15-17-41(30)2)36(44-5)38(45-6)39(46-7)37(35)48-34/h8-13,20-22,29-30H,14-19H2,1-7H3/t29-,30-/m0/s1
CH$LINK: CAS 6681-13-6
CH$LINK: PUBCHEM CID:65282
AC$INSTRUMENT: ABSciex API3200 LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-004i-0009001000-06c0f6a23f9bd8732112
PK$NUM_PEAK: 135
PK$PEAK: m/z int. rel.int.
  100.7000 203798.3594 21
  100.8000 324212.3750 34
  100.9000 326969.2813 34
  101.0000 222340.1875 23
  121.5000 305751.5938 32
  121.6000 535605.8750 57
  121.7000 647586.8125 69
  121.8000 833897.5625 89
  121.9000 699158.1250 74
  122.0000 674264.3750 72
  122.1000 600907.8750 64
  122.2000 546768.8125 58
  122.3000 511712.2188 54
  122.4000 431382.2500 45
  122.5000 243963.4063 25
  212.6000 432922.7500 45
  212.7000 415840.4688 44
  212.8000 504441.4688 53
  212.9000 449302.3438 47
  213.0000 485629.3438 51
  213.1000 509874.3125 54
  213.2000 499116.7188 53
  213.3000 496197.6563 52
  213.4000 469574.0938 49
  213.5000 251423.4063 26
  217.6000 236530.4063 24
  217.7000 246071.6406 25
  217.8000 248531.2656 25
  217.9000 267397.5313 28
  218.0000 245341.8906 25
  218.1000 263640.4688 27
  218.2000 243909.3125 25
  295.9000 223529.5000 23
  296.2000 240773.9844 25
  296.3000 222583.5000 23
  296.4000 304778.5625 32
  296.5000 218421.0313 22
  303.6000 205176.8125 21
  303.7000 296940.1875 31
  303.8000 314617.0625 33
  303.9000 307940.9375 32
  304.0000 368377.6563 38
  304.1000 379540.6250 40
  304.2000 359295.9375 37
  304.3000 349051.9688 36
  304.4000 284290.5625 29
  311.0000 414380.9688 43
  311.1000 650073.5000 69
  311.2000 729565.6250 78
  311.3000 788245.5000 84
  311.4000 800192.3125 85
  311.5000 916173.5625 98
  311.6000 934796.5625 100
  311.7000 949148.9375 101
  311.8000 956068.3750 102
  311.9000 818842.3750 87
  312.0000 566716.1875 60
  312.1000 480574.8125 51
  312.2000 432382.2500 45
  312.3000 367620.8750 38
  312.4000 381811.0938 40
  312.5000 275452.0938 28
  312.6000 220448.1875 22
  312.7000 221096.8750 22
  326.3000 305589.4375 32
  326.4000 2221185.2500 239
  326.5000 4835751.0000 523
  326.6000 7384744.0000 799
  326.7000 7847452.5000 850
  326.8000 8211478.0000 889
  326.9000 8491877.0000 920
  327.0000 8804575.0000 953
  327.1000 9219956.0000 999
  327.2000 9146221.0000 991
  327.3000 8730543.0000 945
  327.4000 8615616.0000 933
  327.5000 6701992.5000 725
  327.6000 5838119.5000 632
  327.7000 5638619.0000 610
  327.8000 4869509.5000 527
  327.9000 4427505.5000 479
  328.0000 2606483.5000 281
  328.1000 1841347.8750 198
  328.2000 1662173.0000 179
  328.3000 1310796.5000 141
  328.4000 1177570.6250 126
  328.5000 665507.0000 71
  328.6000 419192.1875 44
  328.7000 413056.5625 43
  328.8000 337240.3125 35
  328.9000 220286.0156 22
  347.4000 310319.4688 32
  347.5000 377945.9375 39
  347.6000 378378.3750 40
  347.7000 380946.1563 40
  347.8000 304129.8125 31
  347.9000 276938.7188 29
  609.5000 328374.8125 34
  609.6000 631639.8125 67
  609.7000 826599.5625 88
  609.8000 817247.6250 87
  609.9000 862872.5000 92
  610.0000 863872.5625 92
  610.1000 862332.0000 92
  610.2000 792245.8125 84
  610.3000 681940.5625 72
  610.4000 396568.9063 42
  610.6000 233313.9688 24
  610.7000 323752.9063 34
  610.8000 356809.2813 37
  610.9000 389757.5938 41
  611.0000 361431.2500 38
  611.1000 358241.8125 37
  611.2000 338943.1250 35
  611.3000 295940.0938 31
  652.5000 242071.3438 25
  652.6000 582960.5625 62
  652.7000 781596.4375 83
  652.8000 960338.8750 103
  652.9000 933093.7500 100
  653.0000 935526.3750 100
  653.1000 1013045.3750 108
  653.2000 909281.1250 97
  653.3000 775893.2500 83
  653.4000 526578.1250 56
  653.5000 275506.1563 28
  653.6000 379081.1563 40
  653.7000 431382.1563 45
  653.8000 414137.6563 43
  653.9000 477331.4063 50
  654.0000 446329.1563 47
  654.1000 462762.7813 49
  654.2000 417948.8125 44
  654.3000 346322.0625 36
  654.4000 289263.9063 30
//
