ACCESSION: CB000121
RECORD_TITLE: N-Methylisothebainium; LC-ESI-QQQ; MS; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Isoquinoline alkaloids, Morphine alkaloids, Thebaine alkaloids
CH$NAME: N-Methylisothebainium
CH$COMPOUND_CLASS: Alkaloids
CH$FORMULA: [C20H24NO3]+
CH$EXACT_MASS: 326.41918
CH$SMILES: COc1cc2c3c(c1O)-c1c(cccc1OC)CC3[N+](C)(C)CC2
CH$IUPAC: InChI=1S/C20H23NO3/c1-21(2)9-8-13-11-16(24-4)20(22)19-17(13)14(21)10-12-6-5-7-15(23-3)18(12)19/h5-7,11,14H,8-10H2,1-4H3/p+1
AC$INSTRUMENT: ABSciex API3200 LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M]+
PK$SPLASH: splash10-004i-0049000000-df87ab88de9e7ea67339
PK$NUM_PEAK: 155
PK$PEAK: m/z int. rel.int.
  206.6000 145205.8906 24
  206.7000 177019.3281 30
  206.8000 160062.5625 27
  206.9000 186882.2344 32
  207.0000 171761.1563 29
  207.1000 203014.5000 35
  207.2000 180301.7500 31
  207.3000 208023.7500 36
  207.4000 157153.4531 27
  220.7000 137972.0625 23
  248.5000 150417.4063 25
  248.6000 303230.5313 53
  248.7000 338310.8438 59
  248.8000 385774.1875 67
  248.9000 335152.8438 58
  249.0000 400910.8125 70
  249.1000 353463.0938 62
  249.2000 327016.6563 57
  249.3000 286849.4375 50
  249.4000 268025.7813 46
  249.5000 124546.6797 21
  250.6000 158631.3438 27
  250.7000 182837.4844 31
  250.8000 182479.6875 31
  250.9000 175354.7188 30
  251.0000 181437.4219 31
  251.1000 220531.3281 38
  251.2000 179586.1719 31
  251.3000 151366.3750 26
  251.4000 144210.3125 24
  252.6000 131764.9688 22
  252.9000 133196.1719 22
  253.1000 144381.4219 24
  253.2000 155971.1250 26
  253.3000 133756.2344 22
  253.4000 146963.8438 25
  265.5000 169458.7500 29
  265.6000 233723.3750 40
  265.7000 298641.3750 52
  265.8000 300617.0625 52
  265.9000 344751.2813 60
  266.0000 342620.0313 60
  266.1000 334203.8438 58
  266.2000 323749.7500 56
  266.3000 304724.0000 53
  266.4000 249420.0156 43
  267.6000 152688.6719 26
  267.7000 177999.3906 30
  267.8000 181110.7031 31
  267.9000 195889.5469 33
  268.0000 192498.1875 33
  268.1000 206919.2188 35
  268.2000 149157.3281 25
  268.3000 140663.3906 24
  280.4000 194224.9688 33
  280.5000 652166.5000 115
  280.6000 1107074.6250 196
  280.7000 1418114.5000 252
  280.8000 1488181.7500 264
  280.9000 1756923.2500 312
  281.0000 1533265.1250 272
  281.1000 1609539.3750 286
  281.2000 1556895.6250 276
  281.3000 1176613.1250 208
  281.4000 1018759.3125 180
  281.5000 481167.6563 84
  281.6000 423390.2500 74
  281.7000 329116.8125 57
  281.8000 301348.1250 52
  281.9000 313637.9063 54
  282.0000 298999.1250 52
  282.1000 280611.0938 49
  282.2000 327078.8750 57
  282.3000 270421.5625 47
  282.4000 305019.5938 53
  282.5000 518706.0000 91
  282.6000 618035.2500 109
