ACCESSION: CB000174
RECORD_TITLE: Delsemine A; LC-ESI-QQQ; MS; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Terpenoid alkaloids, Diterpene alkaloid, Aconitum alkaloid
CH$NAME: Delsemine A
CH$COMPOUND_CLASS: Alkaloids
CH$FORMULA: C37H53N3O10
CH$EXACT_MASS: 699.8491
CH$SMILES: CCN1CC2(COC(=O)c3ccccc3N=C(O)C(C)CC(=N)O)CC[C@@H](OC)C34C5C[C@@H]6C(OC)C[C@@](O)(C5[C@H]6OC)C(O)([C@@H](OC)C23)[C@@H]14
CH$IUPAC: InChI=1S/C37H53N3O10/c1-7-40-17-34(18-50-32(43)20-10-8-9-11-23(20)39-31(42)19(2)14-26(38)41)13-12-25(47-4)36-22-15-21-24(46-3)16-35(44,27(22)28(21)48-5)37(45,33(36)40)30(49-6)29(34)36/h8-11,19,21-22,24-25,27-30,33,44-45H,7,12-18H2,1-6H3,(H2,38,41)(H,39,42)/t19?,21-,22?,24?,25-,27?,28+,29?,30+,33+,34?,35-,36?,37?/m1/s1
CH$LINK: CAS 6887-42-9
CH$LINK: CHEMSPIDER 4475548
CH$LINK: INCHIKEY NXAZXMKMGPWXII-IGHBFZKASA-N
AC$INSTRUMENT: ABSciex API3200 LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-0udi-0101012900-b1c9046deeff5bb3bdbe
PK$NUM_PEAK: 133
PK$PEAK: m/z int. rel.int.
  113.4000 76750.9297 25
  113.5000 156174.7656 52
  113.6000 192577.3438 64
  113.7000 224143.2188 75
  113.8000 214597.0625 72
  113.9000 263855.1875 89
  114.0000 278874.5000 94
  114.1000 268310.0313 90
  114.2000 226307.0625 76
  114.3000 257618.3750 87
  114.4000 234580.3906 79
  118.5000 128045.5234 42
  118.6000 307512.7813 104
  118.7000 338442.3750 114
  118.8000 395973.7813 134
  118.9000 326732.4375 110
  119.0000 245017.4688 82
  119.1000 141919.2344 47
  119.2000 76750.9141 25
  141.7000 66568.3906 21
  141.9000 85787.9063 28
  142.0000 71659.6328 23
  142.1000 67459.3438 22
  142.2000 128300.0547 42
  148.5000 84260.5000 27
  188.1000 84769.6797 28
  215.5000 111244.2891 37
  215.6000 92024.7266 30
  215.7000 112262.5469 37
  215.8000 103607.3828 34
  215.9000 107553.1094 35
  216.0000 101952.7109 33
  216.1000 130082.0000 43
  216.2000 94570.3594 31
  216.3000 80823.9375 26
  216.4000 105898.4609 35
  341.5000 67332.0781 22
  341.6000 125118.0234 41
  341.7000 91897.4766 30
  341.8000 121426.8438 40
  341.9000 142046.5313 47
  342.0000 153629.1563 51
  342.1000 183285.8125 61
  342.2000 148410.5938 49
  342.3000 181631.1406 61
  342.4000 143955.7188 48
  342.5000 100425.3516 33
  342.6000 80442.1094 26
  342.7000 82224.0547 27
  350.1000 94443.1094 31
  350.2000 118626.6563 39
  350.3000 131736.6719 44
  350.4000 107680.4141 35
  350.5000 131482.1250 44
  350.6000 165466.3125 55
  350.7000 170048.5156 57
  350.8000 177430.8750 59
  350.9000 162284.2969 54
  351.0000 111753.4297 37
  351.1000 109207.8047 36
  351.2000 73696.1641 24
  351.3000 68350.3281 22
  351.4000 70895.9688 23
  355.7000 103607.3828 34
  387.8000 89351.8203 29
  387.9000 81587.6484 26
  388.0000 79169.2891 26
  388.1000 87569.8906 28
  388.2000 90370.0859 29
  388.3000 85024.2500 28
  388.4000 181249.2969 61
  586.6000 125627.1328 42
  586.7000 217906.4531 73
  586.8000 303058.0000 102
  586.9000 301657.9063 102
  587.0000 509127.2500 173
  587.1000 324695.8438 110
  587.2000 304203.5000 103
  587.3000 387955.0313 131
  587.4000 270219.3125 91
  587.5000 129191.0469 43
  587.6000 101316.3281 33
  587.7000 104498.3594 34
  587.8000 97116.0313 32
  587.9000 102461.8594 34
  588.0000 106407.5938 35
  588.1000 119390.3359 39
  588.2000 106280.3203 35
  588.3000 101825.4375 33
  588.4000 77641.9063 25
  683.0000 66822.9453 21
  684.2000 74587.1328 24
  699.4000 252399.8438 85
  699.5000 514982.1563 175
  699.6000 1417792.1250 484
  699.7000 2249197.0000 769
  699.8000 2659171.7500 909
  699.9000 2856840.0000 977
  700.0000 2888533.2500 988
  700.1000 2863586.0000 979
  700.2000 2919844.7500 999
  700.3000 2613605.0000 894
  700.4000 2250470.0000 769
  700.5000 1167428.7500 398
  700.6000 956777.3125 326
  700.7000 1173156.6250 400
  700.8000 1302729.5000 445
  700.9000 1436629.7500 491
  701.0000 1448721.5000 495
  701.1000 1486397.1250 508
  701.2000 1437902.6250 491
  701.3000 1382153.1250 472
  701.4000 1182829.7500 404
  701.5000 584223.5625 199
  701.6000 335896.6875 114
  701.7000 408701.9063 138
  701.8000 452359.6250 153
  701.9000 388082.2188 131
  702.0000 440395.0625 149
  702.1000 443068.0000 150
  702.2000 397501.0625 135
  702.3000 504035.9375 171
  702.4000 431739.8750 146
  702.5000 157447.5938 52
  702.6000 113789.9375 37
  702.7000 70386.8359 23
  702.8000 90242.8125 29
  702.9000 76496.3750 25
  703.0000 97879.7109 32
  703.1000 215360.8281 72
  703.2000 124354.3281 41
  703.3000 73568.8906 24
  703.4000 170684.8750 57
//
